AASI Jetcruzer Business and utility transport, civil aircraft, 
ACAC ARJ21 70-100 seat Regional airliner, civil aircraft, 
AEA Explorer Multirole utility transport, civil aircraft, 
Aermacchi AL-60 light aircraft, civil aircraft, 
Aermacchi SF.260 Two seat trainer and aerobatics light aircraft, civil aircraft, 
Aerion SBJ Planned supersonic business jet, civil aircraft, 
Aero A.10 biplane five passenger airliner, civil aircraft, 
Aero A.22 biplane two passenger airliner, civil aircraft, 
Aero A.23 biplane seven passenger airliner, civil aircraft, 
Aero A.34 two seat light aircraft, civil aircraft, 
Aero A.35 five passenger airliner, civil aircraft, 
Aero A.38 eight passenger airliner, civil aircraft, 
Aero A.200 light aircraft, civil aircraft, 
Aero A.204 eight passenger airliner prototype, civil aircraft, 
Aero Ae 45 & Ae 145 twin engine light aircraft, civil aircraft, 
Aero Boero AB-95/115 light utility aircraft, civil aircraft, 
Aero Boero AB-150 light utility aircraft, civil aircraft, 
Aero Boero AB-180 light utility aircraft, civil aircraft, 
Aero Boero AB-210 utility aircraft prototype, civil aircraft, 
Aero Boero 260AG agricultural aircraft, civil aircraft, 
Aero-Cam Slick 360 Single-seat aerobatics aircraft, civil aircraft, 
Aero Commander 100 Four seat light aircraft, civil aircraft, 
Aero Commander 500/600 series of twin engine piston & turboprop powered business & personal aircraft, civil aircraft, 
Aero Commander Jet Commander mid size business jet, civil aircraft, 
Aeronca 7 Champion Two seat light aircraft, civil aircraft, 
Aeronca 11 Chief Two seat light aircraft, civil aircraft, 
Aero Spacelines Guppy series very large propeller cargo aircraft, civil aircraft, 
Aérospatiale Alouette II & Lama Light utility helicopters, civil aircraft, 
Aérospatiale Alouette III Light utility helicopter, civil aircraft, 
Aérospatiale N 262 & Mohawk 298 Short range turboprop airliner, civil aircraft, 
Aerospatiale SA-330 Puma Twin engine medium lift helicopter, civil aircraft, 
Aerospatiale SA-341/342 Gazelle Utility helicopter, civil aircraft, 
Aérospatiale AS-350 Écureuil & AS-355 Écureuil 2 Light utility helicopters, civil aircraft, 
Aérospatiale SA-360/361/365C Dauphin Mid size utility helicopters, civil aircraft, 
Aérospatiale SN-601 Corvette Light corporate jet, civil aircraft, 
Aérospatiale-British Aerospace Concorde Medium range supersonic airliner, civil aircraft, 
Aerokopter AK1-3 "Sanka" Light two seats helicopter, civil aircraft, 
Agusta A109 Twin engined utility & corporate helicopter, civil aircraft, 
Agusta A119 Koala Light utility helicopter, civil aircraft, 
Ahrens AR 404 four engine turboprop utility aircraft, civil aircraft, 
Air Tractor series of piston & turboprop powered agricultural aircraft, civil aircraft, 
Airbus A300B2/B4 Medium range widebody airliner, civil aircraft, 
Airbus A300-600 Medium range widebody airliner, civil aircraft, 
Airbus Beluga very large cargo aircraft, civil aircraft, 
Airbus A310-200 Medium to long range widebody airliner, civil aircraft, 
Airbus A310-300 Medium to long range widebody airliner, civil aircraft, 
Airbus A318 100 seat regional airliner, civil aircraft, 
Airbus A319 Medium range airliner, civil aircraft, 
Airbus A319CJ Long range large corporate jet, civil aircraft, 
Airbus A320 Short to medium range airliner, civil aircraft, 
Airbus A321 Short to medium range narrowbody airliner, civil aircraft, 
Airbus A330-200 Medium to long range widebody airliner, civil aircraft, 
Airbus A330-300 Large capacity medium to long range airliner, civil aircraft, 
Airbus A340-200 Long range widebody airliner, civil aircraft, 
Airbus A340-300 Long range widebody airliner, civil aircraft, 
Airbus A340-500 Ultra long range widebody airliner, civil aircraft, 
Airbus A340-600 Long range widebody airliner, civil aircraft, 
Airbus A350-800 Long range widebody airliner, civil aircraft, 
Airbus A350-900 Long range widebody airliner, civil aircraft, 
Airbus A350-1000 Long range widebody airliner, civil aircraft, 
Airbus A380 Long range high capacity widebody airliner, civil aircraft, 
Alpha 2000 The Robin R2000 now manufactured in New Zealand, civil aircraft, 
American Aviation AA-1 Yankee two seat light aircraft, civil aircraft, 
American Aviation AA-1A Trainer two seat light training aircraft, civil aircraft, 
American Aviation AA-2 Patriot four seat light aircraft prototype, civil aircraft, 
American Champion & Bellanca series Series of two seat utility and aerobatic light aircraft, civil aircraft, 
Antonov/PZL Mielec An-2 Biplane utility transport, civil aircraft, 
Antonov An-10 110 passenger turboprop, civil aircraft, 
Antonov An-12 turboprop cargo aircraft, civil aircraft, 
Antonov An-22 Antheus Large capacity turboprop cargo aircraft, civil aircraft, 
Antonov An-24 44-50 passenger airliner and utility aircraft, civil aircraft, 
Antonov/PZL Mielec An-28 Regional airliner and utility transport, civil aircraft, 
Antonov An-30 aerial survey aircraft, civil aircraft, 
Antonov An-38 Regional airliner and utility transport, civil aircraft, 
Antonov An-70 Heavylift propfan cargo aircraft, civil aircraft, 
Antonov An-72 & An-74 STOL capable utility transport, civil aircraft, 
Antonov An-124 Ruslan Heavylift freighter, civil aircraft, 
Antonov An-140 50 passenger short-range turboprop airliner, civil aircraft, 
Antonov An-225 Mriya Extra-Large cargo aircraft, civil aircraft, 
APM 20 Lionceau Very light utility aircraft, civil aircraft, 
APM 30 Lion Light utility aircraft, civil aircraft, 
Arado S I & S III two seat trainers, civil aircraft, 
Arado SC I two seat trainer, civil aircraft, 
Arado SC II two seat trainer, civil aircraft, 
Arado L I two seat light aircraft, civil aircraft, 
Arado L II two seat light aircraft, civil aircraft, 
Arado V I prototype four passenger airliner and air mail carrier, civil aircraft, 
Arado W 2 two seat seaplane trainer, civil aircraft, 
Armstrong Whitworth Ape experimental aircraft, civil aircraft, 
Armstrong Whitworth Argosy three engine biplane airliner, civil aircraft, 
Armstrong Whitworth Atalanta nine passenger four engine airliner, civil aircraft, 
Armstrong Whitworth Ensign 40 passenger four engine airliner, civil aircraft, 
Armstrong Whitworth A.W.52 flying wing experimental aircraft, civil aircraft, 
Armstrong Whitworth Argosy four engine turboprop cargo aircraft, civil aircraft, 
Arrow Sport two seat light aircraft, civil aircraft, 
Arrow Model F two seat light aircraft, civil aircraft, 
ATR ATR-42 42 seat turboprop regional airliner, civil aircraft, 
ATR ATR-72 70 seat turboprop regional airliner, civil aircraft, 
Auster J-1 Autocrat three seat light aircraft, civil aircraft, 
Auster J-1U Workmaster agricultural aircraft, civil aircraft, 
Auster J-2 Arrow two seat light aircraft, civil aircraft, 
Auster J-3 Atom two seat light aircraft, civil aircraft, 
Auster J-4 two seat light aircraft, civil aircraft, 
Auster Avis prototype light utility aircraft, civil aircraft, 
