Aalst, Alost, BE.OV.AL, BE231, 41, East Flanders, 289175, 10, 
Aarlen, Arlon, BE.LX.AR, BE341, 81, Luxembourg, 62202, 5, 
Antwerpen, Anvers, BE.AN.AW, BE211, 11, Antwerp, 1045593, 30, 
Aat, Ath, BE.HT.AT, BE321, 51, Hainaut, 86782, 8, 
Bastenaken, Bastogne, BE.LX.BS, BE342, 82, Luxembourg, 48183, 8, 
Brugge, Bruges, BE.WV.BG, BE251, 31, West Flanders, 281780, 10, 
Brussel-Hoofdstad, Bruxelles-Capitale, BE.BU.BR, BE100, 21, N/A, 1198726, 19, 
Charleroi, Charleroi, BE.HT.CR, BE322, 52, Hainaut, 430701, 14, 
Dendermonde, Termonde, BE.OV.DM, BE232, 42, East Flanders, 200307, 10, 
Diksmuide, Dixmude, BE.WV.DK, BE252, 32, West Flanders, 51428, 5, 
Dinant, Dinant, BE.NA.DN, BE351, 91, Namur, 110610, 15, 
Eeklo, Eeklo, BE.OV.EK, BE233, 43, East Flanders, 84591, 6, 
Gent, Gand, BE.OV.GT, BE234, 44, East Flanders, 556916, 17, 
Halle-Vilvoorde, Hal-Vilvorde, BE.VB.HV, BE241, 23, Flemish Brabant, 632134, 35, 
Hasselt, Hasselt, BE.LI.HS, BE221, 71, Limburg, 427010, 17, 
Hoei, Huy, BE.LG.HY, BE331, 61, Liège, 113097, 17, 
Ieper, Ypres, BE.WV.IP, BE253, 33, West Flanders, 106251, 8, 
Kortrijk, Courtrai, BE.WV.KR, BE254, 34, West Flanders, 289114, 12, 
Leuven, Louvain, BE.VB.LV, BE242, 24, Flemish Brabant, 506355, 30, 
Luik, Liège, BE.LG.LG, BE332, 62, Liège, 623953, 24, 
Maaseik, Maaseik, BE.LI.MS, BE222, 72, Limburg, 240511, 12, 
Marche-en-Famenne, Marche-en-Famenne, BE.LX.MR, BE343, 83, Luxembourg, 56143, 9, 
Mechelen, Malines, BE.AN.MH, BE212, 12, Antwerp, 342945, 12, 
Bergen, Mons, BE.HT.MN, BE323, 53, Hainaut, 258608, 13, 
Moeskroen, Mouscron, BE.HT.MC, BE324, 54, Hainaut, 76297, 2, 
Namen, Namur, BE.NA.NM, BE352, 92, Namur, 316058, 16, 
Neufchâteau, Neufchâteau, BE.LX.NC, BE344, 84, Luxembourg, 63041, 12, 
Nijvel, Nivelles, BE.BW.NV, BE310, 25, Walloon Brabant, 401106, 27, 
Oostende, Ostende, BE.WV.OS, BE255, 35, West Flanders, 156468, 7, 
Oudenaarde, Audenarde, BE.OV.OD, BE235, 45, East Flanders, 123868, 10, 
Philippeville, Philippeville, BE.NA.PV, BE353, 93, Namur, 66405, 7, 
Roeselare, Roulers, BE.WV.RS, BE256, 36, West Flanders, 151873, 8, 
Sint-Niklaas, Saint-Nicolas, BE.OV.SN, BE236, 46, East Flanders, 250196, 7, 
Zinnik, Soignies, BE.HT.SG, BE325, 55, Hainaut, 190334, 8, 
Thuin, Thuin, BE.HT.TN, BE326, 56, Hainaut, 151912, 14, 
Tielt, Tielt, BE.WV.TL, BE257, 37, West Flanders, 92615, 9, 
Tongeren, Tongres, BE.LI.TG, BE223, 73, Limburg, 203359, 13, 
Doornik, Tournai, BE.HT.TR, BE327, 57, Hainaut, 147011, 10, 
Turnhout, Turnhout, BE.AN.TH, BE213, 13, Antwerp, 458948, 27, 
Verviers, Verviers, BE.LG.VV, BE335, 
BE336, 63, Liège, 287374, 29, 
Veurne, Furnes, BE.WV.VR, BE258, 38, West Flanders, 61530, 5, 
Virton, Virton, BE.LX.VT, BE345, 85, Luxembourg, 53658, 10, 
Borgworm, Waremme, BE.LG.WR, BE334, 64, Liège, 80902, 14, 
