Anderlecht, Brussels-Capital, , 1070, 118,241, 17.7 km2 (6.8 sq mi), 
Auderghem, Brussels-Capital, , 1160, 33,313, 9.0 km2 (3.5 sq mi), 
Berchem-Sainte-Agathe, Brussels-Capital, , 1082, 24,701, 2.9 km2 (1.1 sq mi), 
Ville de Bruxelles*, Brussels-Capital, , 1000 1020 1030 1040 1050 1120 1130, 176,545, 32.6 km2 (12.6 sq mi), 
Etterbeek, Brussels-Capital, , 1040, 47,414, 3.1 km2 (1.2 sq mi), 
Evere, Brussels-Capital, , 1140, 40,394, 5.0 km2 (1.9 sq mi), 
Forest, Brussels-Capital, , 1190, 55,746, 6.2 km2 (2.4 sq mi), 
Ganshoren, Brussels-Capital, , 1083, 24,596, 2.5 km2 (1.0 sq mi), 
Ixelles, Brussels-Capital, , 1050, 86,244, 6.3 km2 (2.4 sq mi), 
Jette, Brussels-Capital, , 1090, 51,933, 5.0 km2 (1.9 sq mi), 
Koekelberg, Brussels-Capital, , 1081, 21,609, 1.2 km2 (0.5 sq mi), 
Molenbeek-Saint-Jean, Brussels-Capital, , 1080, 96,629, 5.9 km2 (2.3 sq mi), 
Saint-Gilles, Brussels-Capital, , 1060, 50,471, 2.5 km2 (1.0 sq mi), 
Saint-Josse-ten-Noode, Brussels-Capital, , 1210, 27,115, 1.1 km2 (0.4 sq mi), 
Schaerbeek, Brussels-Capital, , 1030, 133,042, 8.1 km2 (3.1 sq mi), 
Uccle, Brussels-Capital, , 1180, 82,307, 22.9 km2 (8.8 sq mi), 
Watermael-Boitsfort, Brussels-Capital, , 1170, 24,871, 12.9 km2 (5.0 sq mi), 
Woluwe-Saint-Lambert, Brussels-Capital, , 1200, 55,216, 7.2 km2 (2.8 sq mi), 
Woluwe-Saint-Pierre, Brussels-Capital, , 1150, 41,217, 8.9 km2 (3.4 sq mi), 
Aalst, East Flanders, Aalst, , , , 
Aalter, East Flanders, Ghent, , , , 
Aarschot, Flemish Brabant, Leuven, , , , 
Aartselaar, Antwerp, Antwerp, , , , 
Affligem, Flemish Brabant, Halle-Vilvoorde, , , , 
Alken, Limburg, Tongeren, , , , 
Alveringem, West Flanders, Veurne, , , , 
Antwerp, Antwerp, Antwerp, , , , 
Anzegem, West Flanders, Kortrijk, , , , 
Ardooie, West Flanders, Tielt, , , , 
Arendonk, Antwerp, Turnhout, , , , 
As, Limburg, Hasselt, , , , 
Asse, Flemish Brabant, Halle-Vilvoorde, , , , 
Assenede, East Flanders, Eeklo, , , , 
Avelgem, West Flanders, Kortrijk, , , , 
Baarle-Hertog, Antwerp, Turnhout, , , , 
Balen, Antwerp, Turnhout, , , , 
Beernem, West Flanders, Bruges, , , , 
Beerse, Antwerp, Turnhout, , , , 
Beersel, Flemish Brabant, Halle-Vilvoorde, , , , 
Begijnendijk, Flemish Brabant, Leuven, , , , 
Bekkevoort, Flemish Brabant, Leuven, , , , 
Beringen, Limburg, Hasselt, , , , 
Berlaar, Antwerp, Mechelen, , , , 
Berlare, East Flanders, Dendermonde, , , , 
Bertem, Flemish Brabant, Leuven, , , , 
Bever, Flemish Brabant, Halle-Vilvoorde, , , , 
Beveren, East Flanders, Sint-Niklaas, , , , 
Bierbeek, Flemish Brabant, Leuven, , , , 
Bilzen, Limburg, Tongeren, , , , 
Blankenberge, West Flanders, Bruges, , , , 
Bocholt, Limburg, Maaseik, , , , 
Boechout, Antwerp, Antwerp, , , , 
Bonheiden, Antwerp, Mechelen, , , , 
Boom, Antwerp, Antwerp, , , , 
Boortmeerbeek, Flemish Brabant, Leuven, , , , 
Borgloon, Limburg, Tongeren, , , , 
Bornem, Antwerp, Mechelen, , , , 
Borsbeek, Antwerp, Antwerp, , , , 
Boutersem, Flemish Brabant, Leuven, , , , 
Brakel, East Flanders, Oudenaarde, , , , 
Brasschaat, Antwerp, Antwerp, , , , 
Brecht, Antwerp, Antwerp, , , , 
Bredene, West Flanders, Ostend, , , , 
Bree, Limburg, Maaseik, , , , 
