Province, Province Cyrillic, ISO 3166-1 code, Car Plate Code, # Municipalities, Planning Region, 
Blagoevgrad, Благоевград, BG-01, E, 14, South Western, 
Burgas, Бургас, BG-02, A, 13, South Eastern, 
Dobrich, Добрич, BG-08, TX, 8, North Eastern, 
Gabrovo, Габрово, BG-07, EB, 4, North Central, 
Haskovo, Хасково, BG-26, X, 11, South Central, 
Kardzhali, Кърджали, BG-09, K, 7, South Central, 
Kyustendil, Кюстендил, BG-10, KH, 9, South Western, 
Lovech, Ловеч, BG-11, OB, 8, North Western, 
Montana, Монтана, BG-12, M, 11, North Western, 
Pazardzhik, Пазарджик, BG-13, PA, 12, South Central, 
Pernik, Перник, BG-14, PK, 6, South Western, 
Pleven, Плевен, BG-15, EH, 11, North Western, 
Plovdiv, Пловдив, BG-16, PB, 18, South Central, 
Razgrad, Разград, BG-17, PP, 7, North Central, 
Ruse, Русе, BG-18, P, 8, North Central, 
Shumen, Шумен, BG-27, H, 10, North Eastern, 
Silistra, Силистра, BG-19, CC, 7, North Central, 
Sliven, Сливен, BG-20, CH, 4, South Eastern, 
Smolyan, Смолян, BG-21, CM, 10, South Central, 
Sofia Province, Софийска област, BG-23, CO, 22, South Western, 
Sofia City, София, BG-22, C; CA; CB, 1, South Western, 
Stara Zagora, Стара Загора, BG-24, CT, 11, South Eastern, 
Targovishte, Търговище, BG-25, T, 5, North Eastern, 
Varna, Варна, BG-03, B, 12, North Eastern, 
Veliko Tarnovo, Велико Търново, BG-04, BT, 10, North Central, 
Vidin, Видин, BG-05, BH, 11, North Western, 
Vratsa, Враца, BG-06, BP, 10, North Western, 
Yambol, Ямбол, BG-28, Y, 5, South Eastern, 
