06/8c; Mobile/Embedded; ; ; ; 8; 8; ; ; ; 
06/8e; Mobile/Embedded; ; ; ; 8; 8; ; ; ; 
06/9c; Mobile/Embedded; ; ; ; 4; 4; ; ; ; 
15/70; ; ; 1.6GHZ; ; 2; 2; ; ; ; 
-1-Unisoc; Mobile/Embedded; ; 2.0GHZ; ; 8; 8; ; ; ; 
AArch64 rev 0 (aarch64); ; ; 2.5GHZ; ; 8; 8; ; ; ; 
AArch64 rev 1 (aarch64); ; ; 2,362.0GHZ; ; 8; 8; ; ; ; 
AArch64 rev 2 (aarch64); ; ; 2.2GHZ; ; 8; 8; ; ; ; 
AArch64 rev 4 (aarch64); ; ; 2,112.0GHZ; ; 8; 8; ; ; ; 
AC8257V/WAB; ; ; 2,001.0GHZ; ; 8; 8; ; ; ; 
AMD 3015Ce; Mobile/Embedded; FT5; 1.2GHZ; 2.3GHZ; 2; 4; 6W; ; ; 
AMD 3015e; Laptop; ; 1.2GHZ; 2.3GHZ; 2; 4; 6W; ; ; 
AMD 3020e; Laptop; ; 1.2GHZ; 2.6GHZ; 2; 2; 6W; ; ; 
AMD 4700S; Desktop; ; 3.6GHZ; 4.0GHZ; 8; 16; ; ; ; 
AMD A4 Micro-6400T APU; Laptop; FT3b; 1.0GHZ; 1.6GHZ; 4; 4; 4.5W; ; ; 
AMD A4 PRO-3340B; Laptop; BGA769(FT3); 2.2GHZ; ; 4; 4; 25W; ; ; 
AMD A4 PRO-7300B APU; Desktop; ; 3.8GHZ; 4.0GHZ; 1; 2; 65W; ; ; 
AMD A4 PRO-7350B; Desktop; FM2+; 3.4GHZ; 3.8GHZ; 1; 2; 65W; ; ; 
AMD A4-1200 APU; Laptop; FT3; 1.0GHZ; ; 2; 2; 3.9W; ; ; 
AMD A4-1250 APU; Laptop; FT3; 1.0GHZ; ; 2; 2; 8W; ; ; 
AMD A4-3300 APU; Desktop; FM1; 2.5GHZ; ; 2; 2; 65W; ; ; 
AMD A4-3300M APU; Laptop; FM1; 1.9GHZ; 2.5GHZ; 2; 2; 65W; ; ; 
AMD A4-3305M APU; Laptop; FS1; 1.9GHZ; 2.5GHZ; 2; 2; 35W; ; ; 
AMD A4-3310MX APU; Laptop; FS1; 2.1GHZ; 2.3GHZ; 2; 2; 45W; ; ; 
AMD A4-3320M APU; Laptop; FS1; 2.0GHZ; 2.6GHZ; 2; 2; 35W; ; ; 
AMD A4-3330MX APU; Laptop; FS1uPGA; 2.2GHZ; 2.6GHZ; 2; 2; 45W; ; ; 
AMD A4-3400 APU; Desktop; FM1; 2.7GHZ; ; 2; 2; 65W; ; ; 
AMD A4-3420 APU; Desktop; FM1; 2.8GHZ; ; 2; 2; 65W; ; ; 
AMD A4-4000 APU; Desktop; FM2; 3.0GHZ; 3.2GHZ; 1; 2; 65W; ; ; 
AMD A4-4020 APU; Desktop; FM2; 3.2GHZ; 3.4GHZ; 2; 2; 65W; ; ; 
AMD A4-4300M APU; Laptop; FS1; 2.5GHZ; 3.0GHZ; 1; 2; 35W; ; ; 
AMD A4-4355M APU; Laptop; FP2; 1.9GHZ; 2.4GHZ; 2; 2; 17W; ; ; 
AMD A4-5000 APU; Laptop; FT3; 1.5GHZ; ; 4; 4; 15W; ; ; 
AMD A4-5050 APU; Laptop; FT3; 1.6GHZ; ; 4; 4; 13.5W; ; ; 
