Airline, Type, , IATA, ICAO, Callsign, Hub airport(s), status, start, end, 
Austrian Airlines, Scheduled, Austria, OS, AUA, AUSTRIAN, Vienna International Airport, Active, , , 
easyJet Europe, , Austria, EC, EJU, ALPINE, Vienna International Airport, Active, , , 
People's, , Austria, PE, PEV, PEOPLES, St. Gallen–Altenrhein Airport, Active, , , 
Air X Executive Jets, , Austria, , , , Salzburg Airport, Active, , , 
Airlink (Austria), , Austria, , JAR, AIRLINK, Salzburg Airport, Active, , , 
ALPI Jets, , Austria, , ALX, ALPIJETS, Vienna International Airport, Active, , , 
Avcon Jet, , Austria, , AOJ, ASTERIX, Vienna International Airport, Active, , , 
Global Jet Austria, , Austria, , GLJ, GLOBAL AUSTRIA, Vienna International Airport, Active, , , 
GlobeAir, , Austria, , GAC, DREAM TEAM, Linz Airport, Active, , , 
Grossmann Air Service, , Austria, , HTG, GROSSMANN, , Active, , , 
Mali Air, , Austria, , MAE, MALI AIREXPRESS, Graz Airport, Active, , , 
MJET, , Austria, , MJF, EM-EXPRESS, Vienna International Airport/ Zurich Airport, Active, , , 
Tyrolean Jet Services, , Austria, , TJS, TYROLJET, , Active, , , 
Pink Sparrow, , Austria, , SZG, SPARROW, Salzburg Airport/ Linz Airport/ Vienna Airport, Active, , , 
Aero Lloyd Austria, , Austria, HG, AYP, , , Inactive, 2003, 2003, 
Aero Transport, , Austria, , , , , Inactive, 1958, 1964, 
Air A!ps, , Austria, A6, LPV, ALPAV, , Inactive, 1998, 2014, 
Air Kärnten, , Austria, , , , , Inactive, 2014, 2015, 
Air Salzburg, , Austria, , , , , Inactive, 1993, 1996, 
Air Sylhet, , Austria, , SL, SYLHET, , Inactive, 2009, 2009, 
Aircraft Innsbruck, , Austria, ZJ, , , , Inactive, 1958, 1980, 
Airlink Luftverkehrsgesellschaft, , Austria, , JAR, , , Inactive, 1984, 2001, 
AlpenAir, , Austria, , LPN, , , Inactive, 1968, 1992, 
Amadeus Air, , Austria, AM, AMU, , , Inactive, 1992, 1995, 
Amerer Air, , Austria, , AMK, AMER AIR, , Inactive, 1995, 2009, 
Amira Air, , Austria, , XPE, EXPERT, , Inactive, 2004, 2016, 
Anisec Luftfahrt, , Austria, VK, FOO, AUSTROJET, , Inactive, 2017, 2019, 
Austria-Flugdienst, , Austria, , , , , Inactive, 1958, 1964, 
Austrian Air Services, , Austria, SO, AAS, AIR SERVICES, , Inactive, 1980, 1994, 
Austrian Air Transport, , Austria, , AAT, AUSTRIAN CHARTER, , Inactive, 1964, 2001, 
Austrian Arrows, , Austria, VO, TYR, TYROLEAN, , Inactive, 2003, 2012, 
Austrojet, , Austria, , AUJ, AUSTROJET, , Inactive, 2006, 2009, 
Avia-Consult Flugbetrieb, , Austria, , AJF, AVIACONSULTANT, , Inactive, 1989, 1996, 
B.A.C.H. Flubetriebs, , Austria, B4, BCF, BACH, , Inactive, 2002, 2002, 
Bannert Air, , Austria, , BBA, BNAIR, , Inactive, 1998, 1998, 
Business Flight Salzburg, , Austria, , AUJ, AUSTROJET, , Inactive, 2000, 2010, 
Charter Air, , Austria, , CHW, CHARTER WIEN, , Inactive, 2004, 2006, 
City-Jet Luftfahrt, , Austria, , CIT, CITY VIENNA, , Inactive, 1993, 1996, 
Clevair, , Austria, , , , , Inactive, 2005, 2007, 
Comtel Air, , Austria, , COE, COMTEL AIR, , Inactive, 1988, 2011, 
Eagle Airlines, , Austria, ZN, EAV, MAYFLOWER, , Inactive, 2001, 2002, 
Easy Aviation, , Austria, , , , , Inactive, 2008, 2013, 
Europ Star Aircraft, , Austria, , ESQ, EUROP STAR, , Inactive, 2003, 2017, 
Fairline, , Austria, , , FAIRLINE, , Inactive, 2003, 2004, 
flyNiki, , Austria, HG, AYP, FLYNIKI, , Inactive, 2003, 2004, 
InterSky, , Austria, 3L, ISK, INTERSKY, , Inactive, 2002, 2015, 
Jetalliance, , Austria, , JAG, JETALLIANCE, , Inactive, 1996, 2013, 
Jetfly Airlines, , Austria, , JFL, BLUE DANUBE, , Inactive, 1997, 2009, 
Knaus Helicopter, , Austria, , , , , Inactive, 1992, 2007, 
Lauda, , Austria, OE, LDM, LAUDA MOTION, , Inactive, 2018, 2020, 
Lauda Air, , Austria, NG, LDA, AUSTRIAN, , Inactive, 1985, 2012, 
LaudaMotion, , Austria, OE, LDM, EXPERT, , Inactive, 2016, 2018, 
Level Europe, , Austria, VK, FOO, AUSTROJET, , Inactive, 2017, 2020, 
LTU Austria, , Austria, L3, LTO, BILLA TRANSPORT, , Inactive, 2004, 2008, 
Luxe Aviation, , Austria, , LAV, , , Inactive, 2007, 2008, 
Magna Air, , Austria, , MGR, MAGNA AIR, , Inactive, 1996, 2001, 
MAPJet, , Austria, AQ, AUN, MAPJET, , Inactive, 2002, 2012, 
Montana Austria, , Austria, OF, , , , Inactive, 1976, 1981, 
Niki, , Austria, HG, NLY, FLYNIKI, , Inactive, 2003, 2017, 
Österreichische Luftverkehrs, , Austria, , , , , Inactive, 1923, 1939, 
People's Viennaline, , Austria, PE, PEV, PEOPLES, , Inactive, 2011, 2018, 
Rheintalflug, , Austria, W, RTL, RHEINTAL, , Inactive, 1973, 2002, 
Robin Hood Aviation, , Austria, RH, RHA, SHERWOOD, , Inactive, 2007, 2011, 
Salzburg Airlines, , Austria, , LFU, UNIFOX, , Inactive, 1986, 1994, 
Salzburg Spirit, , Austria, Z2, STY, , , Inactive, 2004, 2006, 
Skytaxi (Austria), , Austria, , STC, AIR JET, , Inactive, 2007, 2017, 
Smartline, , Austria, , , , , Inactive, 2007, 2007, 
Styrian Spirit, , Austria, Z2, STY, STYRIAN, , Inactive, 2004, 2006, 
Teamline Air, , Austria, L9, TLW, TEAMLINE, , Inactive, 2001, 2004, 
Tyrolean Air Ambulance, , Austria, , TYW, TYROL AMBULANCE, , Inactive, 1976, 2000, 
Tyrolean Airways, , Austria, VO, TYR, TYROLEAN, , Inactive, 1980, 2015, 
ULL 14, , Austria, , ULL, , , Inactive, 2002, 2008, 
Viennair Luftfahrtges, , Austria, , , , , Inactive, 1968, 1971, 
VIP-Air, , Austria, , VPI, , , Inactive, 1973, 2000, 
Welcome Air, , Austria, 2W, WLC, WELCOMEAIR, , Inactive, 2000, 2017, 
X-Jet, , Austria, , KJE, , , Inactive, 2015, 2017, 
KM Malta Airlines, Scheduled, Malta, KM, KMM, SKY NIGHT, , Active, 2024, , 
Malta Air, Scheduled, Malta, AL, MAY, BLUE MED, , Active, 2019, , 
Wizz Air Malta, Scheduled, Malta, W4, WMT, WIZZ AIR MALTA, , Active, 2022, , 
Lauda Europe, Scheduled, Malta, LW, LDA, BEAUFORT, , Active, 2020, , 
Universal Air, Scheduled, Malta, VO, UVL, UNIVERSALAIR, , Active, 2018, , 
Azores Airlines, Scheduled, Portugal, RZO, S4, , , Active, 1998, , 
Orbest, Scheduled, Portugal, OBS, 6O, ORBEST, , Active, 2007, , 
SATA Air Açores, Scheduled, Portugal, SAT, SP, , , Active, 1941, , 
Sevenair Air Services, Scheduled, Portugal, RVP, WV, , , Active, 2000, , 
TAP Express, Scheduled, Portugal, PGA, NI+TP, , , Active, 2016, , 
TAP Air Portugal, Scheduled, Portugal, TAP, TP, , , Active, 1946, , 
World2Fly Portugal, Scheduled, Portugal, WPT, 3P, , , Active, 2021, , 
EuroAtlantic Airways, Charter, Portugal, MMZ, MM, EuroAtlantic Airways, , Active, 2000, , 
Everjets, Charter, Portugal, EVJ, , Everjets, , Active, 2015, , 
Hi Fly, Charter, Portugal, HFY, 5K, SKY FLYER, , Active, 2006, , 
Lease Fly, Charter, Portugal, LZF, -, , , Active, 2012, , 
NetJets Europe, Charter, Portugal, NJE, 1I, , , Active, 1996, , 
Omni - Aviação e Tecnologia, Charter, Portugal, OAV, OC, , , Active, 1998, , 
White Airways, Charter, Portugal, WHT, -, , , Active, 2004, , 
World2Fly Portugal, Charter, Portugal, WPT, 3P, , , Active, 2021, , 
City Airlines, Scheduled, Germany, VL, LHX, CITY AIR, , 2024 (planned), , , 
Eurowings, Scheduled, Germany, EW, EWG, EUROWINGS, , 1993, , , 
RFG - Regionalflug (1976–1992) merged into Eurowings, Scheduled, Germany, , , , , , , , 
FLN Frisia Luftverkehr, Scheduled, Germany, , FRS, , , 2014, , , 
Lufthansa, Scheduled, Germany, LH, DLH, LUFTHANSA, , 1926, , , 
Lufthansa CityLine, Scheduled, Germany, CL, CLH, HANSALINE, , 1992, , , 
OFD Ostfriesischer-Flug-Dienst, Scheduled, Germany, , , , , 2011, , , 
TUI fly Deutschland, Scheduled, Germany, X3, TUI, TUI JET, , 2006, , , 
Hapagfly (2005–2007) merged into TUIfly (Germany)/ later rebranded TUI fly Deutschland, Scheduled, Germany, , , , , , , , 
Discover Airlines, Scheduled, Germany, 4Y, OCN, OCEAN, , 2023, , , 
AeroLogic, Cargo, Germany, 3S, BOX, GERMAN CARGO, , 2009, , , 
European Air Transport Leipzig, Cargo, Germany, QY, BCS, POSTMAN, , 2010, , , 
Lufthansa Cargo, Cargo, Germany, LH, GEC, LUFTHANSA CARGO, , 1993, , , 
CargoLogic Germany, Cargo, Germany, -, GCL, SAXONIA, , , , , 
