Name, IATA code, ICAO code, Country, City, Time Zone, Elevation, Length, Latitude, Longitude, 
Anaa, AAA, NTGA, French Polynesia, Anaa, UTC−10:00, 3, 1500, -17.355000000000, -145.508333000000, 
Arrabury, AAB, YARY, Australia, Arrabury, UTC+10:00, 101, 1144, -26.690556000000, 141.047500000000, 
El Arish International, AAC, HEAR, Egypt, El Arish, UTC+02:00, 37, 2650, 31.073333000000, 33.835833000000, 
Adado, AAD, TVSV, Somalia, Adado (Cadaado), UTC+03:00, , , 17.592777777778, 33.959166666667, 
Rabah Bitat (Les Salines), AAE, DABB, Algeria, Annaba, UTC+01:00, 5, 3000, 36.822222000000, 7.809444000000, 
Apalachicola Regional, AAF, KAAF, United States, Apalachicola, UTC−05:00, 6, 1585, 29.727607000000, -85.027442000000, 
Arapoti, AAG, SSYA, Brazil, Arapoti, UTC−03:00, 805, , -24.103875000000, -49.789078000000, 
Merzbrück, AAH, EDKA, Germany, Aachen, UTC+01:00, 190, , 50.823056000000, 6.186111000000, 
Arraias, AAI, SWRA, Brazil, Arraias, UTC−03:00, 586, 1725, -13.025000000000, -46.884000000000, 
Cayana Airstrip, AAJ, SMCA, Suriname, Awaradam, UTC−03:00, , , 3.898611000000, -55.577778000000, 
Aranuka, AAK, NGUK, Kiribati, Aranuka, UTC+12:00, 2, 902, 0.185278000000, 173.636667000000, 
Aalborg, AAL, EKYT, Denmark, Aalborg, UTC+01:00, 3, 2652, 57.092789000000, 9.849164000000, 
Mala Mala, AAM, FAMD, South Africa, Mala Mala, UTC+02:00, 343, 1347, -24.818111000000, 31.544584000000, 
Al Ain International, AAN, OMAL, United Arab Emirates, Al Ain, UTC+04:00, 265, 4000, 24.261667000000, 55.609167000000, 
Anaco, AAO, SVAN, Venezuela, Anaco, UTC−04:00, 220, 1200, 9.430225000000, -64.470725000000, 
Aji Pangeran Tumenggung Pranoto International, AAP, WALS, Indonesia, Samarinda, UTC+08:00, 13, , 72.886944000000, -55.596111000000, 
Anapa, AAQ, URKA, Russia, Anapa, UTC+03:00, 53, , 45.002097000000, 37.347272000000, 
Aarhus, AAR, EKAH, Denmark, Aarhus, UTC+01:00, 25, 2782, 56.300017000000, 10.619008000000, 
Apalapsili, AAS, , Indonesia, Apalapsili, UTC+09:00, 914, 900, -3.883000000000, 139.283000000000, 
Altay, AAT, ZWAT, China, Altay, UTC+08:00, , , 47.749000000000, 88.089000000000, 
Asau, AAU, NSAU, Samoa, Asau, UTC+13:00, 2, 610, -13.505778000000, -172.627972000000, 
Allah Valley, AAV, RPMA, Philippines, Surallah, UTC+08:00, 201, 1340, 6.366817000000, 124.751294000000, 
Araxá, AAX, SBAX, Brazil, Araxá, UTC−03:00, 999, 1899, -19.563247000000, -46.960358000000, 
Al Ghaydah, AAY, OYGD, Yemen, Al Ghaydah, UTC+03:00, 41, 2700, 16.191666000000, 52.175000000000, 
Quetzaltenango, AAZ, MGQZ, Guatemala, Quetzaltenango, UTC−06:00, 2371, 1790, 14.865550000000, -91.501981000000, 
Abakan International, ABA, UNAA, Russia, Abakan, UTC+07:00, 253, , 53.740000000000, 91.385000000000, 
Asaba International, ABB, DNAS, Nigeria, Asaba, UTC+01:00, , , 51.690556000000, -1.316667000000, 
Albacete, ABC, LEAB, Spain, Albacete, UTC+01:00, 702, , 38.948528000000, -1.863517000000, 
Abadan International, ABD, OIAA, Iran, Abadan, UTC+03:30, 6, 3100, 30.371111000000, 48.228333000000, 
Lehigh Valley International, ABE, KABE, United States, Allentown, UTC−05:00, , , , , 
Abaiang Atoll, ABF, NGAB, Kiribati, Abaiang, UTC+12:00, 3, 885, 1.798611000000, 173.040556000000, 
Abingdon, ABG, YABI, Australia, Abingdon, UTC+10:00, 183, , -17.617000000000, 143.167000000000, 
Alpha, ABH, YAPH, Australia, Alpha, UTC+10:00, 383, 1463, -23.646111000000, 146.583611000000, 
Abilene Regional, ABI, KABI, United States, Abilene, UTC−06:00, 546, 2194, 32.411306000000, -99.681889000000, 
Port Bouet (Felix Houphouet Boigny Int'l), ABJ, DIAP, Côte d'Ivoire, Abidjan, UTC+00:00, 6, 2700, 5.261386000000, -3.926294000000, 
Kabri Dar, ABK, HAKD, Ethiopia, Kebri Dahar, UTC+03:00, 549, 3333, 6.734000000000, 44.253000000000, 
Ambler (FAA: AFM), ABL, PAFM, United States, Ambler, UTC−09:00, 102, 792, 67.106314000000, -157.857472000000, 
Northern Peninsula, ABM, YNPE, Australia, Bamaga, UTC+10:00, 10, 2042, -10.950833000000, 142.459444000000, 
Albina Airstrip, ABN, SMBN, Suriname, Albina, UTC−03:00, 12, 550, 5.513000000000, -54.050000000000, 
Aboisso, ABO, DIAO, Côte d'Ivoire, Aboisso, UTC+00:00, 29, 590, 5.433000000000, -3.267000000000, 
Atkamba, ABP, , Papua New Guinea, Atkamba, UTC+10:00, 122, 518, -6.050000000000, 141.083000000000, 
Albuquerque International Sunport, ABQ, KABQ, United States, Albuquerque, UTC−07:00, 1632, 4077, 35.040194000000, -106.609194000000, 
Aberdeen Regional, ABR, KABR, United States, Aberdeen, UTC−06:00, 397, 2104, 45.449056000000, -98.421833000000, 
Abu Simbel, ABS, HEBL, Egypt, Abu Simbel, UTC+02:00, 188, 2500, 22.375953000000, 31.611722000000, 
Al-Baha Domestic, ABT, OEBA, Saudi Arabia, Al Bahah, UTC+03:00, 1672, 3350, 20.296139000000, 41.634277000000, 
Haliwen, ABU, WATA, Indonesia, Atambua, UTC+08:00, 437, 865, -9.074444000000, 124.904444000000, 
Nnamdi Azikiwe International, ABV, DNAA, Nigeria, Abuja, UTC+01:00, 342, 3599, 9.006792000000, 7.263172000000, 
Abau, ABW, , Papua New Guinea, Abau, UTC+10:00, 3, 762, -10.200000000000, 148.733000000000, 
Albury, ABX, YMAY, Australia, Albury, UTC+10:00, 164, 1900, -36.067778000000, 146.958056000000, 
Southwest Georgia Regional, ABY, KABY, United States, Albany, UTC−05:00, 60, 2012, 31.535515000000, -84.194473000000, 
Aberdeen, ABZ, EGPD, United Kingdom, Aberdeen, UTC+00:00, 66, 1829, 57.201944000000, -2.197778000000, 
General Juan N. Álvarez International, ACA, MMAA, Mexico, Acapulco, UTC−06:00, , , , , 
Antrim County, ACB, KACB, United States, Bellaire, UTC−05:00, 190, 1524, 44.988576000000, -85.198355000000, 
Kotoka International, ACC, DGAA, Ghana, Accra, UTC+00:00, 62, 2987, 5.605186000000, -0.166786000000, 
Alcides Fernández, ACD, SKAD, Colombia, Acandí, UTC−05:00, 15, 1189, 8.500000000000, -73.633000000000, 
Lanzarote, ACE, GCRR, Spain, Lanzarote, UTC+00:00, 14, 2400, 28.945464000000, -13.605225000000, 
St. Gallen–Altenrhein, ACH, LSZR, Switzerland, Altenrhein, UTC+01:00, 398, 1326, 47.485033000000, 9.560775000000, 
Alderney, ACI, EGJA, United Kingdom, Alderney, UTC+00:00, 88, 880, 49.706111000000, -2.214722000000, 
Anuradhapura, ACJ, VCCA, Sri Lanka, Anuradhapura, UTC+05:30, 143, , 32.110799000000, -84.188848000000, 
Nantucket Memorial, ACK, KACK, United States, Nantucket, UTC−05:00, 14, 1921, 41.253111000000, -70.060306000000, 
Aguaclara, ACL, , Colombia, Aguaclara, UTC−05:00, 315, 800, 4.749000000000, -72.994000000000, 
Arica, ACM, , Colombia, Arica, UTC−05:00, , , -2.133000000000, -71.783000000000, 
Ciudad Acuña International, ACN, MMCC, Mexico, Ciudad Acuña, UTC−06:00, 430, 1700, 29.333917000000, -101.100892000000, 
