Android NDK r23 LTS, August 2021, 
Android NDK r22b, March 2021, 
Android NDK r21e LTS, January 2021, 
Android NDK r20b, June 2019, 
Android NDK r19c, January 2019, 
Android NDK r18b, September 2018, 
Android NDK r17c, June 2018, 
Android NDK r16b, December 2017, 
Android NDK r15c, July 2017, 
Android NDK r14b, March 2017, 
Android NDK r13b, October 2016, 
Android NDK r12b, June 2016, 
Android NDK r12, June 2016, 
Android NDK r11c, March 2016, 
Android NDK r11b, March 2016, 
Android NDK r11, March 2016, 
Android NDK r10e, May 2015, 
Android NDK r10d, December 2014, 
Android NDK r10c, October 2014, 
Android NDK r10b, September 2014, 
Android NDK r10, July 2014, 
Android NDK r9d, March 2014, 
Android NDK r9c, December 2013, 
Android NDK r9b, October 2013, 
Android NDK r9, July 2013, 
Android NDK r8e, March 2013, 
Android NDK r8d, December 2012, 
Android NDK r8c, November 2012, 
Android NDK r8b, July 2012, 
Android NDK r8, May 2012, 
Android NDK r7c, April 2012, 
Android NDK r7b, February 2012, 
Android NDK r7, November 2011, 
Android NDK r6b, August 2011, 
Android NDK r6, July 2011, 
Android NDK r5c, June 2011, 
Android NDK r5b, January 2011, 
Android NDK r5, December 2010, 
Android NDK r4b, June 2010, 
Android NDK r3, March 2010, 
Android NDK r2, September 2009, 
Android NDK r1, June 2009, 
