Android 1.0, N/A, 1, September 23 2008, N/A, N/A, 1, 
Android 1.1, Petit Four, 1.1, February 9 2009, N/A, N/A, 2, 
Android Cupcake 1.5, Cupcake, 1.5, April 27 2009, N/A, N/A, 3, 
Android Donut 1.6, Donut, 1.6, September 15 2009, N/A, N/A, 4, 
Android Eclair 2, Eclair, 2, October 27 2009, N/A, N/A, 5, 
Android Eclair 2.0.1, Eclair, 2.0.1, December 3 2009, N/A, N/A, 6, 
Android Eclair 2.1, Eclair, 2.1, January 11 2010, N/A, N/A, 7, 
Android Froyo 2.2, Froyo, 2.2 - 2.2.3, May 20 2010, N/A, 3.2.25 (October 2014), 8, 
Android Gingerbread 2.3, Gingerbread, 2.3 - 2.3.2, December 6 2010, N/A, 10.0.84 (November 2016), 9, 
Android Gingerbread 2.3.3, Gingerbread, 2.3.3 - 2.3.7, February 9 2011, N/A, 10.0.84 (November 2016), 10, 
Android Honeycomb 3, Honeycomb, 3, February 22 2011, N/A, 10.0.84 (November 2016), 11, 
Android Honeycomb 3.1, Honeycomb, 3.1, May 10 2011, N/A, 10.0.84 (November 2016), 12, 
Android Honeycomb 3.2, Honeycomb, 3.2 - 3.2.6, July 15 2011, N/A, 10.0.84 (November 2016), 13, 
Android Ice Cream Sandwich 4, Ice Cream Sandwich, 4.0 - 4.0.2, October 18 2011, N/A, 14.8.49 (February 2019), 14, 
Android Ice Cream Sandwich 4.0.3, Ice Cream Sandwich, 4.0.3 - 4.0.4, December 16 2011, N/A, 14.8.49 (February 2019), 15, 
Android Jelly Bean 4.1, Jelly Bean, 4.1 - 4.1.2, July 9 2012, N/A, 21.33.56 (September 2021), 16, 
Android Jelly Bean 4.2, Jelly Bean, 4.2 - 4.2.2, November 13 2012, N/A, 21.33.56 (September 2021), 17, 
Android Jelly Bean 4.3, Jelly Bean, 4.3 - 4.3.1, July 24 2013, N/A, 21.33.56 (September 2021), 18, 
Android KitKat 4.4, Key Lime Pie, 4.4 - 4.4.4, October 31 2013, October 2017 (48 months), 22.06.15 (March 2022), 19, 
Android KitKat 4.4W, Key Lime Pie, 4.4W - 4.4W.2, June 25 2014, ?, 22.06.15 (March 2022), 20, 
Android Lollipop 5, Lemon Meringue Pie, 5.0 - 5.0.2, November 4 2014, November 2017 (36 months), 22.06.15 (March 2022), 21, 
Android Lollipop 5.1, Lemon Meringue Pie, 5.1 - 5.1.1, March 2 2015, March 2018 (36 months), 22.06.15 (March 2022), 22, 
Android Marshmallow 6, Macadamia Nut Cookie, 6.0 - 6.0.1, October 2 2015, August 2018 (34 months), 22.06.15 (March 2022), 23, 
Android Nougat 7, New York Cheesecake, 7, August 22 2016, August 2019 (36 months), 22.06.15 (March 2022), 24, 
Android Nougat 7.1, New York Cheesecake, 7.1 - 7.1.2, October 4 2016, October 2019 (36 months), 22.06.15 (March 2022), 25, 
Android Oreo 8, Oatmeal Cookie, 8, August 21 2017, January 2021 (41 months), 22.06.15 (March 2022), 26, 
Android Oreo 8.1, Oatmeal Cookie, 8.1, December 5 2017, October 2021 (46 months), 22.06.15 (March 2022), 27, 
Android Pie 9, Pistachio Ice Cream, 9, August 6 2018, January 2022 (41 months), 22.06.15 (March 2022), 28, 
Android 10, Quince Tart, 10, September 3 2019, March 2022 (30+ months), 22.06.15 (March 2022), 29, 
Android 11, Red Velvet Cake, 11, September 8 2020, March 2022 (30+ months), 22.06.15 (March 2022), 30, 
Android 12, Snow Cone, 12, October 4 2021, March 2022 (30+ months), 22.06.15 (March 2022), 31, 
Android 12L, Snow Cone v2, 12, March 7 2022, March 2022 (30+ months), 22.06.15 (March 2022), 32, 
Android 13, Tiramisu, 13, Q3 2022, N/A, 22.06.15 (March 2022), 33, 
