Road, Path, Type, Length [km], European Road
N1, Brussels Antwerp Breda (The Netherlands), nacional road, 70.100, 
N2, Brussels Hasselt Maastricht (The Netherlands), nacional road, 95.000, 
N2a, , nacional road, , 
N2b, , nacional road, , 
N2c, , nacional road, , 
N2d, , nacional road, 1.900, 
N2e, , nacional road, , 
N2f, , nacional road, , 
N2g, , nacional road, , 
N3, Brussels Leuven Liège Aachen (Germany), nacional road, 134.000, 
N4, Brussels Namur Arlon Luxembourg City (Luxembourg), nacional road, 195.000, 
N5, Brussels Charleroi Reims (France), nacional road, 105.000, 
N6, Brussels Mons Maubeuge (France), nacional road, 70.000, 
N7, Halle Tournai Lille (France), nacional road, 80.000, 
N8, Brussels Kortrijk Ypres Koksijde, nacional road, 152.000, 
N9, Brussels Ghent Bruges Ostend, nacional road, 116.000, 
N10, Mortsel Diest, nacional road, 66.000, 
N20, Hasselt Liège, nacional road, 33.000, 
N30, Liège Bastogne, nacional road, 85.500, 
N40, Arlon Mons, nacional road, 165.000, 
N50, Mons Bruges, nacional road, 102.000, 
N60, Ghent Peruwelz Valenciennes (France), nacional road, , 
N70, Ghent Antwerp, nacional road, , 
N80, Hasselt Namur, nacional road, , 
N90, Mons Charleroi Namur Liège, nacional road, , 
N11, Merksem Putte (The Netherlands), nacional road, 11.000, 
N12, Antwerp Turnhout Poppel (The Netherlands), nacional road, , 
N13, Lier Geel, nacional road, , 
N14, Mechelen Meerle (The Netherlands), nacional road, , 
N15, Mechelen Westerlo, nacional road, , 
N16, Mechelen Sint-Niklaas, nacional road, , 
N17, Puurs Dendermonde, nacional road, , 
N18, Turnhout Leopoldsburg, nacional road, , 
N19, Turnhout Leuven, nacional road, , 
N21, Brussels Haacht Aarschot, nacional road, , 
N22, Brussels Zaventem, nacional road, , 
N23, Rue Belliard Avenue de Roodebeek (including tunnels), nacional road, , 
N24, Place Poelaert Avenue Louise Avenue Franklin Roosevelt, nacional road, , 
N25, Leuven Wavre Ottignies Louvain-la-Neuve Nivelles, nacional road, , 
N26, Leuven Mechelen, nacional road, , 
N27, Waterloo La Louvière Binche, nacional road, , 
N28, Nivelles Halle Ninove, nacional road, , 
N29, Charleroi Diest Beringen, nacional road, , 
N31, Bruges Zeebruges, nacional road, , 
N32, Bruges Menen Halluin (France), nacional road, , 
N33, Ostend Torhout, nacional road, , 
N34, Knokke Ostend Adinkerke, nacional road, , 
N35, De Panne Gavere, nacional road, , 
N36, Zarren Roeselare Ronse, nacional road, , 
N37, Aalter Ypres, nacional road, , 
N38, Ypres Cassel (France), nacional road, , 
N39, Nieuwpoort Dunkirk (France), nacional road, , 
N41, Aalst Dendermonde Sint-Niklaas Hulst (The Netherlands), nacional road, , 
N42, Wetteren Geraardsbergen Lessines, nacional road, , 
N43, Ghent Kortrijk Mouscron, nacional road, , 
N44, Aalter Maldegem, nacional road, , 
N45, Aalst Ninove Soignies, nacional road, , 
N46, Aalst Oudenaarde, nacional road, , 
N47, Asse Lokeren, nacional road, , 
N48, Brakel Ronse Tournai, nacional road, , 
N49, Antwerp Zelzate Maldegem Knokke, nacional road, , 
N51, Mons Quiévrain Valenciennes Nord D630 (France), nacional road, , 
N52, Gaurain-Ramecroix Brunehaut, nacional road, , 
N53, Charleroi Chimay, nacional road, , 
N54, Charleroi Erquelinnes Maubeuge Nord D649 (France), nacional road, , 
N55, Enghien La Louvière Solre-sur-Sambre, nacional road, 47.800, 
N56, Nimy Ath, nacional road, , 
N57, Ronse Lessines Soignies Familleureux, nacional road, , 
N58, Dottignies Dronkaard ... Menen (A19) Armentières (France), nacional road, , 
N59, Feluy Gozée, nacional road, , 
N61, Liège Verviers Limbourg Eupen, nacional road, , 
N62, Beaufays Saint-Vith Diekirch (Luxembourg), nacional road, , 
N63, Liège Marche-en-Famenne, nacional road, , 
N64, Huy Tirlemont, nacional road, , 
N65, Huy Waremme, nacional road, , 
N66, Huy Trois-Ponts, nacional road, , 
N67, Welkenraedt Eupen Monschau (Germany), nacional road, , 
N68, Aachen (Germany) Eupen Stavelot Diekirch (Luxembourg), nacional road, , 
N69, Tongeren Waremme Moxhe, nacional road, , 
N71, Geel Mol Lommel Hamont Achel Maarheeze (The Netherlands), nacional road, , 
N72, Zonhoven Beringen Heppen, nacional road, , 
N73, Kessenich Tessenderlo, nacional road, , 
N74, Hasselt Eindhoven (The Netherlands), nacional road, 39.000, 
N75, Hasselt Genk Dilsen, nacional road, , 
N76, Borgloon Genk Hamont, nacional road, , 
N77, Genk Maastricht (The Netherlands), nacional road, , 
N78, Vroenhoven Maaseik Venlo (The Netherlands), nacional road, , 


N79, Sint-Truiden Maastricht (The Netherlands), nacional road, , 
N81, Arlon Athus, nacional road, , 
N82, Arlon Virton, nacional road, , 
N83, Arlon Bouillon, nacional road, , 
N84, Bastogne Ettelbruck, nacional road, , 
N85, Carignan Florenville Bastogne, nacional road, , 
N86, Aywaille Marche-en-Famenne Ave-et-Auffe, nacional road, , 
N87, N4 Virton Montmédy, nacional road, , 
N88, Athus Virton Florenville, nacional road, , 
N89, Sedan (France) Salmchâteau, nacional road, , 
N91, Namur Hamme-Mille, nacional road, , 
N92, Namur Dinant, nacional road, 27.952, 
N93, Namur Nivelles, nacional road, , 
N94, Dinant Halma, nacional road, , 
N95, Dinant Bouillon, nacional road, , 
N96, Yvoir Dinant Givet (France), nacional road, , 
N97, Philippeville Clavier, nacional road, , 
N98, Sombreffe Vodecée, nacional road, , 
N99, Doische Couvin Chimay Hirson (France), nacional road, 52.500, 
N203, Ring N203a Sint-Rochus (Halle), nacional road, , 
N237, Ottignies Court-Saint-Étienne Bousval Genappe Nivelles, nacional road, , 
N275, Watermael-Boitsfort Villers-la-Ville, nacional road, , 
N285, Asse Hove, nacional road, , 
N375, Ypres (N37b) Dikkebus Loker Belle (Bailleul) Nord D23 (France), nacional road, , 
N397, Zedelgem (N309) Bruges, nacional road, , 
N500, Tournai Antoing Vezon, nacional road, , 
N501, Vaulx N7, nacional road, , 
N502, Tournai Antoing Bruyelle (Antoing), nacional road, , 
N503, Antoing Callenelle (Péruwelz), nacional road, , 
N504, Péruwelz Vezon, nacional road, , 
N505, Péruwelz Stambruges (Access 27 A16E42), nacional road, , 
N506, Quevaucamps Blaton (Access 28 A16E42), nacional road, , 
N507, Tournai Brunehaut Saint-Amand-les-Eaux Nord D169 (France), nacional road, , 
N508, Tournai Rumes Orchies Nord D938 (France), nacional road, , 
N509, Tournai Templeuve Roubaix Nord D206 (France), nacional road, , 
N523, Brugelette Silly, nacional road, , 
N524, Tertre Soignies, nacional road, , 
N525, Chièvres Hornu, nacional road, , 
N526, Leuze-en-Hainaut Sirault, nacional road, , 
N527, Ath Grandglise-Stambruges, nacional road, , 
N528, Ath Frasnes-lez-Buissenal, nacional road, , 
N529, Tournai Lessines, nacional road, , 
N532, Braine-le-Comte Mignault, nacional road, , 
N533, Braine-le-Comte Nivelles, nacional road, , 
N534, Marche-lez-Ecaussinnes Ronquières, nacional road, , 
N550, Cuesmes Boussu, nacional road, , 
N563, Chapelle-lez-Herlaimont Gœgnies-Chaussée Gognies-Chaussée Nord D31 Bavay Nord D932 (France), nacional road, , 
N567, Mellet Fleurus, nacional road, , 
N574, Nalinnes-Bultia Biesme, nacional road, , 
N582, Fontaine-l'Eveque Gosselies, nacional road, , 
N586, Nivelles Gosselies, nacional road, , 
N681, Malmedy Robertville, nacional road, , 
N910, Mesnil-Saint-Blaise Achêne, nacional road, , 
N911, Beauraing Rochefort, nacional road, , 
N912, Éghezée Fleurus, nacional road, , 
N913, Carlsbourg Graide Houdremont, nacional road, , 
N914, Sorendal Vresse-sur-Semois Graide, nacional road, , 
N915, Anthée Mesnil-Saint-Blaise, nacional road, , 
N921, Ciney Halbosart, nacional road, , 
N922, Châtelet Sovimont, nacional road, , 
N922, Châtelet Fosses-la-Ville Floreffe, nacional road, , 
N923, Jemeppe-sur-Sambre Ham-sur-Sambre, nacional road, , 
N924, Champion Wasseiges, nacional road, , 
N929, Dion Houyet Grandhan, nacional road, , 
N930, Onoz Vitrival, nacional road, , 
N932, Annevoie-Rouillon Fraire, nacional road, , 
N935, Gedinne Pussemange, nacional road, , 
N936, Hastière Onhaye Dinant Achêne, nacional road, , 
N937, Yvoir Ciney, nacional road, , 
N938, Achêne Méan, nacional road, , 
N942, Saint-Germain (Eghezée) Frisée, nacional road, , 
N947, Jambes Godinne, nacional road, , 
N948, Dinant Dorinne, nacional road, , 
N951, Wépion Morville, nacional road, , 
