Name, ID, Latitude, Longitude
's Hertogenbosch, BE.NMBS.008400319, 51.69042, 5.294278
Aachen Hbf, BE.NMBS.008015345, 50.770832, 6.105275
Aalst, BE.NMBS.008895000, 50.942813, 4.039653
Aalst-Kerrebroek, BE.NMBS.008895125, 50.948377, 4.024407
Aalter, BE.NMBS.008891140, 51.092295, 3.447848
Aarschot, BE.NMBS.008833209, 50.984406, 4.824043
Aarsele, BE.NMBS.008892288, 50.98446, 3.418363
Acren, BE.NMBS.008886546, 50.733095, 3.847086
Agde, BE.NMBS.008778127, 43.317498, 3.4658
Aime-la-Plagne, BE.NMBS.008774176, 45.554202, 6.648394
Aiseau, BE.NMBS.008874583, 50.429529, 4.584552
Aix-en-Provence TGV, BE.NMBS.008731901, 43.53333, 5.433333
Aix-la-Chapelle Ouest, BE.NMBS.008015199, 50.78078, 6.07055
Albertville, BE.NMBS.008774164, 45.673624, 6.383617
Alken, BE.NMBS.008831039, 50.886837, 5.292866
Amay, BE.NMBS.008843331, 50.546011, 5.32049
Ampsin, BE.NMBS.008843323, 50.539215, 5.289729
Amsterdam CS, BE.NMBS.008400058, 52.37908, 4.900632
Andenne, BE.NMBS.008863404, 50.496759, 5.094699
Anderlecht, BE.NMBS.008811940, 50.8179, 4.2918
Angleur, BE.NMBS.008842002, 50.613152, 5.599695
Annappes, BE.NMBS.008728685, 50.633333, 3.15
Ans, BE.NMBS.008841202, 50.661208, 5.509704
Anseremme, BE.NMBS.008863818, 50.238023, 4.90553
Antibes, BE.NMBS.008775767, 43.586618, 7.1201361
Antoing, BE.NMBS.008885522, 50.569626, 3.451309
Antwerp-Berchem, BE.NMBS.008821121, 51.19923, 4.432221
Antwerp-Central, BE.NMBS.008821006, 51.2172, 4.421101
Antwerp-East, BE.NMBS.008821022, 51.207357, 4.436392
Antwerp-Haven, BE.NMBS.008821048, 51.289968, 4.379086
Antwerp-Luchtbal, BE.NMBS.008821063, 51.244132, 4.425029
Antwerp-Noorderdokken, BE.NMBS.008821089, 51.261643, 4.427906
Antwerp-South, BE.NMBS.008821196, 51.197828, 4.390259
Antwerpen-Dam, BE.NMBS.008821030, 51.231991, 4.426238
Anzegem, BE.NMBS.008892734, 50.826385, 3.495014
Appelterre, BE.NMBS.008895745, 50.813063, 3.972108
Arcaden, BE.NMBS.008814472, 50.809722, 4.398333
Archennes, BE.NMBS.008811759, 50.754345, 4.662444
Arlon, BE.NMBS.008866001, 49.68053, 5.809971
Arras, BE.NMBS.008734201, 50.28683, 2.78169
Ascq, BE.NMBS.008728686, 50.616666, 3.166666
Asse, BE.NMBS.008812070, 50.906488, 4.207985
Assesse, BE.NMBS.008864931, 50.368133, 5.022839
Ath, BE.NMBS.008886009, 50.626932, 3.777429
Athus, BE.NMBS.008866605, 49.563346, 5.828947
Athus-Frontiere, BE.NMBS.008869047, 49.551749, 5.824932
Aubange, BE.NMBS.008866654, 49.564093, 5.79806
Aubange-Frontiere-Luxembourg, BE.NMBS.008869088, 49.549455, 5.826307
Aulnoye-Aymeries, BE.NMBS.008729560, 50.19744, 3.843413
Auvelais, BE.NMBS.008874716, 50.449197, 4.630532
Avignon TGV, BE.NMBS.008731896, 43.95, 4.816667
Aye, BE.NMBS.008864352, 50.224135, 5.301091
Aywaille, BE.NMBS.008842754, 50.472938, 5.672499
Aéroport Charles-de-Gaulle TGV, BE.NMBS.008727149, 49.003955, 2.571123
Baasrode-Zuid, BE.NMBS.008822160, 51.019437, 4.153492
Baisieux, BE.NMBS.008728687, 50.6, 3.25
Balegem-Dorp, BE.NMBS.008895257, 50.919612, 3.791425
Balegem-Zuid, BE.NMBS.008895240, 50.90051, 3.80587
Balen, BE.NMBS.008832045, 51.169099, 5.164986
Bambrugge, BE.NMBS.008895463, 50.913769, 3.935711
Barvaux, BE.NMBS.008864451, 50.349417, 5.501542
Bas-Oha, BE.NMBS.008843430, 50.52263, 5.190937
Bascharage-Sanem, BE.NMBS.008200718, 49.55836, 5.923742
Basel, BE.NMBS.008500010, 47.547408, 7.590716
Basse-Wavre, BE.NMBS.008811734, 50.72442, 4.621651
Bastogne-Nord, BE.NMBS.008865128, 50.006919, 5.720744
Bastogne-Sud, BE.NMBS.008865110, 49.999737, 5.709858
Beauraing, BE.NMBS.008863867, 50.11443, 4.95684
Beernem, BE.NMBS.008891124, 51.128009, 3.329892
Beersel, BE.NMBS.008814423, 50.766616, 4.302605
Beervelde, BE.NMBS.008894151, 51.08753, 3.879384
Begijnendijk, BE.NMBS.008821865, 51.021972, 4.800338
Beignée, BE.NMBS.008871183, 50.333893, 4.406305
Bellem, BE.NMBS.008891157, 51.083908, 3.487374
Belsele, BE.NMBS.008894433, 51.150994, 4.088608
Beringen, BE.NMBS.008832235, 51.050603, 5.235892
Berlaar, BE.NMBS.008821816, 51.113662, 4.638811
Berlin Hbf, BE.NMBS.008065969, 52.525589, 13.369548
Berlin Lichtenberg, BE.NMBS.008032318, 52.5097, 13.4965
Bertrange Strassen, BE.NMBS.008200510, 49.613002, 6.060601
Bertrix, BE.NMBS.008865300, 49.852835, 5.267193
Berzée, BE.NMBS.008873320, 50.285603, 4.405909
Beuzet, BE.NMBS.008861424, 50.534208, 4.748533
Beveren, BE.NMBS.008894748, 51.208336, 4.25952
Beverlo, BE.NMBS.008832227, 51.087719, 5.234373
Bierges-Walibi, BE.NMBS.008811718, 50.707772, 4.594746
Bierset-Awans, BE.NMBS.008841319, 50.65861, 5.460551
Bilzen, BE.NMBS.008831138, 50.868643, 5.50938
Binche, BE.NMBS.008882362, 50.408764, 4.172451
Bissegem, BE.NMBS.008896388, 50.825845, 3.224205
Blandain-Frontiere, BE.NMBS.008889045, 50.61749, 3.26373
Blankenberge, BE.NMBS.008891405, 51.312432, 3.133864
Blanmont, BE.NMBS.008861531, 50.619453, 4.636393
Blaton, BE.NMBS.008884715, 50.505461, 3.666304
Bleret, BE.NMBS.008841434, 50.685065, 5.286394
Bockstael, BE.NMBS.008812021, 50.87943, 4.348513
Boechout, BE.NMBS.008821634, 51.16348, 4.494489
Bokrijk, BE.NMBS.008831781, 50.955812, 5.408386
Bomal, BE.NMBS.008864469, 50.376798, 5.519304
Booischot, BE.NMBS.008821857, 51.037344, 4.773478
Boom, BE.NMBS.008822814, 51.090713, 4.360694
Boondaal/Boondael, BE.NMBS.008814456, 50.801665, 4.393387
Boortmeerbeek, BE.NMBS.008822475, 50.981853, 4.5739
Bordeaux Saint Jean, BE.NMBS.008758100, 44.8256102, -0.5557068
Bordet, BE.NMBS.008811163, 50.877785, 4.410026
Bornem, BE.NMBS.008822772, 51.099225, 4.240526
Bosvoorde/Boitsfort, BE.NMBS.008811437, 50.794698, 4.408112
Bourg-Saint-Maurice, BE.NMBS.008774179, 45.618826, 6.771664
Boussu, BE.NMBS.008884319, 50.436388, 3.797025
Bouwel, BE.NMBS.008821725, 51.165764, 4.746511
Bracquegnies, BE.NMBS.008881463, 50.474457, 4.126345
Braine-l'Alleud, BE.NMBS.008814258, 50.684778, 4.375526
Braine-le-Comte, BE.NMBS.008883006, 50.605079, 4.137662
Breda, BE.NMBS.008400131, 51.594459, 4.7764
Bressoux, BE.NMBS.008843901, 50.643967, 5.611057
Brugelette, BE.NMBS.008886066, 50.594229, 3.852551
Bruges, BE.NMBS.008891009, 51.197226, 3.216726
Brugge-Sint-Pieters, BE.NMBS.008891033, 51.223115, 3.201795
Brussels Airport - Zaventem, BE.NMBS.008819406, 50.896456, 4.482076
Brussels-Central, BE.NMBS.008813003, 50.845658, 4.356801
Brussels-Chapelle/Brussels-Kapellekerk, BE.NMBS.008813037, 50.841127, 4.347866
Brussels-Congres, BE.NMBS.008813045, 50.852067, 4.362051
Brussels-Luxemburg/Brussels-Luxembourg, BE.NMBS.008811304, 50.838943, 4.373674
Brussels-North, BE.NMBS.008812005, 50.859663, 4.360846
Brussels-Schuman, BE.NMBS.008811916, 50.843276, 4.380722
Brussels-South/Brussels-Midi, BE.NMBS.008814001, 50.835707, 4.336531
Brussels-West, BE.NMBS.008815040, 50.848552, 4.321042
Buda, BE.NMBS.008811148, 50.907495, 4.417074
Buggenhout, BE.NMBS.008822145, 51.016291, 4.201666
Buizingen, BE.NMBS.008814340, 50.751577, 4.258558
Burst, BE.NMBS.008895455, 50.907198, 3.922416
Béziers, BE.NMBS.008778100, 43.336177, 3.218794
Callenelle, BE.NMBS.008884889, 50.527359, 3.52618
Cambron-Casteau, BE.NMBS.008886074, 50.586759, 3.874809
Cannes, BE.NMBS.008775762, 43.553742, 7.019895
Capellen, BE.NMBS.008200518, 49.645, 5.990833
Carlsbourg, BE.NMBS.008865565, 49.905458, 5.092784
Carnieres, BE.NMBS.008882248, 50.447957, 4.263826
Ceroux-Mousty, BE.NMBS.008811817, 50.659941, 4.569046
Chambéry-Challes-les-Eaux, BE.NMBS.008774100, 45.571498, 5.919756
Chapelle-Dieu, BE.NMBS.008861317, 50.557374, 4.697627
Chapois, BE.NMBS.008864824, 50.262366, 5.124255
Charleroi-Central, BE.NMBS.008872009, 50.40471, 4.438567
Charleroi-Ouest, BE.NMBS.008872066, 50.410948, 4.436653
Chastre, BE.NMBS.008861523, 50.608819, 4.648888
Chaudfontaine, BE.NMBS.008842051, 50.586982, 5.643734
Château-de-Seilles, BE.NMBS.008863438, 50.497209, 5.081745
