Municipality, Municipality Cyrillic, Province, Largest City, 
Bansko, Банско, Blagoevgrad, Bansko, 
Belitsa, Белица, Blagoevgrad, Belitsa, 
Blagoevgrad, Благоевград, Blagoevgrad, Blagoevgrad, 
Garmen, Гърмен, Blagoevgrad, Garmen, 
Gotse Delchev, Гоце Делчев, Blagoevgrad, Gotse Delchev, 
Hadzhidimovo, Хаджидимово, Blagoevgrad, Hadzhidimovo, 
Kresna, Кресна, Blagoevgrad, Kresna, 
Petrich, Петрич, Blagoevgrad, Petrich, 
Razlog, Разлог, Blagoevgrad, Razlog, 
Sandanski, Сандански, Blagoevgrad, Sandanski, 
Satovcha, Сатовча, Blagoevgrad, Satovcha, 
Simitli, Симитли, Blagoevgrad, Simitli, 
Strumyani, Струмяни, Blagoevgrad, Strumyani, 
Yakoruda, Якоруда, Blagoevgrad, Yakoruda, 
Aytos, Айтос, Burgas, Aytos, 
Burgas, Бургас, Burgas, Burgas, 
Kameno, Камено, Burgas, Kameno, 
Karnobat, Карнобат, Burgas, Karnobat, 
Malko Tarnovo, Малко Търново, Burgas, Malko Tarnovo, 
Nesebar, Несебър, Burgas, Nesebar, 
Pomorie, Поморие, Burgas, Pomorie, 
Primorsko, Приморско, Burgas, Primorsko, 
Ruen, Руен, Burgas, Ruen, 
Sozopol, Созопол, Burgas, Sozopol, 
Sredets, Средец, Burgas, Sredets, 
Sungurlare, Сунгурларе, Burgas, Sungurlare, 
Tsarevo, Царево, Burgas, Tsarevo, 
Balchik, Балчик, Dobrich, Balchik, 
Dobrich, Добрич-Град, Dobrich, Dobrich, 
Dobrichka, Добричка, Dobrich, Dobrich, 
General Toshevo, Генерал Тошево, Dobrich, General Toshevo, 
Kavarna, Каварна, Dobrich, Kavarna, 
Krushari, Крушари, Dobrich, Krushari, 
Shabla, Шабла, Dobrich, Shabla, 
Tervel, Тервел, Dobrich, Tervel, 
Dryanovo, Дряново, Gabrovo, Dryanovo, 
Gabrovo, Габрово, Gabrovo, Gabrovo, 
Sevlievo, Севлиево, Gabrovo, Sevlievo, 
Tryavna, Трявна, Gabrovo, Tryavna, 
Dimitrovgrad, Димитровград, Haskovo, Dimitrovgrad, 
Harmanli, Харманли, Haskovo, Harmanli, 
Haskovo, Хасково, Haskovo, Haskovo, 
Ivaylovgrad, Ивайловград, Haskovo, Ivaylovgrad, 
Lyubimets, Любимец, Haskovo, Lyubimets, 
Madzharovo, Маджарово, Haskovo, Madzharovo, 
Mineralni Bani, Минерални бани, Haskovo, Mineralni Bani, 
Simeonovgrad, Симеоновград, Haskovo, Simeonovgrad, 
Stambolovo, Стамболово, Haskovo, Stambolovo, 
Svilengrad, Свиленград, Haskovo, Svilengrad, 
Topolovgrad, Тополовград, Haskovo, Topolovgrad, 
Ardino, Ардино, Kardzhali, Ardino, 
Chernoochene, Черноочене, Kardzhali, Chernoochene, 
Dzhebel, Джебел, Kardzhali, Dzhebel, 
Kardzhali, Кърджали, Kardzhali, Kardzhali, 
Kirkovo, Кирково, Kardzhali, Kirkovo, 
Krumovgrad, Крумовград, Kardzhali, Krumovgrad, 
Momchilgrad, Момчилград, Kardzhali, Momchilgrad, 
Boboshevo, Бобошево, Kyustendil, Boboshevo, 
Bobov Dol, Бобов дол, Kyustendil, Bobov Dol, 
Dupnitsa, Дупница, Kyustendil, Dupnitsa, 
Kocherinovo, Кочериново, Kyustendil, Kocherinovo, 
Kyustendil, Кюстендил, Kyustendil, Kyustendil, 
Nevestino, Невестино, Kyustendil, Nevestino, 
Rila, Рила, Kyustendil, Rila, 
Sapareva Banya, Сапарева баня, Kyustendil, Sapareva Banya, 
Treklyano, Трекляно, Kyustendil, Treklyano, 
Apriltsi, Априлци, Lovech, Apriltsi, 
