Province, Province Cyrillic, ISO 3166-1 code, Car Plate Code, # Municipalities, Planning Region, Population (2000), Population (2001), Population (2002), Population (2003), Population (2004), Population (2005), Population (2006), Population (2007), Population (2008), Population (2009), Population (2010), Population (2011), Population (2012), Population (2013), Population (2014), Population (2015), Population (2016), Population (2017), Population (2018), Population (2019), Population (2020), Population (2021), Population (2022), Population (2023),
Blagoevgrad, Благоевград, BG-01, E, 14, South Western, 343918, 339790, 336988, 335638, 334907, 333577, 330034, 329309, 328783, 327885, 325870, 322025, 320160, 318110, 315577, 312831, 310321, 307882, 305123, 302694, 301138, 298251, 288161, 287077, 
Burgas, Бургас, BG-02, A, 13, South Eastern, 425366, 422458, 421049, 419925, 418925, 418750, 417810, 420095, 420840, 422319, 421252, 414947, 414154, 414485, 414184, 413884, 412684, 411579, 410331, 409265, 409750, 408704, 378596, 384446, 
Dobrich, Добрич, BG-08, TX, 8, North Eastern, 224636, 213325, 210635, 208469, 206893, 205541, 204738, 203138, 201499, 199705, 197424, 188088, 186445, 184680, 182808, 180601, 178438, 176145, 173831, 171809, 170298, 167314, 147208, 146635, 
Gabrovo, Габрово, BG-07, EB, 4, North Central, 152317, 142850, 140991, 139115, 137461, 135780, 134490, 133218, 131911, 130001, 127750, 121389, 119971, 118271, 116351, 114272, 112334, 110254, 108404, 106598, 105788, 103404, 95957, 94862, 
Haskovo, Хасково, BG-26, X, 11, South Central, 289829, 275183, 272448, 270096, 268335, 266073, 264312, 261726, 259007, 256408, 253127, 243955, 241676, 239312, 237664, 236383, 233415, 231276, 228141, 225317, 223625, 220269, 207439, 207114, 
Kardzhali, Кърджали, BG-09, K, 7, South Central, 201360, 163341, 162332, 161002, 159878, 158541, 157463, 156652, 156008, 154719, 153571, 152009, 151340, 150605, 152053, 151319, 150837, 151113, 152873, 158204, 160781, 161024, 142508, 146562, 
Kyustendil, Кюстендил, BG-10, KH, 9, South Western, 168973, 160702, 158746, 156376, 154468, 152714, 150792, 149187, 147531, 145577, 143081, 134990, 132813, 130301, 127969, 126014, 123431, 121099, 119041, 116915, 116619, 113440, 108703, 107673, 
Lovech, Ловеч, BG-11, OB, 8, North Western, 174458, 167931, 165456, 163342, 161190, 159214, 157407, 155468, 153474, 151153, 147957, 139609, 137718, 135580, 133513, 131493, 129222, 126961, 124873, 122546, 122490, 119780, 113356, 112225, 
Montana, Монтана, BG-12, M, 11, North Western, 188464, 179741, 176963, 173596, 170217, 166775, 164057, 161161, 158291, 155899, 153066, 145984, 143662, 141596, 139350, 137188, 134669, 132214, 129637, 127001, 125395, 122179, 116172, 114526, 
Pazardzhik, Пазарджик, BG-13, PA, 12, South Central, 313851, 308719, 305790, 303246, 300092, 297781, 296281, 294086, 292534, 290614, 287910, 273803, 271721, 269287, 266549, 263630, 260814, 257965, 255479, 252776, 251300, 247360, 226209, 225261, 
Pernik, Перник, BG-14, PK, 6, South Western, 151769, 148251, 146431, 144104, 142251, 140981, 139677, 138773, 137449, 136249, 134694, 131987, 130240, 128696, 127048, 125456, 123770, 122421, 120880, 119190, 120426, 118023, 111746, 111032, 
Pleven, Плевен, BG-15, EH, 11, North Western, 314965, 325531, 320327, 315230, 310449, 305025, 301634, 297928, 294277, 290589, 286496, 266865, 262969, 259363, 255749, 251986, 248138, 244209, 240380, 236305, 233438, 228300, 220346, 217881, 
Plovdiv, Пловдив, BG-16, PB, 18, South Central, 728246, 714779, 712702, 710958, 709861, 707570, 706413, 705121, 704057, 701684, 696300, 680884, 678860, 678197, 675586, 673283, 671573, 669796, 668334, 666801, 666398, 662907, 631516, 633586, 
Razgrad, Разград, BG-17, PP, 7, North Central, 164001, 144818, 143129, 142388, 140743, 139094, 137853, 136062, 134485, 132740, 130238, 123600, 122166, 120594, 119048, 117241, 115402, 113714, 112229, 110789, 109810, 107764, 101107, 100696, 
Ruse, Русе, BG-18, P, 8, North Central, 273234, 266894, 264232, 261108, 259173, 256835, 255315, 253008, 251236, 249144, 246670, 233767, 231580, 229784, 227685, 225674, 223489, 221336, 218556, 215477, 212729, 209084, 189623, 187830, 
Shumen, Шумен, BG-27, H, 10, North Eastern, 213934, 203383, 201890, 200701, 199577, 198106, 197632, 196559, 195479, 194090, 192203, 179668, 178814, 178061, 176925, 175720, 174476, 172966, 172355, 172262, 171781, 169423, 149628, 149699, 
