Municipality, Island, Island Group, Capital, ISO 3166-2, Area [km2], Parishes, Population 2010 Census, Population 2021 Census
Paul, Santo Antão, Barlavento, Vila das Pombas, CV-PA, 54.3, 1, 6997, 5696
Porto Novo, Santo Antão, Barlavento, Porto Novo, CV-PN, 564.3, 2, 18028, 15914
Ribeira Grande, Santo Antão, Barlavento, Ribeira Grande, CV-RG, 166.5, 5, 18890, 15022
São Vicente, São Vicente, Barlavento, Mindelo, CV-SV, 260.9, 1, 76107, 74016
Ribeira Brava, São Nicolau, Barlavento, Ribeira Brava, CV-RB, 224.8, 2, 7580, 6978
Tarrafal de São Nicolau, São Nicolau, Barlavento, Tarrafal de São Nicolau, CV-TS, 119.8, 1, 5237, 5261
Sal, Sal, Barlavento, Espargos, CV-SL, 219.8, 1, 25765, 33347
Boa Vista, Boa Vista, Barlavento, Sal Rei, CV-BV, 631.1, 2, 9162, 12613
Maio, Maio, Sotavento, Vila do Maio, CV-MA, 274.5, 1, 6952, 6298
Praia, Santiago, Sotavento, Praia, CV-PR, 102.6, 1, 131602, 142009
Ribeira Grande de Santiago, Santiago, Sotavento, Cidade Velha, CV-RS, 137.3, 2, 8325, 7632
Santa Catarina, Santiago, Sotavento, Assomada, CV-CA, 242.6, 1, 43297, 37472
Santa Cruz, Santiago, Sotavento, Pedra Badejo, CV-CR, 112.2, 1, 26609, 25004
São Domingos, Santiago, Sotavento, São Domingos, CV-SD, 147.5, 2, 13808, 13958
São Lourenço dos Órgãos, Santiago, Sotavento, São Lourenço dos Órgãos, CV-SO, 36.9, 1, 7388, 6317
São Miguel, Santiago, Sotavento, Calheta, CV-SM, 77.4, 1, 15648, 12906
São Salvador do Mundo, Santiago, Sotavento, Picos, CV-SS, 26.5, 1, 8677, 7452
Tarrafal, Santiago, Sotavento, Tarrafal, CV-TA, 120.8, 1, 18565, 16620
Mosteiros, Fogo, Sotavento, Mosteiros, CV-MO, 89.5, 1, 9524, 8062
Santa Catarina do Fogo, Fogo, Sotavento, Santa Catarina, CV-CF, 153, 1, 5299, 4725
São Filipe, Fogo, Sotavento, São Filipe, CV-SF, 228.8, 2, 22248, 20732
Brava, Brava, Sotavento, Nova Sintra, CV-BR, 62.5, 2, 5995, 5594
