São João Baptista, Boa Vista, Sal Rei, CV.BV.BV, 380, 6058, 
Santa Isabel, Boa Vista, Rabil, CV.BV.IS, 251.1, 3104, 
São João Baptista, Brava, Nova Sintra, CV.BR.BR, 37.5, 3903, 
Nossa Senhora do Monte, Brava, Furna, CV.BR.MO, 25, 2092, 
Nossa Senhora da Luz, Maio, Vila do Maio, CV.MA.LM, 274.5, 6952, 
Nossa Senhora da Ajuda, Mosteiros, Mosteiros, CV.MO.AJ, 89.5, 9524, 
Santo António das Pombas, Paul, Vila das Pombas, CV.PA.AP, 54.3, 6997, 
São João Baptista, Porto Novo, Porto Novo, CV.PN.BN, 440, 12553, 
Santo André, Porto Novo, Janela, CV.PN.AN, 118, 5475, 
Nossa Senhora da Graça, Praia, Praia, CV.PC.GR, 102.6, 131602, 
Nossa Senhora da Lapa, Ribeira Brava, Ribeira Brava, CV.RB.LP, 134.9, 4861, 
Nossa Senhora do Rosário, Ribeira Brava, Cachaço, CV.RB.RN, 89.9, 2719, 
Nossa Senhora do Rosário, Ribeira Grande, Ribeira Grande, CV.RG.RR, 51.2, 6744, 
Nossa Senhora do Livramento, Ribeira Grande, Ponta do Sol, CV.RG.LT, 47.5, 4582, 
Santo Crucifixo, Ribeira Grande, Lajedos, CV.RG.CX, 36.8, 2856, 
São Pedro Apóstolo, Ribeira Grande, Paúl, CV.RG.PA, 31, 4708, 
Nossa Senhora do Rosário (Chã de Igreja), Ribeira Grande, , CV.RG.RI, , , 
Santíssimo Nome de Jesus, Ribeira Grande de Santiago, Cidade Velha, CV.RS.NJ, 61, 5456, 
São João Baptista, Ribeira Grande de Santiago, Chã de Igreja, CV.RS.BI, 76.3, 2869, 
Nossa Senhora das Dores, Sal, Espargos, CV.SL.DR, 216, 25765, 
Santa Catarina, Santa Catarina, Assomada, CV.CT.CT, 242.6, 43297, 
Santa Catarina, Santa Catarina do Fogo, Cova Figueira, CV.FP.CF, 153, 5299, 
Santiago Maior, Santa Cruz, Pedra Badejo, CV.CZ.IA, 112.2, 26609, 
Nossa Senhora da Luz, São Domingos, São Domingos, CV.SD.LD, 77, 7959, 
São Nicolau Tolentino, São Domingos, Achada Fazenda, CV.SD.NT, 57, 5849, 
Nossa Senhora da Conceição, São Filipe, São Filipe, CV.FP.CC, 114, 14869, 
São Lourenço, São Filipe, Ponta Verde, CV.FP.LR, 114.8, 7379, 
São Lourenço dos Órgãos, São Lourenço dos Órgãos, São Lourenço dos Órgãos, CV.LO.LO, 36.9, 7388, 
São Miguel Arcanjo, São Miguel, Calheta, CV.SM.MA, 91, 15648, 
São Salvador do Mundo, São Salvador do Mundo, Picos, CV.SS.SM, 26.5, 8677, 
Nossa Senhora da Luz, São Vicente, Mindelo, CV.SV.LV, 260.9, 76107, 
Santo Amaro Abade, Tarrafal, Tarrafal, CV.TF.AA, 113, 18565, 
São Francisco, Tarrafal de São Nicolau, Tarrafal de São Nicolau, CV.TS.SF, 119.8, 5237, 
