Region, Type, ISO, Capital, Area [km2], Senate Seats, House Seats, Population 2021 (Census 11/05/2021), Population 2024, Population 2025
Alberta, Province, CA-AB, Edmonton, 661848, 6, 37, 4262635, 4790000, 4870000
British Columbia, Province, CA-BC, Victoria, 944735, 6, 43, 5000879, 5460000, 5530000
Manitoba, Province, CA-MB, Winnipeg, 647797, 6, 14, 1342153, 1500000, 1520000
New Brunswick, Province, CA-NB, Fredericton, 72908, 10, 10, 775610, 850000, 860000
Newfoundland and Labrador, Province, CA-NL, St. John's, 405212, 6, 7, 510550, 540000, 542000
Nova Scotia, Province, CA-NS, Halifax, 55284, 10, 11, 969383, 1050000, 1070000
Ontario, Province, CA-ON, Toronto, 1076395, 24, 122, 14223942, 15700000, 16000000
Prince Edward Island, Province, CA-PE, Charlottetown, 5686, 4, 4, 154331, 178000, 181000
Quebec, Province, CA-QC, Quebec City, 1542056, 24, 78, 8501833, 9040000, 9100000
Saskatchewan, Province, CA-SK, Regina, 651036, 6, 14, 1132505, 1230000, 1250000
Northwest Territories, Territory, CA-NT, Yellowknife, 1143793, 1, 1, 41070, 45000, 46000
Nunavut, Territory, CA-NU, Iqaluit, 2093190, 1, 1, 36858, 40000, 41000
Yukon, Territory, CA-YT, Whitehorse, 482443, 1, 1, 40232, 45000, 47000
