Province, Capital, ISO/HASC Code, # Communes, Area [km²], Population (2026 Est.)
Arica, Arica, CL-AP-AR, 2, 8726, 258400
Parinacota, Putre, CL-AP-PR, 2, 8147, 3300
Iquique, Iquique, CL-TA-IE, 2, 2835, 391200
Tamarugal, Pozo Almonte, CL-TA-TM, 5, 39391, 38500
Antofagasta, Antofagasta, CL-AN-AN, 4, 67814, 445600
El Loa, Calama, CL-AN-EL, 3, 42000, 205300
Tocopilla, Tocopilla, CL-AN-TO, 2, 16236, 36800
Copiapó, Copiapó, CL-AT-CO, 3, 32539, 211400
Huasco, Vallenar, CL-AT-HU, 4, 18202, 81200
Chañaral, Chañaral, CL-AT-CR, 2, 24436, 31900
Elqui, La Serena, CL-CO-EQ, 6, 16895, 602100
Limarí, Ovalle, CL-CO-LM, 5, 13553, 189400
Choapa, Illapel, CL-CO-CH, 4, 10132, 96700
Valparaíso, Valparaíso, CL-VS-VS, 7, 2147, 825400
Marga Marga, Quilpué, CL-VS-MM, 4, 1159, 382900
Quillota, Quillota, CL-VS-QT, 5, 1113, 224600
San Antonio, San Antonio, CL-VS-SA, 6, 1512, 186200
San Felipe, San Felipe, CL-VS-SF, 6, 2659, 175800
Los Andes, Los Andes, CL-VS-LA, 4, 3054, 123500
Petorca, La Ligua, CL-VS-PE, 5, 4589, 85200
Isla de Pascua, Hanga Roa, CL-VS-IP, 1, 164, 8400
Santiago, Santiago, CL-RM-SG, 32, 2030, 6150000
Cordillera, Puente Alto, CL-RM-CD, 3, 5528, 725400
Maipo, San Bernardo, CL-RM-MI, 4, 1121, 556100
Chacabuco, Colina, CL-RM-CB, 3, 2076, 325800
Melipilla, Melipilla, CL-RM-ME, 5, 4066, 215900
Talagante, Talagante, CL-RM-TG, 5, 582, 345200
Cachapoal, Rancagua, CL-LI-CA, 17, 7384, 742800
Colchagua, San Fernando, CL-LI-CL, 10, 5678, 255400
Cardenal Caro, Pichilemu, CL-LI-CC, 6, 3325, 53200
Talca, Talca, CL-ML-TC, 10, 9938, 465200
Curicó, Curicó, CL-ML-CU, 9, 7281, 325100
Linares, Linares, CL-ML-LN, 8, 10050, 310400
Cauquenes, Cauquenes, CL-ML-CQ, 3, 3027, 62800
Diguillín, Bulnes, CL-NB-DG, 9, 5230, 358400
Punilla, San Carlos, CL-NB-PU, 5, 5203, 114200
Itata, Quirihue, CL-NB-IT, 7, 2477, 62500
Concepción, Concepción, CL-BI-CN, 12, 3439, 1125000
Biobío, Los Ángeles, CL-BI-BI, 14, 14988, 445200
Arauco, Lebu, CL-BI-AU, 7, 5463, 178400
Cautín, Temuco, CL-AR-CT, 21, 18409, 825600
Malleco, Angol, CL-AR-ML, 11, 13433, 225400
Valdivia, Valdivia, CL-LR-VD, 8, 10197, 315200
Ranco, La Unión, CL-LR-RA, 4, 8232, 105400
Llanquihue, Puerto Montt, CL-LG-LL, 9, 14876, 465800
Chiloé, Castro, CL-LG-CE, 10, 9182, 195400
Osorno, Osorno, CL-LG-OS, 7, 9224, 258200
Palena, Chaitén, CL-LG-PL, 4, 15302, 21500
Coyhaique, Coyhaique, CL-AI-CI, 2, 12943, 64200
Aisén, Puerto Aisén, CL-AI-AI, 3, 46589, 35400
General Carrera, Chile Chico, CL-AI-GC, 2, 11920, 8200
Capitán Prat, Cochrane, CL-AI-CP, 3, 37044, 5100
Magallanes, Punta Arenas, CL-MA-MG, 4, 38401, 145200
Última Esperanza, Puerto Natales, CL-MA-UE, 2, 55444, 24800
Tierra del Fuego, Porvenir, CL-MA-TI, 3, 22593, 9100
Antártica Chilena, Puerto Williams, CL-MA-AC, 2, 15854, 2800
