Region, Capital, ISO Code, # Provinces, Area [km²], Population (2026)
Arica y Parinacota, Arica, CL-AP, 2, 16873.3, 259802
Tarapacá, Iquique, CL-TA, 2, 42225.8, 406287
Antofagasta, Antofagasta, CL-AN, 3, 126049.1, 714142
Atacama, Copiapó, CL-AT, 3, 75176.2, 319992
Coquimbo, La Serena, CL-CO, 3, 40579.9, 879267
Valparaíso, Valparaíso, CL-VS, 8, 16396.1, 2010849
Metropolitan of Santiago, Santiago, CL-RM, 6, 15403.2, 8420729
O’Higgins, Rancagua, CL-LI, 3, 16387, 987228
Maule, Talca, CL-ML, 4, 30296.1, 1123008
Ñuble, Chillán, CL-NB, 3, 13178.5, 512289
Biobío, Concepción, CL-BI, 3, 23890.2, 1613059
Araucanía, Temuco, CL-AR, 2, 31842.3, 1010423
Los Ríos, Valdivia, CL-LR, 2, 18429.5, 398230
Los Lagos, Puerto Montt, CL-LL, 4, 48583.6, 890284
Aysén, Coyhaique, CL-AI, 4, 108494.4, 108306
Magallanes & Chilean Antarctica, Punta Arenas, CL-MA, 4, 132291.1, 182217
