Department, Capital, Area (km2), ID, Established, Code, ISO 3166-2 code, DANE code, 
Capital District, Bogotá, 1587, 0, 1861, DC, CO-DC, 11, 
Amazonas, Leticia, 109665, 1, 1991, AM, CO-AMA, 91, 
Antioquia, Medellín, 63612, 2, 1886, AN, CO-ANT, 5, 
Arauca, Arauca, 23818, 3, 1991, AR, CO-ARA, 81, 
Atlántico, Barranquilla, 3388, 4, 1910, AT, CO-ATL, 8, 
Bolívar, Cartagena, 25978, 5, 1886, BL, CO-BOL, 13, 
Boyacá, Tunja, 23189, 6, 1824, BY, CO-BOY, 15, 
Caldas, Manizales, 7888, 7, 1905, CL, CO-CAL, 17, 
Caquetá, Florencia, 88965, 8, 1981, CQ, CO-CAQ, 18, 
Casanare, Yopal, 44640, 9, 1991, CS, CO-CAS, 85, 
Cauca, Popayán, 29308, 10, 1824, CA, CO-CAU, 19, 
Cesar, Valledupar, 22905, 11, 1967, CE, CO-CES, 20, 
Chocó, Quibdó, 46530, 12, 1947, CH, CO-CHO, 27, 
Córdoba, Montería, 25020, 13, 1951, CO, CO-COR, 23, 
Cundinamarca, Bogotá, 24210, 14, 1824, CU, CO-CUN, 25, 
Guainía, Inirida, 72238, 15, 1991, GN, CO-GUA, 94, 
Guaviare, San José del Guaviare, 53460, 16, 1991, GV, CO-GUV, 95, 
Huila, Neiva, 19890, 17, 1910, HU, CO-HUI, 41, 
La Guajira, Riohacha, 20848, 18, 1965, LG, CO-LAG, 44, 
Magdalena, Santa Marta, 23188, 19, 1824, MA, CO-MAG, 47, 
Meta, Villavicencio, 82805, 20, 1959, ME, CO-MET, 50, 
Nariño, Pasto, 33268, 21, 1910, NA, CO-NAR, 52, 
Norte de Santander, Cúcuta, 21658, 22, 1910, NS, CO-NSA, 54, 
Putumayo, Mocoa, 24885, 23, 1991, PU, CO-PUT, 86, 
Quindío, Armenia, 1845, 24, 1966, QD, CO-QUI, 63, 
Risaralda, Pereira, 4140, 25, 1966, RI, CO-RIS, 66, 
San Andrés y Providencia, San Andrés, 52, 26, 1991, SA, CO-SAP, 88, 
Santander, Bucaramanga, 30537, 27, 1886, ST, CO-SAN, 68, 
Sucre, Sincelejo, 10917, 28, 1966, SU, CO-SUC, 70, 
Tolima, Ibagué, 23562, 29, 1886, TO, CO-TOL, 73, 
Valle del Cauca, Cali, 22140, 30, 1910, VC, CO-VAC, 76, 
Vaupés, Mitú, 54135, 31, 1991, VP, CO-VAU, 97, 
Vichada, Puerto Carreño, 100242, 32, 1991, VD, CO-VID, 99, 
