Municipality, Department, 
Leticia, Amazonas, 
Puerto Nariño, Amazonas, 
El Encanto, Amazonas, 
La Chorrera, Amazonas, 
La Pedrera, Amazonas, 
La Victoria, Amazonas, 
Mirití-Paraná, Amazonas, 
Puerto Alegría, Amazonas, 
Puerto Arica, Amazonas, 
Puerto Santander, Amazonas, 
Tarapacá, Amazonas, 
Abejorral, Antioquia, 
Abriaquí, Antioquia, 
Alejandría, Antioquia, 
Amagá, Antioquia, 
Amalfi, Antioquia, 
Andes, Antioquia, 
Angelópolis, Antioquia, 
Angostura, Antioquia, 
Anorí, Antioquia, 
Anzá, Antioquia, 
Apartadó, Antioquia, 
Arboletes, Antioquia, 
Argelia, Antioquia, 
Armenia, Antioquia, 
Barbosa, Antioquia, 
Bello, Antioquia, 
Belmira, Antioquia, 
Betania, Antioquia, 
Betulia, Antioquia, 
Bolívar, Antioquia, 
Briceño, Antioquia, 
Buriticá, Antioquia, 
Cáceres, Antioquia, 
Caicedo, Antioquia, 
Caldas, Antioquia, 
Campamento, Antioquia, 
Cañasgordas, Antioquia, 
Caracolí, Antioquia, 
Caramanta, Antioquia, 
Carepa, Antioquia, 
El Carmen de Viboral, Antioquia, 
Carolina del Príncipe, Antioquia, 
Caucasia, Antioquia, 
Chigorodó, Antioquia, 
Cisneros, Antioquia, 
Cocorná, Antioquia, 
Concepción, Antioquia, 
Concordia, Antioquia, 
Copacabana, Antioquia, 
Dabeiba, Antioquia, 
Don Matías, Antioquia, 
Ebéjico, Antioquia, 
El Bagre, Antioquia, 
Entrerríos, Antioquia, 
Envigado, Antioquia, 
Fredonia, Antioquia, 
Frontino, Antioquia, 
Giraldo, Antioquia, 
Girardota, Antioquia, 
Gómez Plata, Antioquia, 
Granada, Antioquia, 
Guadalupe, Antioquia, 
Guarne, Antioquia, 
Guatapé, Antioquia, 
Heliconia, Antioquia, 
Hispania, Antioquia, 
Itagüí, Antioquia, 
Ituango, Antioquia, 
Jardín, Antioquia, 
Jericó, Antioquia, 
La Ceja, Antioquia, 
La Estrella, Antioquia, 
La Pintada, Antioquia, 
La Unión, Antioquia, 
Liborina, Antioquia, 
Maceo, Antioquia, 
Marinilla, Antioquia, 
Medellín, Antioquia, 
Montebello, Antioquia, 
Murindó, Antioquia, 
Mutatá, Antioquia, 
Nariño, Antioquia, 
Nechí, Antioquia, 
Necoclí, Antioquia, 
Olaya, Antioquia, 
Peñol, Antioquia, 
Peque, Antioquia, 
Pueblorrico, Antioquia, 
Puerto Berrío, Antioquia, 
Puerto Nare, Antioquia, 
Puerto Triunfo, Antioquia, 
Remedios, Antioquia, 
Retiro, Antioquia, 
Rionegro, Antioquia, 
Sabanalarga, Antioquia, 
Sabaneta, Antioquia, 
Salgar, Antioquia, 
San Andrés, Antioquia, 
San Carlos, Antioquia, 
San Francisco, Antioquia, 
San Jerónimo, Antioquia, 
San José de la Montaña, Antioquia, 
San Juan de Urabá, Antioquia, 
San Luis, Antioquia, 
San Pedro, Antioquia, 
San Pedro de Urabá, Antioquia, 
San Rafael, Antioquia, 
San Roque, Antioquia, 
Santa Bárbara, Antioquia, 
Santa Fe de Antioquia, Antioquia, 
Santa Rosa de Osos, Antioquia, 
Santo Domingo, Antioquia, 
El Santuario, Antioquia, 
San Vicente, Antioquia, 
Segovia, Antioquia, 
Sonsón, Antioquia, 
Sopetrán, Antioquia, 
Támesis, Antioquia, 
Tarazá, Antioquia, 
Tarso, Antioquia, 
Titiribí, Antioquia, 
Toledo, Antioquia, 
Turbo, Antioquia, 
Uramita, Antioquia, 
Urrao, Antioquia, 
Valdivia, Antioquia, 
Valparaíso, Antioquia, 
Vegachi, Antioquia, 
Venecia, Antioquia, 
Vigía del Fuerte, Antioquia, 
Yali, Antioquia, 
Yarumal, Antioquia, 
Yolombó, Antioquia, 
Yondó, Antioquia, 
Zaragoza, Antioquia, 
Arauca, Arauca, 
Arauquita, Arauca, 
Cravo Norte, Arauca, 
Fortul, Arauca, 
Puerto Rondón, Arauca, 
Saravena, Arauca, 
Tame, Arauca, 
Baranoa, Atlántico, 
Barranquilla, Atlántico, 
Campo de la Cruz, Atlántico, 
Candelaria, Atlántico, 
Galapa, Atlántico, 
Juan de Acosta, Atlántico, 
Luruaco, Atlántico, 
Malambo, Atlántico, 
Manatí, Atlántico, 
Palmar de Varela, Atlántico, 
Piojó, Atlántico, 
Polonuevo, Atlántico, 
Ponedera, Atlántico, 
Puerto Colombia, Atlántico, 
Repelón, Atlántico, 
Sabanagrande, Atlántico, 
Sabanalarga, Atlántico, 
Santa Lucia, Atlántico, 
Santo Tomas, Atlántico, 
Soledad, Atlántico, 
Suan, Atlántico, 
Tubará, Atlántico, 
Usiacurí, Atlántico, 
Antonio Nariño, Bogotá, 
Barrios Unidos, Bogotá, 
Bosa, Bogotá, 
Chapinero, Bogotá, 
Ciudad Bolívar, Bogotá, 
Engativá, Bogotá, 
Fontibón, Bogotá, 
Kennedy, Bogotá, 
La Candelaria, Bogotá, 
Los Mártires, Bogotá, 
Puente Aranda, Bogotá, 
Rafael Uribe Uribe, Bogotá, 
San Cristóbal, Bogotá, 
Santa Fe, Bogotá, 
Suba, Bogotá, 
Sumapaz, Bogotá, 
Teusaquillo, Bogotá, 
Tunjuelito, Bogotá, 
Usaquén, Bogotá, 
Usme, Bogotá, 
Achí, Bolívar, 
Altos del Rosario, Bolívar, 
Arenal, Bolívar, 
Arjona, Bolívar, 
Arroyo Hondo, Bolívar, 
Barranco de Loba, Bolívar, 
Calamar, Bolívar, 
Cantagallo, Bolívar, 
Cartagena, Bolívar, 
Cicuco, Bolívar, 
Clemencia, Bolívar, 
Córdoba, Bolívar, 
El Carmen de Bolívar, Bolívar, 
El Guamo, Bolívar, 
El Peñón, Bolívar, 
Hatillo de Loba, Bolívar, 
Magangué, Bolívar, 
Mahates, Bolívar, 
Margarita, Bolívar, 
María La Baja, Bolívar, 
Mompox, Bolívar, 
Montecristo, Bolívar, 
Morales, Bolívar, 
Norosí, Bolívar, 
Pinillos, Bolívar, 
Regidor, Bolívar, 
Rio Viejo, Bolívar, 
San Cristóbal, Bolívar, 
San Estanislao, Bolívar, 
San Fernando, Bolívar, 
San Jacinto, Bolívar, 
San Juan Nepomuceno, Bolívar, 
San Martín de Loba, Bolívar, 
San Pablo, Bolívar, 
Santa Catalina, Bolívar, 
Santa Rosa, Bolívar, 
Santa Rosa del Sur, Bolívar, 
Simití, Bolívar, 
Soplaviento, Bolívar, 
Talaiga Nuevo, Bolívar, 
Tiquisio, Bolívar, 
Turbaco, Bolívar, 
Turbana, Bolívar, 
Villanueva, Bolívar, 
Zambrano, Bolívar, 
Almeida, Boyacá, 
Aquitania, Boyacá, 
Arcabuco, Boyacá, 
Belén, Boyacá, 
Berbeo, Boyacá, 
Betéitiva, Boyacá, 
Boavita, Boyacá, 
Boyacá, Boyacá, 
Briceño, Boyacá, 
Buenavista, Boyacá, 
Busbanzá, Boyacá, 
Caldas, Boyacá, 
Campohermoso, Boyacá, 
Cerinza, Boyacá, 
Chinavita, Boyacá, 
Chiquinquirá, Boyacá, 
Chíquiza, Boyacá, 
Chiscas, Boyacá, 
Chita, Boyacá, 
Chitaraque, Boyacá, 
Chivatá, Boyacá, 
Chivor, Boyacá, 
Ciénega, Boyacá, 
Coper, Boyacá, 
Corrales, Boyacá, 
Covarachía, Boyacá, 
Cubará, Boyacá, 
Cucaita, Boyacá, 
Cuítiva, Boyacá, 
Cómbita, Boyacá, 
Duitama, Boyacá, 
El Cocuy, Boyacá, 
El Espino, Boyacá, 
Firavitoba, Boyacá, 
Floresta, Boyacá, 
Gachantivá, Boyacá, 
Garagoa, Boyacá, 
Guacamayas, Boyacá, 
Guateque, Boyacá, 
Guayatá, Boyacá, 
Gámeza, Boyacá, 
Güicán, Boyacá, 
Iza, Boyacá, 
Jenesano, Boyacá, 
Jericó, Boyacá, 
La Capilla, Boyacá, 
La Uvita, Boyacá, 
La Victoria, Boyacá, 
Labranzagrande, Boyacá, 
Macanal, Boyacá, 
Maripí, Boyacá, 
Miraflores, Boyacá, 
Mongua, Boyacá, 
Monguí, Boyacá, 
Moniquirá, Boyacá, 
Motavita, Boyacá, 
Muzo, Boyacá, 
Nobsa, Boyacá, 
Nuevo Colón, Boyacá, 
Oicatá, Boyacá, 
Otanche, Boyacá, 
Pachavita, Boyacá, 
Paipa, Boyacá, 
Pajarito, Boyacá, 
Panqueba, Boyacá, 
Pauna, Boyacá, 
Paya, Boyacá, 
Paz de Río, Boyacá, 
Pesca, Boyacá, 
Pisba, Boyacá, 
Puerto Boyacá, Boyacá, 
Páez, Boyacá, 
Quípama, Boyacá, 
Ramiriquí, Boyacá, 
Rondón, Boyacá, 
Ráquira, Boyacá, 
Saboyá, Boyacá, 
Samacá, Boyacá, 
San Eduardo, Boyacá, 
San José de Pare, Boyacá, 
San Luis de Gaceno, Boyacá, 
San Mateo, Boyacá, 
San Miguel de Sema, Boyacá, 
San Pablo de Borbur, Boyacá, 
Santa María, Boyacá, 
Santa Rosa de Viterbo, Boyacá, 
Santa Sofía, Boyacá, 
Santana, Boyacá, 
Sativanorte, Boyacá, 
Sativasur, Boyacá, 
Siachoque, Boyacá, 
Soatá, Boyacá, 
Socha, Boyacá, 
Socotá, Boyacá, 
Sogamoso, Boyacá, 
Somondoco, Boyacá, 
Sora, Boyacá, 
