District, Region, ISO 3166-2 code, Area [km2], # Municipalities, 
Benešov, Central Bohemian, CZ-201, 1475, 114, 
Beroun, Central Bohemian, CZ-202, 704, 85, 
Blansko, South Moravian, CZ-641, 862, 116, 
Břeclav, South Moravian, CZ-644, 1038, 63, 
Brno-město, South Moravian, CZ-642, 230, 1, 
Brno-venkov, South Moravian, CZ-643, 1499, 187, 
Bruntál, Moravian-Silesian, CZ-801, 1537, 67, 
Česká Lípa, Liberec, CZ-511, 1073, 57, 
České Budějovice, South Bohemian, CZ-311, 1638, 109, 
Český Krumlov, South Bohemian, CZ-312, 1614, 46, 
Cheb, Karlovy Vary, CZ-411, 1046, 40, 
Chomutov, Ústí nad Labem, CZ-422, 936, 44, 
Chrudim, Pardubice, CZ-531, 993, 108, 
Děčín, Ústí nad Labem, CZ-421, 909, 52, 
Domažlice, Plzeň, CZ-321, 1052, 76, 
Frýdek-Místek, Moravian-Silesian, CZ-802, 1208, 72, 
Havlíčkův Brod, Vysočina, CZ-631, 1265, 120, 
Hodonín, South Moravian, CZ-645, 1099, 82, 
Hradec Králové, Hradec Králové, CZ-521, 892, 104, 
Jablonec nad Nisou, Liberec, CZ-512, 439, 35, 
Jeseník, Olomouc, CZ-711, 719, 24, 
Jičín, Hradec Králové, CZ-522, 887, 111, 
Jihlava, Vysočina, CZ-632, 1199, 123, 
Jindřichův Hradec, South Bohemian, CZ-313, 1944, 106, 
Karlovy Vary, Karlovy Vary, CZ-412, 1511, 55, 
Karviná, Moravian-Silesian, CZ-803, 356, 17, 
Kladno, Central Bohemian, CZ-203, 720, 100, 
Klatovy, Plzeň, CZ-322, 1946, 94, 
Kolín, Central Bohemian, CZ-204, 748, 90, 
Kroměříž, Zlín, CZ-721, 796, 79, 
Kutná Hora, Central Bohemian, CZ-205, 917, 88, 
Liberec, Liberec, CZ-513, 989, 59, 
Litoměřice, Ústí nad Labem, CZ-423, 1032, 105, 
Louny, Ústí nad Labem, CZ-424, 1121, 70, 
Mělník, Central Bohemian, CZ-206, 701, 69, 
Mladá Boleslav, Central Bohemian, CZ-207, 1023, 120, 
Most, Ústí nad Labem, CZ-425, 467, 26, 
Náchod, Hradec Králové, CZ-523, 852, 78, 
Nový Jičín, Moravian-Silesian, CZ-804, 882, 54, 
Nymburk, Central Bohemian, CZ-208, 846, 86, 
Olomouc, Olomouc, CZ-712, 1608, 97, 
Opava, Moravian-Silesian, CZ-805, 1116, 77, 
Ostrava-město, Moravian-Silesian, CZ-806, 332, 13, 
Pardubice, Pardubice, CZ-532, 880, 112, 
Pelhřimov, Vysočina, CZ-633, 1290, 120, 
Písek, South Bohemian, CZ-314, 1127, 75, 
Plzeň-jih, Plzeň, CZ-324, 1068, 99, 
Plzeň-město, Plzeň, CZ-323, 261, 15, 
Plzeň-sever, Plzeň, CZ-325, 1287, 98, 
Prachatice, South Bohemian, CZ-315, 1377, 65, 
Praha-východ, Central Bohemian, CZ-209, 755, 110, 
Praha-západ, Central Bohemian, CZ-20A, 580, 79, 
Přerov, Olomouc, CZ-714, 854, 105, 
Příbram, Central Bohemian, CZ-20B, 1563, 120, 
Prostějov, Olomouc, CZ-713, 777, 97, 
Rakovník, Central Bohemian, CZ-20C, 896, 83, 
Rokycany, Plzeň, CZ-326, 657, 68, 
Rychnov nad Kněžnou, Hradec Králové, CZ-524, 982, 80, 
Semily, Liberec, CZ-514, 662, 64, 
Sokolov, Karlovy Vary, CZ-413, 754, 38, 
Strakonice, South Bohemian, CZ-316, 1032, 112, 
Šumperk, Olomouc, CZ-715, 1313, 78, 
Svitavy, Pardubice, CZ-533, 1379, 116, 
Tábor, South Bohemian, CZ-317, 1326, 110, 
Tachov, Plzeň, CZ-327, 1378, 51, 
Teplice, Ústí nad Labem, CZ-426, 469, 34, 
Třebíč, Vysočina, CZ-634, 1463, 167, 
Trutnov, Hradec Králové, CZ-525, 1147, 75, 
Uherské Hradiště, Zlín, CZ-722, 991, 78, 
Ústí nad Labem, Ústí nad Labem, CZ-427, 405, 23, 
Ústí nad Orlicí, Pardubice, CZ-534, 1267, 115, 
Vsetín, Zlín, CZ-723, 1131, 59, 
Vyškov, South Moravian, CZ-646, 869, 79, 
Žďár nad Sázavou, Vysočina, CZ-635, 1579, 174, 
Zlín, Zlín, CZ-724, 1045, 91, 
Znojmo, South Moravian, CZ-647, 1590, 144, 
