Region, Capital, Area [km2], License plate, ISO 3166-2 code, Population (1 of January 2021), Population (1 of January 2022), Population (1 of January 2023), 
Prague, , 496, A, CZ-10, 1275406, 1357326, 1384732, 
Central Bohemian, Prague, 10929, S, CZ-20, 1386824, 1439391, 1455940, 
South Bohemian, České Budějovice, 10058, C, CZ-31, 637047, 652303, 654505, 
Plzeň, Plzeň, 7649, P, CZ-32, 578707, 605388, 613374, 
Karlovy Vary, Karlovy Vary, 3310, K, CZ-41, 283210, 293595, 295077, 
Ústí nad Labem, Ústí nad Labem, 5339, U, CZ-42, 798898, 812337, 811169, 
Liberec, Liberec, 3163, L, CZ-51, 437570, 449177, 450728, 
Hradec Králové, Hradec Králové, 4759, H, CZ-52, 542583, 555267, 556949, 
Pardubice, Pardubice, 4519, E, CZ-53, 514518, 528761, 530560, 
Vysočina, Jihlava, 6796, J, CZ-63, 504025, 514777, 517960, 
South Moravian, Brno, 7188, B, CZ-64, 1184568, 1217200, 1226749, 
Olomouc, Olomouc, 5272, M, CZ-71, 622930, 631802, 632864, 
Zlín, Zlín, 3963, Z, CZ-72, 572432, 580531, 580744, 
Moravian-Silesian, Ostrava, 5427, T, CZ-80, 1177989, 1189674, 1189204, 
