DIN, Title, Status, DIN replacement, Other org replacement, Last version
DIN 1, "Cone Pins, untempered", Withdrawn, DIN EN 22339, ISO 2339, 
DIN 3, "Standard measurements", Withdrawn, , , 
DIN 5, "Technical drawings - Axonometric projections, Isometric projection", Withdrawn, DIN ISO 5456-1; DIN ISO 5456-2;DIN ISO 5456-3; DIN ISO 5456-4, ISO 5456-1; ISO 5456-2;ISO 5456-3; ISO 5456-4, 
DIN 5-10, "Technical drawings - projections, terms", Withdrawn, DIN ISO 10209-2, ISO 10209-2, 
DIN 6, "Projection displays in Normal, views and special presentations", Withdrawn, DIN ISO 128; DIN EN ISO 128, ISO 128, 
DIN 7, "Parallel Pins", Withdrawn, DIN EN ISO 2338, ISO 2338, 
DIN 11, "Whitworth pipe threads 1/4''-6'' Thread diameter, sizes, teaching information", Withdrawn, , , 
DIN 13-1, "ISO general purpose metric screw threads - Part 1: Nominal sizes for coarse pitch threads; nominal diameter from 1 mm to 68 mm", Active, , , 
DIN 13-2, "ISO general purpose metric screw threads - Part 2: Nominal sizes for 0,2 mm, 0,25 mm and 0,35 mm fine pitch threads; nominal diameter from 1 mm to 50 mm", Active, , , 
DIN 13-3, "ISO general purpose metric screw threads - Part 3: Nominal sizes for 0,5 mm fine pitch threads; nominal diameter from 3,5 mm to 90 mm", Active, , , 
DIN 13-4, "ISO general purpose metric screw threads - Part 4: Nominal sizes for 0,75 mm fine pitch threads; nominal diameter from 5 mm to 110 mm", Active, , , 
DIN 13-5, "ISO general purpose metric screw threads - Part 5: Nominal sizes for 1 mm and 1,25 mm fine pitch threads; nominal diameter from 7,5 mm to 200 mm", Active, , , 
DIN 13-6, "ISO general purpose metric screw threads - Part 6: Nominal sizes for 1,5 mm fine pitch threads; nominal diameter from 12 mm to 300 mm", Active, , , 
DIN 13-7, "ISO general purpose metric screw threads - Part 7: Nominal sizes for 2 mm fine pitch threads; nominal diameter from 17 mm to 300 mm", Active, , , 
DIN 13-8, "ISO general purpose metric screw threads - Part 8: Nominal sizes for 3 mm fine pitch threads; nominal diameter from 28 mm to 300 mm", Active, , , 
DIN 13-9, "ISO general purpose metric screw threads - Part 9: Nominal sizes for 4 mm fine pitch threads; nominal diameter from 40 mm to 300 mm", Active, , , 
DIN 13-10, "ISO general purpose metric screw threads - Part 10: Nominal sizes for 6 mm fine pitch threads; nominal diameter from 70 mm to 500 mm", Active, , , 
DIN 13-11, "ISO general purpose metric screw threads - Part 11: Nominal sizes for 8 mm fine pitch threads; nominal diameter from 130 mm to 1000 mm", Active, , , 
DIN 13-12, "ISO general purpose metric screw threads - Part 12: 1 to 300 mm diameter coarse and fine pitch threads Selected diameters and pitches", Active, , , 
DIN 13-13, "ISO general purpose metric screw threads - Part 13: Selected sizes for screws, bolts and nuts from 1 to 52 mm screw thread diameter and limits of sizes", Active, , , 
DIN 13-19, "ISO general purpose metric screw threads - Part 19: Nominal profiles", Active, , , 
DIN 13-20, "ISO general purpose metric screw threads - Part 20: Limits of sizes for coarse pitch threads with the preferred tolerance classes; nominal sizes from 1 mm to 68 mm", Active, , , 
