Aachenosaurus, Europe, Cretaceous,
Aardonyx, Africa, Jurassic,
Abelisaurus, South America, Cretaceous,
Abrictosaurus, Africa, Jurassic,
Abrosaurus, Asia, Jurassic,
Abydosaurus, North America, Cretaceous,
Acanthopholis, Europe, Cretaceous,
Achelousaurus, North America, Cretaceous,
Acheroraptor, North America, Cretaceous,
Achillesaurus, South America, Cretaceous,
Achillobator, Asia, Cretaceous,
Acristavus, North America, Cretaceous,
Acrocanthosaurus, North America, Cretaceous,
Acrotholus, North America, Cretaceous,
Adamantisaurus, South America, Cretaceous,
Adasaurus, Asia, Cretaceous,
Adeopapposaurus, South America, Jurassic,
Adynomosaurus, Europe, Cretaceous,
Aegyptosaurus, Africa, Cretaceous,
Aeolosaurus, South America, Cretaceous,
Aepisaurus, Europe, Cretaceous,
Aerodactylus, Europe, Jurassic,
Aerosteon, South America, Cretaceous,
Aerotitan, South America, Cretaceous,
Aetodactylus, North America, Cretaceous,
Aetonyx, Africa, Jurassic,
Afrovenator, Africa, Jurassic,
Agathaumas, North America, Cretaceous,
Agilisaurus, Asia, Jurassic,
Agnosphitys, Europe, Triassic,
Agrosaurus, Europe, Triassic,
Agujaceratops, North America, Cretaceous,
Agustinia, South America, Cretaceous,
Ahshislepelta, North America, Cretaceous,
Airakoraptor, Asia, Cretaceous,
Ajancingenia, Asia, Cretaceous,
Ajkaceratops, Europe, Cretaceous,
Akainacephalus, North America, Cretaceous,
Alamosaurus, North America, Cretaceous,
Alanqa, Africa, Cretaceous,
Alaskacephale, North America, Cretaceous,
Albalophosaurus, Asia, Cretaceous,
Albertaceratops, North America, Cretaceous,
Albertadromeus, North America, Cretaceous,
Albertonectes, North America, Cretaceous,
Albertonykus, North America, Cretaceous,
Albertosaurus, North America, Cretaceous,
Albinykus, Asia, Cretaceous,
Alcovasaurus, North America, Jurassic,
Alectrosaurus, Asia, Cretaceous,
Aletopelta, North America, Cretaceous,
Alexeyisaurus, Europe, Triassic,
Algoasaurus, Africa, Jurassic; Cretaceous,
Alioramus, Asia, Cretaceous,
Allosaurus, North America; Europe; Africa, Jurassic,
Alnashetri, South America, Cretaceous,
Alocodon, Europe, Jurassic,
Altirhinus, Asia, Cretaceous,
Altispinax, Europe, Cretaceous,
Alvarezsaurus, South America, Cretaceous,
Alwalkeria, Asia, Triassic,
Alxasaurus, Asia, Cretaceous,
Amargasaurus, South America, Cretaceous,
Amargatitanis, South America, Cretaceous,
Amazonsaurus, South America, Cretaceous,
Ammosaurus, North America, Jurassic,
Ampelosaurus, Europe, Cretaceous,
Amphicoelias, North America, Jurassic,
Amtocephale, Asia, Cretaceous,
Amtosaurus, Asia, Cretaceous,
Amurosaurus, Asia, Cretaceous,
Amygdalodon, South America, Jurassic,
Anabisetia, South America, Cretaceous,
Anasazisaurus, North America, Cretaceous,
Anatotitan, North America, Cretaceous,
Anchiceratops, North America, Cretaceous,
Anchiornis, Asia, Jurassic,
Anchisaurus, North America, Jurassic,
Andesaurus, South America, Cretaceous,
Angaturama, South America, Cretaceous,
Angloposeidon, Europe, Cretaceous,
Angolatitan, Africa, Cretaceous,
Angulomastacator, North America, Cretaceous,
Angustinaripterus, Asia, Jurassic,
Anhanguera, South America, Cretaceous,
Aniksosaurus, South America, Cretaceous,
Animantarx, North America, Cretaceous,
Ankylosaurus, North America, Cretaceous,
Anningasaura, Europe, Jurassic,
Anodontosaurus, North America, Cretaceous,
Anoplosaurus, Europe, Cretaceous,
Anserimimus, Asia, Cretaceous,
Antarctopelta, Antarctica, Cretaceous,
Antarctosaurus, South America, Cretaceous,
Antetonitrus, Africa, Triassic,
Antrodemus, North America, Jurassic,
Anurognathus, Europe, Jurassic,
Anzu, North America, Cretaceous,
Aoniraptor, South America, Cretaceous,
Aorun, Asia, Jurassic,
Apatodon, North America, Jurassic,
Apatomerus, North America, Cretaceous,
Apatosaurus, North America, Jurassic,
Aphrosaurus, , Cretaceous,
Appalachiosaurus, North America, Cretaceous,
Aquilarhinus, North America, Cretaceous,
Aragosaurus, Europe, Cretaceous,
Aralazhdarcho, Asia, Cretaceous,
Aralosaurus, Asia, Cretaceous,
Arambourgiania, Asia, Cretaceous,
Araripesaurus, South America, Cretaceous,
Archaeoceratops, Asia, Cretaceous,
Archaeodontosaurus, Africa, Jurassic,
Archaeoistiodactylus, Asia, Jurassic,
Archaeonectrus, , Jurassic,
Archaeopteryx, Europe, Jurassic,
Archaeornithoides, Asia, Cretaceous,
Archaeornithomimus, Asia, Cretaceous,
Arcovenator, Europe, Cretaceous,
Arcusaurus, Africa, Jurassic,
Ardeadactylus, Europe, Jurassic,
Arenysaurus, Europe, Cretaceous,
Argentinosaurus, South America, Cretaceous,
Argyrosaurus, South America, Cretaceous,
Aristonectes, South America, Cretaceous,
Aristosuchus, Europe, Cretaceous,
Arkansaurus, North America, Cretaceous,
Arkharavia, Asia, Cretaceous,
Arrhinoceratops, North America, Cretaceous,
Arstanosaurus, Asia, Cretaceous,
Arthurdactylus, South America, Cretaceous,
Asiaceratops, Asia, Cretaceous,
Asiatosaurus, Asia, Cretaceous,
Astrodon, North America, Cretaceous,
Astrophocaudia, North America, Cretaceous,
Asylosaurus, Europe, Triassic,
Atacamatitan, South America, Cretaceous,
Atlantosaurus, North America, Jurassic,
Atlasaurus, Africa, Jurassic,
Atlascopcosaurus, Oceania, Cretaceous,
Atrociraptor, North America, Cretaceous,
Atsinganosaurus, Europe, Cretaceous,
Attenborosaurus, , Jurassic,
Aublysodon, North America, Cretaceous,
Aucasaurus, South America, Cretaceous,
Augustasaurus, , Triassic,
Augustynolophus, North America, Cretaceous,
Auroraceratops, Asia, Cretaceous,
Aurorazhdarcho, Europe, Jurassic,
Aurornis, Asia, Jurassic,
Australodocus, Africa, Jurassic,
Australovenator, Oceania, Cretaceous,
Austriadactylus, Europe, Triassic,
Austrocheirus, South America, Cretaceous,
Austroraptor, South America, Cretaceous,
Austrosaurus, Oceania, Cretaceous,
Avaceratops, North America, Cretaceous,
Aviatyrannis, Europe, Jurassic,
Avimimus, Asia, Cretaceous,
Avipes, Europe, Triassic,
Azhdarcho, Asia, Cretaceous,
Bactrosaurus, Asia, Cretaceous,
Bagaceratops, Asia, Cretaceous,
Bagaraatan, Asia, Cretaceous,
Bahariasaurus, Africa, Cretaceous,
Bainoceratops, Asia, Cretaceous,
Bakonydraco, Europe, Cretaceous,
