storeId,country,store number,address,zip code,phone,lat,lon
G001,Bulgaria,1,"ул. Цар Симеон Велики 20А,Видин,Видин",3700,+35994910992,43.987068,22.874984
G044,Bulgaria,100,"ул. Васил Левски 10,Горна Оряховица,Велико Търново",5100,+359883764100,43.132554,25.684168
G046,Bulgaria,102,"кв.Запад 3, бул. Сюрен 29,Търговище,Търговище",7700,+359883764102,43.2417,26.557771
G047,Bulgaria,103,"ул. д-р Атанас Москов 20,София,София - град",1715,+359882466461,42.63588,23.37381
G048,Bulgaria,104,"бул. Добруджа 4,Добрич,Добрич",9300,+359883764104,43.5684968,27.8475446
G049,Bulgaria,105,"м.Декилиташ ГП-I-6при км/195+860/дясно№1 обект,Пирдоп,София област",2070,+359883764105,42.703625,24.163323
G04A,Bulgaria,106,"yл. Академик Ангел Балевски 1,Троян,Ловеч",5600,+359883764106,42.892585,24.715473
G04B,Bulgaria,107,"ул.Шипка 6,Пловдив,Пловдив",4023,+359883764107,42.1341016,24.7938807
G04C,Bulgaria,108,"ул. Алабин 1,София,София - град",1000,+359882466408,42.6950234,23.3158009
G04D,Bulgaria,109,"ул. Никола Д. Петков 41,Севлиево,Габрово",5400,+359883764109,43.022059,25.094292
G00B,Bulgaria,11,"бул. Владислав Варненчик 61,Варна,Варна",9000,+359882466411,43.211729,27.906083
G04E,Bulgaria,110,"ул. Симеон Русков 1A,Козлодуй,Враца",3320,+359883764110,43.77638,23.733137
G04F,Bulgaria,111,"yл. Васил Левски 105,Пловдив,Пловдив",4000,+359883764111,42.173015,24.741959
G04G,Bulgaria,112,"yл. Димчо Дебелянов 10,Пазарджик,Пазарджик",4400,+359883764112,42.1828056,24.3445555
G04H,Bulgaria,113,"бул.Георги Данчев 26,Сливен,Сливен",8800,+359883764113,42.6825037,26.3410361
G04I,Bulgaria,114,"ул. Акад.Петър Динеков 1,София,София - град",1415,+359883764114,42.6396721,23.3112271
G04J,Bulgaria,115,"ул.Белият камък 24,Смолян,Смолян",4700,+359883764115,41.571722,24.716694
G04K,Bulgaria,116,"ул. Гоце Делчев 53 Б,Разлог,Благоевград",2760,+359883764116,41.879252,23.472373
G04L,Bulgaria,117,"бул.Г.С.Раковски 28 А,Хасково,Хасково",6300,+359883764117,41.9405529,25.5558516
