Department,Capital,ISO3166-2,Area [km2],# Municipalities,Population_1992,Population_2007,Population_2024
Ahuachapán,Ahuachapán,SV-AH,1239.6,3,261188,319503,348880
Cabañas,Sensuntepeque,SV-CA,1103.5,2,138426,149326,143049
Chalatenango,Chalatenango,SV-CH,2017.8,3,177363,192788,180563
Cuscatlán,Cojutepeque,SV-CU,756.2,2,164480,216446,241216
La Libertad,Santa Tecla,SV-LI,1652.9,3,501042,660652,776968
La Paz,Zacatecoluca,SV-PA,1224.6,2,228285,308087,329968
La Unión,La Unión,SV-UN,2074.3,2,294326,238217,225848
Morazán,San Francisco Gotera,SV-MO,1447.4,2,174406,181285,174406
San Miguel,San Miguel,SV-SM,2077.1,3,403472,434003,447778
San Salvador,San Salvador,SV-SS,886.2,5,699759,566629,503176
San Vicente,San Vicente,SV-SV,1184.4,2,151245,161689,163989
Santa Ana,Santa Ana,SV-SA,2023.2,3,415146,523655,560973
Sonsonate,Sonsonate,SV-SO,1225.8,3,412936,518522,565797
Usulután,Usulután,SV-US,2130.4,3,307541,344235,338504
