County, Capital, ISO 3166-2 Code, Area [km2], Population (2018), Population (2019), Population (2020), Population (2021), Population (2022), Population (2023), Population (2024), 
Harju, Tallinn, EE-37, 4327, 589610, 598059, 605029, 609515, 614561, 638076, 646315, 
Hiiu, Kärdla, EE-39, 1023, 9387, 9387, 9315, 9381, 8497, 8474, 8418, 
Ida-Viru, Jõhvi, EE-45, 2972, 138266, 136240, 134259, 131913, 132736, 133358, 132286, 
Jõgeva, Jõgeva, EE-50, 2545, 29119, 28734, 28442, 28082, 27857, 27739, 27397, 
Järva, Paide, EE-52, 2674, 30661, 30286, 30174, 29817, 29693, 30072, 30084, 
Lääne, Haapsalu, EE-56, 1816, 20646, 20507, 20444, 20285, 20227, 20688, 20625, 
Lääne-Viru, Rakvere, EE-60, 3696, 59791, 59325, 58862, 58402, 58709, 59608, 59536, 
Põlva, Põlva, EE-64, 2165, 25290, 25006, 24647, 24473, 23989, 24036, 23892, 
Pärnu, Pärnu, EE-68, 5419, 85756, 85938, 86185, 85760, 85705, 87418, 87891, 
Rapla, Rapla, EE-71, 2765, 33299, 33311, 33282, 33116, 33529, 34038, 34246, 
Saare, Kuressaare, EE-74, 2938, 33231, 33108, 33083, 33032, 31292, 31919, 32021, 
Tartu, Tartu, EE-79, 2993, 151122, 152977, 153317, 153912, 157758, 162390, 164460, 
Valga, Valga, EE-81, 1917, 28669, 28370, 28204, 27962, 27650, 28114, 27924, 
Viljandi, Viljandi, EE-84, 3422, 46782, 46371, 46161, 45877, 45411, 45637, 45543, 
Võru, Võru, EE-87, 2305, 36133, 35782, 35415, 34898, 34182, 34317, 34049, 
