Municipality, ISO 3166-2 Code, Category, County, 
Alutaguse, EE-130, rural municipality, Ida-Viru, 
Anija, EE-141, rural municipality, Harju, 
Antsla, EE-142, rural municipality, Võru, 
Elva, EE-171, rural municipality, Tartu, 
Haapsalu, EE-184, urban municipality, Lääne, 
Haljala, EE-191, rural municipality, Lääne-Viru, 
Harku, EE-198, rural municipality, Harju, 
Hiiumaa, EE-205, rural municipality, Hiiu, 
Häädemeeste, EE-214, rural municipality, Pärnu, 
Jõelähtme, EE-245, rural municipality, Harju, 
Jõgeva, EE-247, rural municipality, Jõgeva, 
Jõhvi, EE-251, rural municipality, Ida-Viru, 
Järva, EE-255, rural municipality, Järva, 
Kadrina, EE-272, rural municipality, Lääne-Viru, 
Kambja, EE-283, rural municipality, Tartu, 
Kanepi, EE-284, rural municipality, Põlva, 
Kastre, EE-291, rural municipality, Tartu, 
Kehtna, EE-293, rural municipality, Rapla, 
Keila, EE-296, urban municipality, Harju, 
Kihnu, EE-303, rural municipality, Pärnu, 
Kiili, EE-305, rural municipality, Harju, 
Kohila, EE-317, rural municipality, Rapla, 
Kohtla-Järve, EE-321, urban municipality, Ida-Viru, 
Kose, EE-338, rural municipality, Harju, 
Kuusalu, EE-353, rural municipality, Harju, 
Loksa, EE-424, urban municipality, Harju, 
Luunja, EE-432, rural municipality, Tartu, 
Lääne-Harju, EE-431, rural municipality, Harju, 
Lääne-Nigula, EE-441, rural municipality, Lääne, 
Lääneranna, EE-430, rural municipality, Pärnu, 
Lüganuse, EE-442, rural municipality, Ida-Viru, 
Maardu, EE-446, urban municipality, Harju, 
Muhu, EE-478, rural municipality, Saare, 
Mulgi, EE-480, rural municipality, Viljandi, 
Mustvee, EE-486, rural municipality, Jõgeva, 
Märjamaa, EE-503, rural municipality, Rapla, 
Narva, EE-511, urban municipality, Ida-Viru, 
Narva-Jõesuu, EE-514, urban municipality, Ida-Viru, 
Nõo, EE-528, rural municipality, Tartu, 
Otepää, EE-557, rural municipality, Valga, 
Paide, EE-567, urban municipality, Järva, 
Peipsiääre, EE-586, rural municipality, Tartu, 
Põhja-Pärnumaa, EE-638, rural municipality, Pärnu, 
Põhja-Sakala, EE-615, rural municipality, Viljandi, 
Põltsamaa, EE-618, rural municipality, Jõgeva, 
Põlva, EE-622, rural municipality, Põlva, 
Pärnu, EE-624, urban municipality, Pärnu, 
Raasiku, EE-651, rural municipality, Harju, 
Rae, EE-653, rural municipality, Harju, 
Rakvere, EE-661, rural municipality, Lääne-Viru, 
Rakvere, EE-663, urban municipality, Lääne-Viru, 
Rapla, EE-668, rural municipality, Rapla, 
Ruhnu, EE-689, rural municipality, Saare, 
Rõuge, EE-698, rural municipality, Võru, 
Räpina, EE-708, rural municipality, Põlva, 
Saarde, EE-712, rural municipality, Pärnu, 
Saaremaa, EE-714, rural municipality, Saare, 
Saku, EE-719, rural municipality, Harju, 
Saue, EE-726, rural municipality, Harju, 
Setomaa, EE-732, rural municipality, Võru, 
Sillamäe, EE-735, urban municipality, Ida-Viru, 
Tallinn, EE-784, urban municipality, Harju, 
Tapa, EE-792, rural municipality, Lääne-Viru, 
Tartu, EE-796, rural municipality, Tartu, 
Tartu, EE-793, urban municipality, Tartu, 
Toila, EE-803, rural municipality, Ida-Viru, 
Tori, EE-809, rural municipality, Pärnu, 
Tõrva, EE-824, rural municipality, Valga, 
Türi, EE-834, rural municipality, Järva, 
Valga, EE-855, rural municipality, Valga, 
Viimsi, EE-890, rural municipality, Harju, 
Viljandi, EE-899, rural municipality, Viljandi, 
Viljandi, EE-897, urban municipality, Viljandi, 
Vinni, EE-901, rural municipality, Lääne-Viru, 
Viru-Nigula, EE-903, rural municipality, Lääne-Viru, 
Vormsi, EE-907, rural municipality, Lääne, 
Võru, EE-917, rural municipality, Võru, 
Võru, EE-919, urban municipality, Võru, 
Väike-Maarja, EE-928, rural municipality, Lääne-Viru, 
