Fund Name, Type, Replication method, Inception date, Fund size [M€], Distribution policy, WKN, ISIN, 
Xtrackers MSCI EFM Africa Top 50 Capped Swap UCITS ETF 1C, Equity Africa, Swap based; Unfunded, 09.05.11, 25, Accumulating, DBX0HX, LU0592217524, 
Lyxor Pan Africa UCITS ETF - Acc, Equity Africa, Swap based; Unfunded, 12.09.08, 34, Accumulating, LYX0V7, LU1287022708, 
Vanguard FTSE Developed Asia Pacific ex Japan UCITS ETF Distributing, Equity Asia Pacific, Full replication, 21.05.13, 888, Distributing, A1T8FT, IE00B9F5YL18, 
Vanguard FTSE Developed Asia Pacific ex Japan UCITS ETF Acc, Equity Asia Pacific, Full replication, 24.09.19, 297, Accumulating, A2PLTA, IE00BK5BQZ41, 
Lyxor MSCI AC Asia Ex Japan UCITS ETF - Acc, Equity Asia Pacific, Swap based; Unfunded, 03.10.08, 284, Accumulating, LYX014, LU1900068161, 
UBS ETF (IE) MSCI AC Asia Ex Japan SF UCITS ETF (USD) A-acc, Equity Asia Pacific, Swap based, 20.08.12, 182, Accumulating, A1JZY0, IE00B7WK2W23, 
Lyxor MSCI AC Asia Pacific Ex Japan UCITS ETF - Acc, Equity Asia Pacific, Swap based; Unfunded, 26.04.06, 381, Accumulating, LYX015, LU1900068328, 
iShares MSCI AC Far East ex-Japan UCITS ETF, Equity Asia Pacific, Full replication, 28.10.05, 909, Distributing, A0HGV9, IE00B0M63730, 
HSBC MSCI AC Far East ex Japan UCITS ETF USD, Equity Asia Pacific, Optimized; sampling, 27.09.13, 356, Accumulating, A1W2EL, IE00BBQ2W338, 
iShares MSCI AC Far East ex-Japan UCITS ETF USD (Acc), Equity Asia Pacific, Full replication, 01.04.20, 14, Accumulating, A2P1KV, IE00BKPX3K41, 
HSBC MSCI AC Far East ex Japan UCITS ETF USD (Dist), Equity Asia Pacific, Optimized; sampling, 12.07.22, 4, Distributing, A3DN5A, IE00022VXYM7, 
iShares MSCI EM Asia UCITS ETF (Acc), Equity Asia Pacific, Full replication, 06.08.10, 2063, Accumulating, A1C1H5, IE00B5L8K969, 
SPDR MSCI EM Asia UCITS ETF, Equity Asia Pacific, Optimized; sampling, 13.05.11, 951, Accumulating, A1JJTG, IE00B466KX20, 
Lyxor MSCI EM Asia UCITS ETF - Acc, Equity Asia Pacific, Swap based; Unfunded, 05.03.18, 156, Accumulating, LYX0YF, LU1781541849, 
Amundi MSCI Emerging Markets Asia UCITS ETF EUR (C), Equity Asia Pacific, Swap based; Unfunded, 22.03.18, 937, Accumulating, A2H58R, LU1681044480, 
Amundi MSCI Emerging Markets Asia UCITS ETF USD, Equity Asia Pacific, Swap based; Unfunded, 22.03.18, 649, Accumulating, A2H58S, LU1681044563, 
