Edition, Year, Hosts, Start, End, Teams #, First place, Second place, Third place, Fourth place, Notes
1, 1994, Portugal, 03/06/1994, 12/06/1994, 12, Sweden, Russia, Croatia, Denmark, 
2, 1996, Spain, 24/05/1996, 02/06/1996, 12, Russia, Spain, FR YUG, Sweden, 
3, 1998, Italy, 29/05/1998, 07/06/1998, 12, Sweden, Spain, Germany, , 
4, 2000, Croatia, 21/01/2000, 30/01/2000, 12, Sweden, Russia, Spain, France, 
5, 2002, Sweden, 25/01/2002, 03/02/2002, 16, Sweden, Germany, Denmark, , 
6, 2004, Slovenia, 22/01/2004, 01/02/2004, 16, Germany, Slovenia, Denmark, Croatia, 
7, 2006, Switzerland, 26/01/2006, 05/02/2006, 16, France, Spain, Denmark, Croatia, 
8, 2008, Norway, 17/01/2008, 27/01/2008, 16, Denmark, Croatia, France, Spain, 
9, 2010, Austria, 19/01/2010, 31/01/2010, 16, France, Croatia, Iceland, Poland, 
10, 2012, Serbia, 15/01/2012, 29/01/2012, 16, Denmark, Serbia, Croatia, Spain, 
11, 2014, Denmark, 12/01/2014, 26/01/2014, 16, France, Denmark, Spain, , 
12, 2016, Poland, 15/01/2016, 31/01/2016, 16, Germany, Spain, Croatia, , 
13, 2018, Croatiaatia, 12/01/2018, 28/01/2018, 16, Spain, Sweden, France, , 
14, 2020, Austria / Norway / Sweden, 09/01/2020, 26/01/2020, 24, Spain, Croatia, Norway, , 
15, 2022, Hungary / Slovakia, 13/01/2022, 30/01/2022, 24, Sweden, Spain, Denmark, France, 
16, 2024, Germany, 10/01/2024, 28/01/2024, 24, France, Denmark, Sweden, Germany, 
17, 2026, Denmark / Norway / Sweden, 15/01/2026, 01/02/2026, 24, , , , , 
18, 2028, Portugal / Spain / Switzerland, 10/01/2028, 27/01/2028, 24, , , , , 
19, 2030, France / Germany, 15/01/2030, 01/02/2030, 24, , , , , 
