ID, Edition Year, Date, Phase, Team 1, Team 2, Score, Score at Interval, Shots (T1/T2), Penalty Shots (T1/T2), Yellow Cards (T1/T2), 2-Min (T1/T2), Red Cards (T1/T2), Stadium
1, 2024, 10/01/2024, Group A, France, North Macedonia, 39–29, N/A, N/A, N/A, N/A, N/A, N/A, Merkur Spiel-Arena, Düsseldorf
2, 2024, 10/01/2024, Group A, Germany, Switzerland, 27–14, N/A, N/A, N/A, N/A, N/A, N/A, Merkur Spiel-Arena, Düsseldorf
3, 2024, 11/01/2024, Group D, Slovenia, Faroe Islands, 32–29, N/A, N/A, N/A, N/A, N/A, N/A, Mercedes-Benz-Arena, Berlin
4, 2024, 11/01/2024, Group D, Norway, Poland, 32–21, N/A, N/A, N/A, N/A, N/A, N/A, Mercedes-Benz-Arena, Berlin
5, 2024, 11/01/2024, Group E, Netherlands, Georgia, 34–29, N/A, N/A, N/A, N/A, N/A, N/A, SAP Arena, Mannheim
6, 2024, 11/01/2024, Group E, Sweden, Bosnia & Herzegovina, 29–20, N/A, N/A, N/A, N/A, N/A, N/A, SAP Arena, Mannheim
7, 2024, 11/01/2024, Group F, Portugal, Greece, 31–24, N/A, N/A, N/A, N/A, N/A, N/A, Olympiahalle, München
8, 2024, 11/01/2024, Group F, Denmark, Czech Republic, 23–14, N/A, N/A, N/A, N/A, N/A, N/A, Olympiahalle, München
9, 2024, 12/01/2024, Group B, Austria, Romania, 31–24, N/A, N/A, N/A, N/A, N/A, N/A, SAP Arena, Mannheim
10, 2024, 12/01/2024, Group B, Spain, Croatia, 29–39, N/A, N/A, N/A, N/A, N/A, N/A, SAP Arena, Mannheim
11, 2024, 12/01/2024, Group C, Iceland, Serbia, 27–27, N/A, N/A, N/A, N/A, N/A, N/A, Olympiahalle, München
12, 2024, 12/01/2024, Group C, Hungary, Montenegro, 26–24, N/A, N/A, N/A, N/A, N/A, N/A, Olympiahalle, München
13, 2024, 14/01/2024, Group A, Switzerland, France, 26–26, N/A, N/A, N/A, N/A, N/A, N/A, Mercedes-Benz-Arena, Berlin
14, 2024, 14/01/2024, Group A, North Macedonia, Germany, 25–34, N/A, N/A, N/A, N/A, N/A, N/A, Mercedes-Benz-Arena, Berlin
15, 2024, 14/01/2024, Group B, Romania, Spain, 24–36, N/A, N/A, N/A, N/A, N/A, N/A, SAP Arena, Mannheim
