Year, Country, City, Stadium, Capacity
1994, Portugal, Almada, Complexo Desportivo de Almada, 4000
1994, Portugal, Porto, Pavilhão Rosa Mota, 5400
1996, Spain, Ciudad Real, Pabellón Santa María, 2000
1996, Spain, Seville, Palacio de Deportes San Pablo, 7000
1998, Italy, Bolzano, PalaOnda, 7200
1998, Italy, Merano, Meranarena, 4000
2000, Croatia, Zagreb, Dom Športova, 7000
2000, Croatia, Rijeka, Dvorana Mladosti, 4000
2020, Sweden, Stockholm, Tele2 Arena, 19000
2020, Sweden, Malmö, Malmö Arena, 13000
2020, Sweden, Gothenburg, Scandinavium, 12000
2020, Austria, Vienna, Wiener Stadthalle, 12000
2020, Austria, Graz, Graz Messe Arena, 6000
2020, Norway, Trondheim, Trondheim Spektrum, 8600
2022, Hungary, Budapest, MVM Dome, 20022
2022, Hungary, Debrecen, Főnix Arena, 6500
2022, Hungary, Szeged, Pick Aréna, 8143
2022, Slovakia, Bratislava, Ondrej Nepela Arena, 10000
2022, Slovakia, Košice, Steel Aréna, 7900
2024, Germany, Düsseldorf, Merkur Spiel-Arena, 54600
2024, Germany, Cologne, Lanxess Arena, 19750
2024, Germany, Berlin, Mercedes-Benz Arena, 14800
2024, Germany, Hamburg, Barclays Arena, 13300
2024, Germany, Mannheim, SAP Arena, 13200
2024, Germany, Munich, Olympiahalle, 12000
2026, Denmark, Herning, Jyske Bank Boxen, 15000
2026, Sweden, Malmö, Malmö Arena, 1200
2026, Sweden, Kristianstad, Kristianstad Arena, 4500
2026, Norway, Oslo/Bærum, Unity Arena, 9000
