Edition,Year,Hosts,Start,End,Teams #,Teams,First place,Second Place,Third Place,Fourth Place,Notes
1st,1930,Uruguay,Jul 13,Jul 30,13,"ARG, BEL, BOL, BRA, CHI, FRA, MEX, PAR, PER, ROU, USA, URU, YUG",Uruguay,Argentina,United States,Yugoslavia,No third-place match; positions decided by tournament records.
2nd,1934,Italy,May 27,Jun 10,16,"ARG, AUT, BEL, BRA, TCH, EGY, FRA, GER, HUN, ITA, NED, ROU, ESP, SWE, SUI, USA",Italy,Czechoslovakia,Germany,Austria,First tournament with a qualification stage.
3rd,1938,France,Jun 4,Jun 19,15,"AUT*, BEL, BRA, CUB, TCH, DEI, FRA, GER, HUN, ITA, NED, NOR, POL, ROU, SWE, SUI",Italy,Hungary,Brazil,Sweden,*Austria withdrew post-qualifying due to the Anschluss.
4th,1950,Brazil,Jun 24,Jul 16,13,"BOL, BRA, CHI, ENG, ITA, MEX, PAR, ESP, SWE, SUI, USA, URU, YUG",Uruguay,Brazil,Sweden,Spain,Decided by a final round-robin group rather than a knockout final.
5th,1954,Switzerland,Jun 16,Jul 4,16,"AUT, BEL, BRA, TCH, ENG, FRA, HUN, ITA, KOR, MEX, SCO, ESP, SWE, SUI, TUR, FRG",West Germany,Hungary,Austria,Uruguay,"Iconic final known as the ""Miracle of Bern."""
6th,1958,Sweden,Jun 8,Jun 29,16,"ARG, AUT, BRA, TCH, ENG, FRA, HUN, NIR, MEX, PAR, SCO, URS, SWE, SUI, WAL, FRG",Brazil,Sweden,France,West Germany,Pelé's debut tournament at age 17.
7th,1962,Chile,May 30,Jun 17,16,"ARG, BRA, BUL, CHI, COL, TCH, ENG, ITA, MEX, SUI, URS, URU, YUG, FRG",Brazil,Czechoslovakia,Chile,Yugoslavia,Brazil won back-to-back titles despite Pelé getting injured.
8th,1966,England,Jul 11,Jul 30,16,"ARG, BRA, BUL, CHI, ENG, FRA, HUN, ITA, PRK, MEX, POR, ESP, SUI, URS, URU, FRG",England,West Germany,Portugal,Soviet Union,Hosts won via Geoff Hurst's famous hat-trick in the final.
9th,1970,Mexico,May 31,Jun 21,16,"BEL, BRA, BUL, TCH, ENG, SLV, ISR, ITA, MEX, MAR, PER, ROU, SWE, URS, URU, FRG",Brazil,Italy,West Germany,Uruguay,First tournament featuring yellow/red cards and substitutions.
10th,1974,West Germany,Jun 14,Jul 7,16,"ARG, AUS, BRA, CHI, GDR, HAI, ITA, NED, POL, SCO, SWE, URU, YUG, ZAI, FRG",West Germany,Netherlands,Poland,Brazil,Introduction of the current FIFA World Cup Trophy.
