Region,Capital,ISO3166-2,Area [km2],Municipalities,Population_1990,Population_2000,Population_2010,Population_2020,Population_2024
Uusimaa,Helsinki,FI-18,9571,26,1205000,1287000,1556000,1712000,1760000
Southwest Finland (Varsinais-Suomi),Turku,FI-19,10912,27,438000,447000,466000,481000,493000
Satakunta,Pori,FI-17,7820,16,245000,236000,227000,216000,210000
Kanta-Häme,Hämeenlinna,FI-06,5706,11,165000,165000,174000,171000,171000
Pirkanmaa,Tampere,FI-11,14613,23,430000,453000,491000,529000,538000
Päijät-Häme,Lahti,FI-07,6259,10,201000,198000,201000,205000,204000
Kymenlaakso,Kouvola,FI-09,5115,6,195000,181000,175000,161000,159000
South Karelia (Etelä-Karjala),Lappeenranta,FI-02,6861,9,136000,133000,133000,127000,125000
South Ostrobothnia (Etelä-Pohjanmaa),Seinäjoki,FI-03,14600,14,194000,193000,192000,191000,194000
Ostrobothnia (Pohjanmaa),Vaasa,FI-12,7636,14,175000,174000,176000,176000,176000
Central Ostrobothnia (Keski-Pohjanmaa),Kokkola,FI-05,5229,8,72000,70000,69000,68000,68000
North Ostrobothnia (Pohjois-Pohjanmaa),Oulu,FI-14,36815,30,354000,369000,400000,416000,418000
Kainuu,Kajaani,FI-13,22387,8,93000,85000,82000,76000,72000
Lapland (Lappi),Rovaniemi,FI-10,100367,21,205000,190000,183000,176000,176000
Central Finland (Keski-Suomi),Jyväskylä,FI-08,16691,22,260000,265000,273000,273000,274000
North Karelia (Pohjois-Karjala),Joensuu,FI-15,21341,13,177000,170000,166000,162000,161000
North Savo (Pohjois-Savo),Kuopio,FI-16,16826,19,253000,252000,248000,248000,252000
Åland (Ahvenanmaa),Mariehamn,FI-01,1580,16,24000,26000,28000,30000,31000
Tavastia Proper (Kanta-Häme),Hämeenlinna,FI-06,5706,11,165000,165000,174000,171000,171000
