
Name, Constellation, Type, Size (light-years/parsecs), 
Andromeda Galaxy, Andromeda, , , 
Antennae Galaxies, Corvus, , , 
Backward Galaxy, Centaurus, , , 
Black Eye Galaxy, Coma Berenices, , , 
Bode's Galaxy, Ursa Major, , , 
Butterfly Galaxies, Virgo, , , 
Cartwheel Galaxy, Sculptor, , , 
Cigar Galaxy, Ursa Major, , , 
Circinus Galaxy, Circinus, , , 
Coma Pinwheel Galaxy, Coma Benerices, , , 
Comet Galaxy, Sculptor, , , 
Cosmos Redshift 7, Sextans, , , 
Eye of Sauron, Canes Venatici, , , 
Fireworks Galaxy, Cygnus and Cepheus, , , 
Hockey Stick Galaxies, Canes Venatici, , , 
Hoag's Object, Serpens Caput, , , 
Large Magellanic Cloud, Dorado/Mensa, , , 
Lindsay-Shapley Ring, Volans, , , 
Little Sombrero Galaxy, Pegasus, , , 
Malin 1, Coma Berenices, , , 
Medusa Merger, Ursa Major, , , 
Sculptor Dwarf Galaxy, Sculptor, , , 
Mice Galaxies, Coma Berenices, , , 
Small Magellanic Cloud, Tucana, , , 
Mayall's Object, Ursa Major, , , 
Milky Way, Sagittarius (centre), , , 
Needle Galaxy, Coma Berenices, , , 
Wolf-Lundmark-Melotte, Cetus, , , 
Pinwheel Galaxy, Ursa Major, , , 
Sculptor Galaxy, Sculptor, , , 
Sombrero Galaxy, Virgo, , , 
Southern Pinwheel Galaxy, Hydra, , , 
Sunflower Galaxy, Canes Venatici, , , 
Tadpole Galaxy, Draco, , , 
Triangulum Galaxy, Triangulum, , , 
Whirlpool Galaxy, Canes Venatici, , , 
IC 1101, , E/S0, 424000 ly (130000 pc), 
BCG of Phoenix Cluster, , E3, 2200000 ly (670000 pc), 
Companion to Markarian 926, , E5, 1350000 ly (410000 pc), 
NGC 262 (Markarian 348), , S0-a, 1300000 ly (400000 pc), 
NGC 4889 (Coma B), , cD,E4,Dd, 1300000 ly (400000 pc), 
Markarian 501, , S0, 1260000 ly (390000 pc), 
NGC 4874 (Coma A), , cD, 1250000 ly (380000 pc), 
300 other Abell cluster BCGs, , cD, >1000000 ly (310000 pc), 
A2261-BCG, , cD E, 1000000 ly (310000 pc), 
ESO 306-17, , cD3, 1000000 ly (310000 pc), 
3C 20, , E, 850000 ly (260000 pc), 
UGC 2885, , Sc, 832000 ly (255000 pc), 
3C 48, , E, 785000 ly (241000 pc), 
Mice Galaxies (NGC 4676), , Irr/SB(s)0/a pec, 760000 ly (230000 pc), 
Malin 1, , SB0a, 650000 ly (200000 pc), 
Comet Galaxy, , Spiral, 600000 ly (180000 pc), 
NGC 6872 (Condor Galaxy), , SB(s)b pec, 522000 ly (160000 pc), 
Antennae Galaxies (NGC 4038/NGC 4039), , SB(s)m pec/SA(s)m pec, 500000 ly (150000 pc), 
3C 9, , FR II QSO, 495000 ly (152000 pc), 
Messier 87 (Virgo A), , E+0-1 pec, 490000 ly (150000 pc), 
3C 147, , ?, 467300 ly (143300 pc), 
YGKOW G1, , cD, 452000 ly (139000 pc), 
ESO 444-46, , cD4, 402200 ly (123300 pc), 
3C 288, , rG, 393200 ly (120600 pc), 
Milkdromeda (Milkomeda), , , 350000 ly (110000 pc), 
Arp 7, , SB(rs)bc, 320000 ly (98000 pc), 
2MASX J07580886+1801553, , S0, 310000 ly (95000 pc), 
Pictor A, , ?, 300000 ly (92000 pc), 
