District, ID, Type, Area [km2]
Flensburg, 1001, kreisfreie Stadt, 56.73
Kiel, 1002, kreisfreie Stadt, 118.65
Lübeck, 1003, kreisfreie Stadt, 214.19
Neumünster, 1004, kreisfreie Stadt, 71.66
Dithmarschen, 1051, Landkreis, 1,428.17
Herzogtum Lauenburg, 1053, Landkreis, 1,263.06
Nordfriesland, 1054, Landkreis, 2,083.56
Ostholstein, 1055, Landkreis, 1,393.02
Pinneberg, 1056, Landkreis, 664.25
Plön, 1057, Landkreis, 1,083.56
Rendsburg-Eckernförde, 1058, Landkreis, 2,189.79
Schleswig-Flensburg, 1059, Landkreis, 2,071.28
Segeberg, 1060, Landkreis, 1,344.47
Steinburg, 1061, Landkreis, 1,055.70
Stormarn, 1062, Landkreis, 766.23
Hamburg, 2000, kreisfreie Stadt, 755.09
Braunschweig, 3101, kreisfreie Stadt, 192.7
Salzgitter, 3102, kreisfreie Stadt, 224.49
Wolfsburg, 3103, kreisfreie Stadt, 204.62
Gifhorn, 3151, Landkreis, 1,567.57
Göttingen, 3152, Landkreis (until 2016-10-31), -
Goslar, 3153, Landkreis, 966.72
Helmstedt, 3154, Landkreis, 676.12
Northeim, 3155, Landkreis, 1,268.77
Osterode am Harz, 3156, Landkreis (until 2016-10-31), -
Peine, 3157, Landkreis, 536.5
Wolfenbüttel, 3158, Landkreis, 724.32
Göttingen, 3159, Landkreis, 1,755.41
Hannover, 3201, kreisfreie Stadt (until 2001-10-31), -
Region Hannover, 3241, Landkreis, 2,297.13
Diepholz, 3251, Landkreis, 1,991.02
Hameln-Pyrmont, 3252, Landkreis, 797.53
Hannover, 3253, Landkreis (until 2001-10-31), -
Hildesheim, 3254, Landkreis, 1,208.33
Holzminden, 3255, Landkreis, 694.27
Nienburg (Weser), 3256, Landkreis, 1,400.81
Schaumburg, 3257, Landkreis, 675.67
Celle, 3351, Landkreis, 1,550.83
Cuxhaven, 3352, Landkreis, 2,058.96
Harburg, 3353, Landkreis, 1,248.45
Lüchow-Dannenberg, 3354, Landkreis, 1,227.32
