Region, Region - Modern Greek, Region Greek, ISO 3166-2 Code, Seat, Area [km2], Subdivision category, Population (1 of January 2002), Population (1 of January 2003), Population (1 of January 2004), Population (1 of January 2005), Population (1 of January 2006), Population (1 of January 2007), Population (1 of January 2008), Population (1 of January 2009), Population (1 of January 2010), Population (1 of January 2011), Population (1 of January 2012), Population (1 of January 2013), Population (1 of January 2014), Population (1 of January 2015), Population (1 of January 2016), Population (1 of January 2017), Population (1 of January 2018), Population (1 of January 2019), Population (1 of January 2020), Population (1 of January 2021), Population (1 of January 2022), Population (1 of January 2023), 
Attica, Attikí, Αττική, GR-I, Athens, 3808, administrative region, 3894259, 3916875, 3935254, 3952793, 3971441, 3982602, 3990727, 3999457, 4002871, 3992912, 3963887, 3912849, 3863763, 3822843, 3781274, 3773559, 3756453, 3742235, 3738901, 3736737, 3807698, 3790842, 
Central Greece, Stereá Elláda, Στερεά Ελλάδα, GR-H, Lamia, 15549, administrative region, 562848, 559105, 556835, 555282, 554659, 555149, 555577, 557291, 559655, 561693, 561670, 560093, 559214, 557753, 555830, 555761, 555623, 555960, 556002, 553235, 506991, 504167, 
Central Macedonia, Kentrikí Makedonía, Κεντρική Μακεδονία, GR-B, Thessaloniki, 18811, administrative region, 1852039, 1862475, 1871566, 1880517, 1890244, 1899242, 1905904, 1913980, 1921906, 1925437, 1922590, 1912624, 1903360, 1893878, 1883339, 1880122, 1875996, 1873777, 1872102, 1858755, 1791320, 1782630, 
Crete, Kríti, Κρήτη, GR-M, Heraklion, 8336, administrative region, 589844, 593143, 596426, 600490, 604682, 608988, 613144, 618317, 623113, 627144, 629367, 630085, 630889, 631513, 631812, 632674, 633506, 634930, 636504, 636766, 623900, 622909, 
Eastern Macedonia and Thrace, Anatolikí Makedonía kai Thráki, Ανατολική Μακεδονία και Θράκη, GR-A, Komotini, 14157, administrative region, 589489, 592085, 594512, 597258, 600034, 602965, 605411, 608639, 610112, 611573, 612074, 610102, 608214, 606490, 604504, 602799, 601175, 599723, 598613, 594905, 560787, 559730, 
Epirus, Ípeiros, Ήπειρος, GR-D, Ioannina, 9203, administrative region, 342332, 342169, 342123, 342454, 342916, 343786, 344410, 345167, 345960, 346503, 345437, 343128, 341046, 339142, 336834, 335250, 334337, 333696, 333265, 330985, 319214, 318890, 
Ionian Islands, Ionía Nísia, Ιόνια Νησιά, GR-F, Corfu, 2307, administrative region, 208075, 207415, 206877, 206688, 206703, 207149, 207508, 208161, 208675, 209221, 209131, 208241, 207664, 207059, 206141, 205431, 204562, 203869, 203149, 202371, 204166, 202185, 
North Aegean, Vóreio Aigaío, Βόρειο Αιγαίο, GR-K, Mytilene, 3836, administrative region, 199375, 199375, 199160, 199177, 199187, 198191, 198675, 199517, 200179, 200831, 200591, 199478, 198581, 197695, 196654, 203700, 211137, 221098, 229516, 229155, 194597, 195509, 
Peloponnese, Pelopónnisos, Πελοπόννησος, GR-J, Tripoli, 15490, administrative region, 594637, 590925, 588214, 586250, 585107, 585499, 585892, 587170, 588471, 589602, 589044, 586863, 585155, 583431, 581026, 579182, 576749, 574447, 572151, 569345, 538218, 534345, 
South Aegean, Nótio Aigaío, Νότιο Αιγαίο, GR-L, Ermoupoli, 5286, administrative region, 315878, 317315, 318813, 321798, 324712, 327471, 329525, 331815, 332652, 333983, 334780, 334652, 334802, 334865, 334791, 338383, 340870, 344027, 347512, 347848, 327647, 326945, 
Thessaly, Thessalía, Θεσσαλία, GR-E, Larissa, 14037, administrative region, 745339, 743648, 742574, 741599, 741765, 743210, 743919, 745569, 746976, 747690, 745839, 741593, 737686, 733663, 729442, 725874, 722065, 718640, 715115, 709808, 686450, 682189, 
Western Greece, Dytikí Elláda, Δυτική Ελλάδα, GR-G, Patras, 11350, administrative region, 706346, 703115, 700215, 697975, 696051, 694901, 693549, 692990, 692269, 690904, 687935, 682583, 677727, 673263, 668258, 663970, 659470, 655189, 651065, 646670, 646764, 643188, 
Western Macedonia, Dytikí Makedonía, Δυτική Μακεδονία, GR-C, Kozani, 9451, administrative region, 287813, 288125, 287800, 287631, 287215, 286855, 286696, 286672, 286450, 285899, 284061, 281324, 278706, 276423, 273843, 271488, 269222, 267008, 264670, 262052, 253875, 250453, 
