Name, Region, Title, Term start, Term end, Party, Assembly, Vice(s)
Otto von Bismarck, North German Confederation, Federal Chancellor, 01/07/1867, 21/03/1871, Non-partisan, , 
Otto von Bismarck, German Empire, Imperial Chancellor, 21/03/1871, 20/03/1890, Non-partisan, Bismarck, 
Leo von Caprivi, German Empire, Imperial Chancellor, 20/03/1890, 26/10/1894, Non-partisan, Caprivi, 
Chlodwig zu Hohenlohe-Schillingsfürst, German Empire, Imperial Chancellor, 29/10/1894, 17/10/1900, Non-partisan, Hohenlohe-Schillingsfürst, 
Bernhard von Bülow, German Empire, Imperial Chancellor, 17/10/1900, 14/07/1909, Non-partisan, Bülow, 
Theobald von Bethmann Hollweg, German Empire, Imperial Chancellor, 14/07/1909, 13/07/1917, Non-partisan, Bethmann Hollweg, 
Georg Michaelis, German Empire, Imperial Chancellor, 14/07/1917, 01/11/1917, Non-partisan, Michaelis, 
Georg von Hertling, German Empire, Imperial Chancellor, 01/11/1917, 30/09/1918, Centre Party, Hertling, 
Max von Baden, German Empire, Imperial Chancellor, 03/10/1918, 09/11/1918, Non-partisan, Baden, 
Friedrich Ebert, Weimar Republic / German Reich, Imperial Chancellor, 09/11/1918, 13/02/1919, Social Democratic Party (SPD), , 
Philipp Scheidemann, Weimar Republic / German Reich, Reich Minister-President, 13/02/1919, 20/06/1919, Social Democratic Party (SPD), , 
Gustav Bauer, Weimar Republic / German Reich, Reich Minister-President, 21/06/1919, 14/08/1919, Social Democratic Party (SPD), , 
Gustav Bauer, Weimar Republic / German Reich, Reich Chancellor, 14/08/1919, 26/03/1920, Social Democratic Party (SPD), , 
Hermann Müller, Weimar Republic / German Reich, Reich Chancellor, 27/03/1920, 21/06/1920, Social Democratic Party (SPD), , 
Constantin Fehrenbach, Weimar Republic / German Reich, Reich Chancellor, 25/06/1920, 10/05/1921, Centre Party, , 
Joseph Wirth, Weimar Republic / German Reich, Reich Chancellor, 10/05/1921, 22/11/1922, Centre Party, , 
Wilhelm Cuno, Weimar Republic / German Reich, Reich Chancellor, 22/11/1922, 12/08/1923, Non-partisan, , 
Gustav Stresemann, Weimar Republic / German Reich, Reich Chancellor, 13/08/1923, 30/11/1923, German People's Party, , 
Wilhelm Marx, Weimar Republic / German Reich, Reich Chancellor, 30/11/1923, 15/01/1925, Centre Party, , 
Hans Luther, Weimar Republic / German Reich, Reich Chancellor, 15/01/1925, 12/05/1926, Non-partisan, , 
Otto Gessler, Weimar Republic / German Reich, Reich Chancellor, 12/05/1926, 17/05/1926, German Democratic Party, , 
Wilhelm Marx, Weimar Republic / German Reich, Reich Chancellor, 17/05/1926, 28/06/1928, Centre Party, , 
Hermann Müller, Weimar Republic / German Reich, Reich Chancellor, 28/06/1928, 27/03/1930, Social Democratic Party, , 
Heinrich Brüning, Weimar Republic / German Reich, Reich Chancellor, 30/03/1930, 01/06/1932, Centre Party, , 
Franz von Papen, Weimar Republic / German Reich, Reich Chancellor, 01/06/1932, 03/12/1932, Non-partisan, , 
Kurt von Schleicher, Weimar Republic / German Reich, Reich Chancellor, 03/12/1932, 30/01/1933, Non-partisan, , 
Adolf Hitler, Weimar Republic / German Reich, Reich Chancellor, 30/01/1933, 23/03/1933, National Socialist German Workers' Party, Hitler, 
Adolf Hitler, Nazi Germany / German Reich / Greater German Reich, Reich Chancellor, 23/03/1933, 30/04/1945, National Socialist German Workers' Party, Hitler, 
Joseph Goebbels, Nazi Germany / German Reich / Greater German Reich, Reich Chancellor, 30/04/1945, 01/05/1945, National Socialist German Workers' Party, Goebbels, 
Lutz Graf Schwerin von Krosigk, Nazi Germany / German Reich / Greater German Reich, Reich Chancellor, 02/05/1945, 23/05/1945, National Socialist German Workers' Party, , 
Konrad Adenauer, Federal Republic of Germany / West Germany, Federal Chancellor, 15/09/1949, 15/10/1963, Christian Democratic Union (CDU), Adenauer I; Adenauer II; Adenauer III; Adenauer IV, 
Ludwig Erhard, Federal Republic of Germany / West Germany, Federal Chancellor, 15/10/1963, 30/11/1966, Independent, Erhard I; Erhard II, 
Kurt Georg Kiesinger, Federal Republic of Germany / West Germany, Federal Chancellor, 30/11/1966, 21/10/1969, Christian Democratic Union (CDU), Kiesinger, 
Willy Brandt, Federal Republic of Germany / West Germany, Federal Chancellor, 21/10/1969, 07/05/1974, Social Democratic Party (SPD), Brandt I; Brandt II, 
Walter Scheel, Federal Republic of Germany / West Germany, Federal Chancellor, 07/05/1974, 16/05/1974, Free Democratic Party (FDP), Brandt II, 
Helmut Schmidt, Federal Republic of Germany / West Germany, Federal Chancellor, 16/05/1974, 01/10/1982, Social Democratic Party (SPD), , 
Helmut Kohl , Federal Republic of Germany / West Germany, Federal Chancellor, 01/10/1982, 27/10/1998, Christian Democratic Union (CDU), , 
Gerhard Schröder, Germany, Federal Chancellor, 27/10/1998, 22/11/2005, Social Democratic Party (SPD), Schröder I; Schröder II, 
Angela Merkel, Germany, Federal Chancellor, 22/11/2005, 08/12/2021, Christian Democratic Union (CDU), Merkel I; Merkel II; Merkel III; Merkel IV, 
Olaf Scholz, Germany, Federal Chancellor, 08/12/2021, 06/05/2025, Social Democratic Party (SPD), Scholz, 
Friedrich Merz, Germany, Federal Chancellor, 06/05/2025, Incumbent, Christian Democratic Union (CDU), Merz, Lars Klingbeil
Camillo Benso, Count of Cavour, Kingdom of Italy, President of the Council of Ministers, 23/03/1861, 06/06/1861, Historical Right, , 
Bettino Ricasoli, Kingdom of Italy, President of the Council of Ministers, 12/06/1861, 03/03/1862, Historical Right, , 
Urbano Rattazzi, Kingdom of Italy, President of the Council of Ministers, 03/03/1862, 08/12/1862, Historical Left, , 
Luigi Carlo Farini, Kingdom of Italy, President of the Council of Ministers, 08/12/1862, 24/03/1863, Historical Right, , 
Marco Minghetti, Kingdom of Italy, President of the Council, 24/03/1863, 28/09/1864, Historical Right, , 
Alfonso Ferrero La Marmora, Kingdom of Italy, President of the Council, 28/09/1864, 20/06/1866, Military / Right, , 
Luigi Federico Menabrea, Kingdom of Italy, President of the Council, 27/10/1867, 14/12/1869, Historical Right, , 
Giovanni Lanza, Kingdom of Italy, President of the Council, 14/12/1869, 10/07/1873, Historical Right, , 
Agostino Depretis, Kingdom of Italy, President of the Council, 25/03/1876, 24/03/1878, Historical Left, , 
Benedetto Cairoli, Kingdom of Italy, President of the Council, 24/03/1878, 19/12/1878, Historical Left, , 
Agostino Depretis, Kingdom of Italy, President of the Council, 19/12/1878, 14/07/1879, Historical Left, , 
Benedetto Cairoli, Kingdom of Italy, President of the Council, 14/07/1879, 29/05/1881, Historical Left, , 
Agostino Depretis, Kingdom of Italy, President of the Council, 29/05/1881, 29/07/1887, Historical Left, , 
Francesco Crispi, Kingdom of Italy, President of the Council, 29/07/1887, 06/02/1891, Historical Left, , 
Giovanni Giolitti, Kingdom of Italy, President of the Council, 15/05/1892, 15/12/1893, Historical Left / Liberal, , 
Francesco Crispi, Kingdom of Italy, President of the Council, 15/12/1893, 10/03/1896, Historical Left, , 
Giovanni Giolitti, Kingdom of Italy, President of the Council, 03/11/1903, 12/03/1905, Historical Left / Liberal, , 
Sidney Sonnino, Kingdom of Italy, President of the Council, 08/02/1906, 29/05/1906, Liberal, , 
Giovanni Giolitti, Kingdom of Italy, President of the Council, 29/05/1906, 11/12/1909, Historical Left / Liberal, , 
Sidney Sonnino, Kingdom of Italy, President of the Council, 11/12/1909, 31/03/1910, Liberal, , 
Giovanni Giolitti, Kingdom of Italy, President of the Council, 30/03/1911, 21/03/1914, Historical Left / Liberal, , 
Antonio Salandra, Kingdom of Italy, President of the Council, 28/03/1905, 30/03/1905, Conservative / Liberal, , 
Paolo Boselli, Kingdom of Italy, President of the Council, 30/03/1905, 31/03/1905, Liberal, , 
Vittorio Emanuele Orlando, Kingdom of Italy, President of the Council, 31/03/1905, 02/04/1905, Liberal, , 
Francesco Saverio Nitti, Kingdom of Italy, President of the Council, 02/04/1905, 03/04/1905, Liberal, , 
Giovanni Giolitti, Kingdom of Italy, President of the Council, 15/06/1920, 04/07/1921, Historical Left / Liberal, , 
Ivanoe Bonomi, Kingdom of Italy, President of the Council, 04/07/1921, 26/02/1922, Liberal, , 
Luigi Facta, Kingdom of Italy, President of the Council, 26/02/1922, 31/10/1922, Liberal, , 
Benito Mussolini, Kingdom of Italy, Head of Government / Prime Minister, 31/10/1922, 25/07/1943, National Fascist Party, , 
Pietro Badoglio, Kingdom of Italy, President of the Council, 25/07/1943, 18/06/1944, Military, , 
Ivanoe Bonomi, Kingdom of Italy, President of the Council, 18/06/1944, 12/12/1944, Mixed coalition, , 
Ferruccio Parri, Kingdom of Italy, President of the Council, 21/06/1945, 08/12/1945, Action Party / Mixed, , 
Alcide De Gasperi, Kingdom of Italy, President of the Council, 10/12/1945, 01/07/1946, Christian Democracy, , 
Alcide De Gasperi, Italy, Prime Minister, 10/12/1945, 17/08/1953, Christian Democracy, Post-war transition & I-II Republic, Luigi Einaudi
Giuseppe Pella, Italy, Prime Minister, 17/08/1953, 19/01/1954, Christian Democracy, II Legislature, 
Amintore Fanfani, Italy, Prime Minister, 19/01/1954, 10/02/1954, Christian Democracy, II Legislature, 
Mario Scelba, Italy, Prime Minister, 10/02/1954, 06/07/1955, Christian Democracy, II-III Legislature, 
Antonio Segni, Italy, Prime Minister, 06/07/1955, 20/05/1957, Christian Democracy, III Legislature, Giuseppe Saragat
Adone Zoli, Italy, Prime Minister, 20/05/1957, 02/07/1958, Christian Democracy, III Legislature, 
Amintore Fanfani, Italy, Prime Minister, 02/07/1958, 16/02/1959, Christian Democracy, III Legislature, 
Fernando Tambroni, Italy, Prime Minister, 26/03/1960, 27/07/1960, Christian Democracy, IV Legislature, 
Giovanni Leone, Italy, Prime Minister, 25/06/1963, 05/12/1963, Christian Democracy, IV Legislature, 
Aldo Moro, Italy, Prime Minister, 04/12/1963, 24/06/1968, Christian Democracy, IV-V Legislature, 
Mariano Rumor, Italy, Prime Minister, 12/12/1968, 05/08/1970, Christian Democracy, V Legislature, 
Emilio Colombo, Italy, Prime Minister, 06/08/1970, 17/02/1972, Christian Democracy, V Legislature, 
Giulio Andreotti, Italy, Prime Minister, 17/02/1972, 08/07/1973, Christian Democracy, VI Legislature, 
Mariano Rumor, Italy, Prime Minister, 08/07/1973, 14/03/1974, Christian Democracy, VI Legislature, 
Aldo Moro, Italy, Prime Minister, 14/03/1974, 23/11/1976, Christian Democracy, VI Legislature, 
Giulio Andreotti, Italy, Prime Minister, 23/11/1976, 15/06/1979, Christian Democracy, VII Legislature, 
Francesco Cossiga, Italy, Prime Minister, 18/08/1979, 04/04/1980, Christian Democracy, VIII Legislature, 
Arnaldo Forlani, Italy, Prime Minister, 18/04/1980, 28/06/1981, Christian Democracy, VIII Legislature, 
Giovanni Spadolini, Italy, Prime Minister, 28/06/1981, 01/12/1982, Republican Party, VIII Legislature, 
Amintore Fanfani, Italy, Prime Minister, 01/12/1982, 04/08/1983, Christian Democracy, IX Legislature, 
Bettino Craxi, Italy, Prime Minister, 04/08/1983, 17/04/1987, Italian Socialist Party, IX-X Legislature, 
Giovanni Goria, Italy, Prime Minister, 17/04/1987, 13/04/1988, Christian Democracy, X Legislature, 
Ciriaco De Mita, Italy, Prime Minister, 13/04/1988, 22/07/1989, Christian Democracy, X Legislature, 
Giulio Andreotti, Italy, Prime Minister, 22/07/1989, 28/06/1992, Christian Democracy, X Legislature, 
Giuliano Amato, Italy, Prime Minister, 28/06/1992, 29/04/1993, Social Democracy, XI Legislature, 
Carlo Azeglio Ciampi, Italy, Prime Minister, 29/04/1993, 11/05/1994, Independent/Moderate, XI Legislature, 
Silvio Berlusconi, Italy, Prime Minister, 11/05/1994, 17/01/1995, Forza Italia, XII Legislature, Gianfranco Fini
Lamberto Dini, Italy, Prime Minister, 17/01/1995, 17/05/1996, Independent, XII Legislature, 
Romano Prodi, Italy, Prime Minister, 18/05/1996, 21/10/1998, The Olive Tree/PD, XIII Legislature, 
Massimo D’Alema, Italy, Prime Minister, 21/10/1998, 25/04/2000, Democrats of the Left, XIII Legislature, 
Giuliano Amato, Italy, Prime Minister, 25/04/2000, 11/06/2001, Democrats of the Left, XIII Legislature, 
Silvio Berlusconi, Italy, Prime Minister, 11/06/2001, 17/05/2006, Forza Italia, XIV Legislature, Gianfranco Fini
Romano Prodi, Italy, Prime Minister, 17/05/2006, 08/05/2008, The Olive Tree/PD, XV Legislature, Enrico Letta
Silvio Berlusconi, Italy, Prime Minister, 08/05/2008, 16/11/2011, PdL/Forza Italia, XVI Legislature, Angelino Alfano
Mario Monti, Italy, Prime Minister, 16/11/2011, 21/02/2013, Independent/Technocrat, XVII Legislature, 
Enrico Letta, Italy, Prime Minister, 28/04/2013, 22/02/2014, Democratic Party, XVII Legislature, Angelino Alfano
Matteo Renzi, Italy, Prime Minister, 22/02/2014, 12/12/2016, Democratic Party, XVII-XVIII Legislature, 
Paolo Gentiloni, Italy, Prime Minister, 12/12/2016, 01/06/2018, Democratic Party, XVIII Legislature, 
Giuseppe Conte, Italy, Prime Minister, 01/06/2018, 13/02/2021, M5S / Centre-left & Centre-right, XVIII-XIX Legislature, 
Mario Draghi, Italy, Prime Minister, 13/02/2021, 22/10/2022, Independent / Broad coalition, XVIII-XIX Legislature, Multiple Deputies
Giorgia Meloni, Italy, Prime Minister, 22/10/2022, Incumbent, Brothers of Italy, XIX Legislature, Matteo Salvini; Antonio Tajani
Anton von Schmerling, Austria, Minister-President, 13/12/1860, 27/07/1865, Liberal Constitutionalists, Reichsrat, 
Richard Belcredi, Austria, Minister-President, 27/07/1865, 07/02/1867, Conservative Federalist, Reichsrat, 
Friedrich Ferdinand von Beust, Austria, Minister-President, 07/02/1867, 30/12/1867, Liberal-Conservative, Reichsrat, 
Karl von Auersperg, Austria, Minister-President, 30/12/1867, 04/09/1868, German Liberal Party, Reichsrat, 
Eduard Taaffe, Austria, Minister-President, 24/09/1868, 15/01/1870, Conservative, Reichsrat, 
Ignaz von Plener, Austria, Minister-President, 15/01/1870, 01/02/1870, Liberal, Reichsrat, 
Leopold Hasner von Artha, Austria, Minister-President, 01/02/1870, 12/04/1870, Liberal, Reichsrat, 
Alfred Józef Potocki, Austria, Minister-President, 12/04/1870, 07/02/1871, Conservative, Reichsrat, 
Karl Sigmund von Hohenwart, Austria, Minister-President, 07/02/1871, 26/10/1871, Federalist Conservative, Reichsrat, 
Adolf Auersperg, Austria, Minister-President, 26/10/1871, 20/03/1879, German Liberal Party, Reichsrat, 
Eduard Taaffe (again), Austria, Minister-President, 20/03/1879, 11/11/1893, Conservative / Clerical, Reichsrat, 
Alfred Windisch-Grätz, Austria, Minister-President, 11/11/1893, 19/10/1895, Conservative, Reichsrat, 
Ernest von Koerber, Austria, Minister-President, 19/10/1895, 02/10/1900, Liberal Reformist, Reichsrat, 
Ernest von Koerber, Austria, Minister-President, 31/12/1904, 02/05/1906, Liberal Reformist, Reichsrat, 
