Department,Capital,ISO3166-2,Area_km2,Municipalities,Population_1988,Population_2001,Population_2013,Population_2023
Atlántida,La Ceiba,HN-AT,4372,8,247910,344099,436252,508200
Choluteca,Choluteca,HN-CH,4360,16,306832,390805,437618,491500
Colón,Trujillo,HN-CL,8249,10,155425,246708,309926,360500
Comayagua,Comayagua,HN-CM,5124,21,249070,352881,493466,593500
Copán,Santa Rosa de Copán,HN-CP,3242,23,227883,288766,371057,431000
Cortés,San Pedro Sula,HN-CR,3954,12,804124,1202502,1570931,1855900
El Paraíso,Yuscarán,HN-EP,7489,19,267881,358267,427232,494700
Francisco Morazán,Tegucigalpa,HN-FM,8580,28,761213,1180458,1577187,1852300
Gracias a Dios,Puerto Lempira,HN-GD,16897,6,36109,63416,93677,118300
Intibucá,La Esperanza,HN-IN,3123,17,126114,179862,232509,277800
Islas de la Bahía,Roatán,HN-IB,236,4,21819,38753,49344,79100
La Paz,La Paz,HN-LP,2331,19,118513,149686,196322,225300
Lempira,Gracias,HN-LE,4290,28,214648,277910,333524,387000
Ocotepeque,Nueva Ocotepeque,HN-OC,1630,16,89708,111474,151516,173300
Olancho,Juticalpa,HN-OL,24229,23,287670,420123,506805,601600
Santa Bárbara,Santa Bárbara,HN-SB,5115,28,284312,345893,421337,470700
Valle,Nacaome,HN-VA,1665,9,108908,151841,171613,187700
Yoro,Yoro,HN-YO,7781,11,337927,442331,552100,633900
