iPad (1st gen), iPhone OS 3.2, April 3 2010, March 2 2011, 
iPad (2nd gen), iOS 4.3, March 11 2011, March 18 2014, 
iPad (3rd gen), iOS 5.1, March 16 2012, October 23 2012, 
iPad Mini (1st gen), iOS 6.0, November 2 2012, June 19 2015, 
iPad (4th gen), iOS 6.0, November 2 2012, October 16 2014, 
iPad Air (1st gen), iOS 7.0.3, November 1 2013, March 21 2016, 
iPad Mini (2nd gen), iOS 7.0.3, November 12 2013, March 21 2017, 
iPad Mini (3rd gen), iOS 8.1, October 22 2014, September 9 2015, 
iPad Air (2nd gen), iOS 8.1, October 22 2014, March 21 2017, 
iPad Mini (4th gen), iOS 9.0, September 9 2015, March 18 2019, 
iPad (5th gen), iOS 10.3, March 24 2017, March 27 2018, 
iPad Pro (1st gen) 12.9-inch, iOS 9.1, November 11 2015, June 5 2017, 
iPad Pro (1st gen) 9.7-inch, iOS 9.1, March 31 2016, June 5 2017, 
iPad Pro (2nd gen) 12.9-inch, iOS 10.3.2, June 13 2017, October 30 2018, 
iPad Pro (2nd gen) 10.5-inch, iOS 10.3.2, June 13 2017, March 18 2019, 
iPad (6th gen), iOS 11.3, March 27 2018, September 10 2019, 
iPad Pro (3rd gen), iOS 12.1, November 7 2018, March 18 2020, 
iPad Mini (5th gen), iOS 12.2, March 18 2019, September 14 2021, 
iPad Air (3rd gen), iOS 12.2, March 18 2019, September 15 2020, 
iPad (7th gen), iPadOS 13.1, September 25 2019, September 15 2020, 
iPad Pro (4th gen), iPadOS 13.4, March 25 2020, April 20 2021, 
iPad (8th gen), iPadOS 14.0, September 18 2020, September 14 2021, 
iPad Air (4th gen), iPadOS 14.1, October 23 2020, March 8 2022, 
iPad Pro (5th gen), iPadOS 14.5, May 21 2021, Current, 
iPad (9th gen), iPadOS 15.0, September 24 2021, Current, 
iPad Mini (6th gen), iPadOS 15.0, September 24 2021, Current, 
iPad Air (5th gen), iPadOS 15.4, March 18 2022, Current, 
