ICS, Parent ICS, Title, Scope, 
1, , Generalities. Terminology. Standardization. Documentation, , 
3, , Services. Company organizationand  management and quality. Administration. Transport. Sociology, , 
7, , Natural and applied sciences, , 
11, , Health care technology, , 
13, , Environment. Health protection. Safety, , 
17, , Metrology and measurement. Physical phenomena, , 
19, , Testing, , 
21, , Mechanical systems and components for general use, , 
23, , Fluid systems and components for general use, , 
25, , Manufacturing engineering, , 
27, , Energy and heat transfer engineering, , 
29, , Electrical engineering, , 
31, , Electronics, , 
33, , Telecommunications. Audio and video engineering, , 
35, , Information technology, , 
37, , Image technology, , 
39, , Precision mechanics. Jewellery, , 
43, , Road vehicles engineering, , 
45, , Railway engineering, , 
47, , Shipbuilding and marine structures, , 
49, , Aircraft and space vehicle engineering, , 
53, , Materials handling equipment, , 
55, , Packaging and distribution of goods, , 
59, , Textile and leather technology, , 
61, , Clothing industry, , 
65, , Agriculture, , 
67, , Food technology, , 
71, , Chemical technology, , 
73, , Mining and minerals, , 
75, , Petroleum and related technologies, , 
77, , Metallurgy, , 
79, , Wood technology, , 
81, , Glass and ceramics industries, , 
83, , Rubber and plastic industries, , 
85, , Paper technology, , 
87, , Paint and colour industries, , 
91, , Construction materials and building, , 
93, , Civil engineering, , 
95, , Military affairs. Military engineering. Weapons, , 
97, , Domestic and commercial equipment. Entertainment. Sports, , 
1.02, 1, Terminology (principles and coordination), Including terminography, 
1.04, 1, Vocabularies, , 
1.06, 1, Quantities and units, , 
1.07, 1, Colour coding, , 
1.075, 1, Character symbols, , 
1.08, 1, Graphical symbols, , 
1.1, 1, Technical drawings, , 
1.11, 1, Technical product documentation, Including rules for preparation of user guidesand  manualsand  product specificationsand  etc., 
1.12, 1, Standardization. General rules, Including rules for the preparation of standards catalogues and management of technical documents, 
1.14, 1, Information sciences. Publishing, , 
3.02, 3, Sociology. Demography, , 
3.04, 3, Labour. Employment, , 
3.06, 3, Finances. Banking. Monetary systems. Insurance, Including personal financial planning, 
3.08, 3, Services, , 
3.1, 3, Company organization and management. Management systems, , 
3.12, 3, Quality, , 
3.14, 3, Patents. Intellectual property, , 
3.16, 3, Law. Administration, Including flags and associated symbols (emblems) of political and administrative entitiesand  military flagsand  flags of organizationsand  etc., 
3.18, 3, Education, , 
3.2, 3, Leisure. Tourism, , 
3.22, 3, Transport, , 
3.24, 3, Postal services, Including postal equipmentand  post-boxes and letter-boxesand  etc., 
7.02, 7, Mathematics, , 
7.03, 7, Physics. Chemistry, , 
7.04, 7, Astronomy. Geodesy. Geography, , 
7.06, 7, Geology. Meteorology. Hydrology, , 
7.08, 7, Biology. Botany. Zoology, Including biotechnology, 
7.1, 7, Microbiology, , 
7.12, 7, Nanotechnologies, , 
7.14, 7, Forensic science, , 
11.02, 11, Medical sciences and health care facilities in general, , 
11.04, 11, Medical equipment, , 
11.06, 11, Dentistry, , 
11.08, 11, Sterilization and disinfection, , 
11.1, 11, Laboratory medicine, , 
11.12, 11, Pharmaceutics, , 
11.14, 11, Hospital equipment, Including hospital bedsand  surgical tablesand  medical garmentsand  medical glovesand  containers for sharp disposaland  etc., 
11.16, 11, First aid, Including kitsand  equipmentand  facilities and medical transport for first aid, 
11.18, 11, Aids for disabled or handicapped persons, Including aids for elderly people, 
11.2, 11, Birth control. Mechanical contraceptives, , 
11.22, 11, Veterinary medicine, Including equipment specific to veterinary medicine, 
13.02, 13, Environmental protection, , 
13.03, 13, Wastes, , 
13.04, 13, Air quality, , 
13.06, 13, Water quality, Including toxicityand  biodegradabilityand  protection against pollutionand  related installations and equipment, 
13.08, 13, Soil quality. Pedology, , 
13.1, 13, Occupational safety. Industrial hygiene, , 
13.11, 13, Safety of machinery, , 
