Kingdom, Name, Birthdate, Deathdate, Reign start, Reign end, Dynasty, Other names
León & Castile, Pelagius, c.685, 737, 718, 737, Astur-Leonese, Pelayo
León & Castile, Favila, , 739, 737, 739, Astur-Leonese, 
León & Castile, Alfonso I, c.693, 757, 739, 757, Astur-Leonese, Alfonso the Catholic
León & Castile, Fruela I, c.722, 768, 757, 768, Astur-Leonese, 
León & Castile, Alfonso II, 759, 842, 791, 842, Astur-Leonese, Alfonso the Chaste
León & Castile, Ramiro I, , 850, 842, 850, Astur-Leonese, 
León & Castile, Ordoño I, c.821, 866, 850, 866, Astur-Leonese, 
León & Castile, Alfonso III, c.848, 910, 866, 910, Astur-Leonese, Alfonso the Great
León & Castile, García I, , 914, 910, 914, Astur-Leonese, 
León & Castile, Ordoño II, c.873, 924, 914, 924, Astur-Leonese, 
León & Castile, Fruela II, , 925, 924, 925, Astur-Leonese, 
León & Castile, Ramiro II, c.900, 951, 931, 951, Astur-Leonese, 
León & Castile, Ordoño III, , 956, 951, 956, Astur-Leonese, 
León & Castile, Sancho I, c.935, 966, 956, 966, Astur-Leonese, Sancho the Fat
León & Castile, Ramiro III, c.960, 985, 966, 984, Astur-Leonese, 
León & Castile, Bermudo II, c.956, 999, 984, 999, Astur-Leonese, 
León & Castile, Alfonso V, 994, 1028, 999, 1028, Astur-Leonese, 
León & Castile, Bermudo III, 1017, 1037, 1028, 1037, Astur-Leonese, 
León & Castile, Ferdinand I, 1016, 1065, 1037, 1065, Jiménez, Ferdinand the Great
León & Castile, Sancho II, 1038, 1072, 1065, 1072, Jiménez, Sancho the Strong
León & Castile, Alfonso VI, 1040, 1109, 1072, 1109, Jiménez, Emperor of All Spain
León & Castile, Urraca, 1081, 1126, 1109, 1126, Jiménez, Queen regnant
León & Castile, Alfonso VII, 1105, 1157, 1126, 1157, Jiménez, The Emperor
León & Castile, Ferdinand II, 1137, 1188, 1157, 1188, Jiménez, 
León & Castile, Alfonso IX, 1171, 1230, 1188, 1230, Jiménez, 
León & Castile, Ferdinand III, 1199, 1252, 1230, 1252, House of Burgundy, Ferdinand the Saint
León & Castile, Alfonso X, 1221, 1284, 1252, 1284, House of Burgundy, Alfonso the Wise
León & Castile, Sancho IV, 1258, 1295, 1284, 1295, House of Burgundy, Sancho the Brave
León & Castile, Ferdinand IV, 1285, 1312, 1295, 1312, House of Burgundy, 
León & Castile, Alfonso XI, 1311, 1350, 1312, 1350, House of Burgundy, 
León & Castile, Peter I, 1334, 1369, 1350, 1369, House of Burgundy, Peter the Cruel
León & Castile, Henry II, 1334, 1379, 1369, 1379, House of Trastámara, Henry of Trastámara
León & Castile, John I, 1358, 1390, 1379, 1390, Trastámara, 
León & Castile, Henry III, 1379, 1406, 1390, 1406, Trastámara, Henry the Sufferer
León & Castile, John II, 1405, 1454, 1406, 1454, Trastámara, 
León & Castile, Henry IV, 1425, 1474, 1454, 1474, Trastámara, Henry the Impotent
León & Castile, Isabella I, 1451, 1504, 1474, 1504, Trastámara, Isabella the Catholic
León & Castile, Joanna I, 1479, 1555, 1504, 1555, Trastámara, Joanna the Mad
Aragon, Ramiro I, c.1023, 1063, 1035, 1063, Jiménez, 
Aragon, Sancho Ramírez, c.1043, 1094, 1063, 1094, Jiménez, Sancho I
Aragon, Peter I, 1068, 1104, 1094, 1104, Jiménez, 
Aragon, Alfonso I, 1073, 1134, 1104, 1134, Jiménez, Alfonso the Battler
Aragon, Ramiro II, 1086, 1157, 1134, 1137, Jiménez, Ramiro the Monk
Aragon, Petronilla, 1136, 1173, 1137, 1164, House of Barcelona, Queen regnant
Aragon, Alfonso II, 1157, 1196, 1164, 1196, House of Barcelona, 
Aragon, Peter II, 1177, 1213, 1196, 1213, Barcelona, 
Aragon, James I, 1208, 1276, 1213, 1276, Barcelona, James the Conqueror
Aragon, Peter III, 1240, 1285, 1276, 1285, Barcelona, 
Aragon, Alfonso III, 1265, 1291, 1285, 1291, Barcelona, 
Aragon, James II, 1267, 1327, 1291, 1327, Barcelona, 
Aragon, Alfonso IV, 1299, 1336, 1327, 1336, Barcelona, 
Aragon, Peter IV, 1319, 1387, 1336, 1387, Barcelona, Peter the Ceremonious
Aragon, John I, 1350, 1396, 1387, 1396, Barcelona, 
Aragon, Martin I, 1356, 1410, 1396, 1410, Barcelona, Martin the Humane
Aragon, Ferdinand I, 1380, 1416, 1412, 1416, Trastámara, 
Aragon, Alfonso V, 1396, 1458, 1416, 1458, Trastámara, Alfonso the Magnanimous
Aragon, John II, 1398, 1479, 1458, 1479, Trastámara, 
Aragon, Ferdinand II, 1452, 1516, 1479, 1516, Trastámara, Ferdinand the Catholic
Asturias, Pelagius, c.685, 737, 718, 737, Astur-Leonese, Pelayo
Asturias, Favila, , 739, 737, 739, Astur-Leonese, 
Asturias, Alfonso I, c.693, 757, 739, 757, Astur-Leonese, Alfonso the Catholic
Asturias, Fruela I, c.722, 768, 757, 768, Astur-Leonese, 
Asturias, Aurelius, , 774, 768, 774, Astur-Leonese, 
Asturias, Silo, , 783, 774, 783, Astur-Leonese, 
Asturias, Mauregatus, , 789, 783, 789, Astur-Leonese, 
Asturias, Bermudo I, , 797, 789, 791, Astur-Leonese, Bermudo the Deacon
Asturias, Alfonso II, 759, 842, 791, 842, Astur-Leonese, Alfonso the Chaste
Asturias, Ramiro I, , 850, 842, 850, Astur-Leonese, 
Asturias, Ordoño I, c.821, 866, 850, 866, Astur-Leonese, 
Asturias, Alfonso III, c.848, 910, 866, 910, Astur-Leonese, Alfonso the Great
Asturias, García I, , 914, 910, 914, Astur-Leonese, King of León
Asturias, Ordoño II, c.873, 924, 914, 924, Astur-Leonese, King of León
Spain, Charles I, 1500-02-24, 1558-09-21, 1516, 1556, House of Habsburg, Charles V - Holy Roman Emperor
Spain, Philip II, 1527-05-21, 1598-09-13, 1556, 1598, House of Habsburg, Philip the Prudent
Spain, Philip III, 1578-04-14, 1621-03-31, 1598, 1621, House of Habsburg, 
Spain, Philip IV, 1605-04-08, 1665-09-17, 1621, 1665, House of Habsburg, Philip the Great
