Line, From, To, Length [km], # Stops, Stops, Color, Ride time [min], Opened
Bakerloo line, Harrow & Wealdstone, Elephant & Castle, 23.2, 25, Harrow & Wealdstone - Kenton - South Kenton - North Wembley - Wembley Central - Stonebridge Park - Harlesden - Willesden Junction - Kensal Green - Queen's Park - Kilburn Park - Maida Vale - Warwick Avenue - Paddington - Edgware Road - Marylebone - Baker Street - Regent's Park - Oxford Circus - Piccadilly Circus - Charing Cross - Embankment - Waterloo - Lambeth North - Elephant & Castle, Brown, 49, 10 March 1906
Central line, West Ruislip, Epping, 74, 49, West Ruislip - Ruislip Gardens - South Ruislip - Northolt - Greenford - Perivale - Hanger Lane - Ealing Broadway - West Acton - North Acton - East Acton - White City - Shepherd's Bush - Holland Park - Notting Hill Gate - Queensway - Lancaster Gate - Marble Arch - Bond Street - Oxford Circus - Tottenham Court Road - Holborn - Chancery Lane - St Paul's - Bank - Liverpool Street - Bethnal Green - Mile End - Stratford - Leyton - Leytonstone - Wanstead - Redbridge - Gants Hill - Newbury Park - Barkingside - Fairlop - Hainault - Grange Hill - Chigwell - Roding Valley - Snaresbrook - South Woodford - Woodford - Buckhurst Hill - Loughton - Debden - Theydon Bois - Epping, Red, 83, 30 July 1900
Circle line, Hammersmith, Paddington, 27.2, 36, Hammersmith - Goldhawk Road - Shepherd's Bush Market - Wood Lane - Latimer Road - Ladbroke Grove - Westbourne Park - Royal Oak - Paddington - Edgware Road - Baker Street - Great Portland Street - Euston Square - King's Cross St Pancras - Farringdon - Barbican - Moorgate - Liverpool Street - Aldgate - Tower Hill - Monument - Cannon Street - Mansion House - Blackfriars - Temple - Embankment - Westminster - St James's Park - Victoria - Sloane Square - South Kensington - Gloucester Road - High Street Kensington - Notting Hill Gate - Bayswater - Paddington, Yellow, , 1871
District line, Upminster, Edgware Road or Kensington Olympia or Wimbledon or Ealing Broadway or Richmond, 64, 60, Upminster - Upminster Bridge - Hornchurch - Elm Park - Dagenham East - Dagenham Heathway - Becontree - Upney - Barking - East Ham - Upton Park - Plaistow - West Ham - Bromley-by-Bow - Bow Road - Mile End - Stepney Green - Whitechapel - Aldgate East - Tower Hill - Monument - Cannon Street - Mansion House - Blackfriars - Temple - Embankment - Westminster - St James's Park - Victoria - Sloane Square - South Kensington - Gloucester Road - Earl's Court - (High Street Kensington - Notting Hill Gate - Bayswater - Paddington - Edgware Road) or  - Kensington Olympia or  - (West Brompton - Fulham Broadway - Parsons Green - Putney Bridge - East Putney - Southfields - Wimbledon Park - Wimbledon) or (West Kensington - Barons Court - Hammersmith - Ravenscourt Park - Stamford Brook - Turnham Green - (Chiswick Park - Acton Town - Ealing Common - Ealing Broadway) or (Gunnersbury - Kew Gardens - Richmond)), Green, , 24 December 1868
Hammersmith & City line, Hammersmith, Barking, 25.5, 29, Hammersmith - Goldhawk Road - Shepherd's Bush Market - Wood Lane - Latimer Road - Ladbroke Grove - Westbourne Park - Royal Oak - Paddington - Edgware Road - Baker Street - Great Portland Street - Euston Square - King's Cross St Pancras - Farringdon - Barbican - Moorgate - Liverpool Street - Aldgate East - Whitechapel - Stepney Green - Mile End - Bow Road - Bromley-by-Bow - West Ham - Plaistow - Upton Park - East Ham - Barking, Pink, , 10 January 1863
Jubilee line, Stanmore, Stratford, 36.2, 27, Stanmore - Canons Park - Queensbury - Kingsbury - Wembley Park - Neasden - Dollis Hill - Willesden Green - Kilburn - West Hampstead - Finchley Road - Swiss Cottage - St John's Wood - Baker Street - Bond Street - Green Park - Westminster - Waterloo - Southwark - London Bridge - Bermondsey - Canada Water - Canary Wharf - North Greenwich - Canning Town - West Ham - Stratford, Grey, , 1 May 1979
Metropolitan line, Aldgate, Uxbridge or Watford or Chesham or Amersham, 66.7, 34, Aldgate - Liverpool Street - Moorgate - Barbican - Farringdon - King's Cross St Pancras - Euston Square - Great Portland Street - Baker Street - Finchley Road - Wembley Park - Preston Road - Northwick Park - Harrow-on-the-Hill - (West Harrow - Rayners Lane - Eastcote - Ruislip Manor Ruislip - Ickenham - Hillingdon - Uxbridge) or (North Harrow - Pinner - Northwood Hills - Northwood - Moor Park - (Croxley - Watford) or (Rickmansworth - Chorleywood - Chalfont & Latimer - (Chesham) or (Amersham))), Magenta, 56 or 58 or 72 or 71, 10 January 1863
Northern line, High Barnet, , 58, 52, High Barnet - Totteridge & Whetstone - Woodside Park - West Finchley - Mill Hill East - Finchley Central - East Finchley - Highgate - Archway - Tufnell Park - Kentish Town - (Edgware - Burnt Oak - Colindale - Hendon Central - Brent Cross - Golders Green - Hampstead - Belsize Park - Chalk Farm) or Camden Townor or - (Mornington Crescent - Euston - Warren Street - Goodge Street - Tottenham Court Road - Leicester Square - Charing Cross - Embankment - Waterloo) or (Euston Bank branch - King's Cross St Pancras - Angel - Old Street - Moorgate - London Bridge - Borough - Elephant & Castle) or Kennington or (Nine Elms - Battersea Power Station) or (Stockwell - Clapham North - Clapham Common - Clapham South - Balham National Rail - Tooting Bec - Tooting Broadway - Colliers Wood - South Wimbledon - Morden), Black, , 18 December 1890
Piccadilly line, Cockfosters, Uxbridge or Heathrow Terminal 5, 71, 53, Cockfosters - Oakwood - Southgate - Arnos Grove - Bounds Green - Wood Green - Turnpike Lane - Manor House - Finsbury Park - Arsenal - Holloway Road - Caledonian Road - King's Cross St Pancras - Russell Square - Holborn - Covent Garden - Leicester Square - Piccadilly Circus - Green Park - Hyde Park Corner - Knightsbridge - South Kensington - Gloucester Road - Earl's Court - Barons Court - Hammersmith - Turnham Green - Acton Town - (Northfields - Boston Manor - Osterley - Hounslow East - Hounslow Central - Start of tunnel section - Hounslow West - Hatton Cross - Heathrow Terminal 4 - Heathrow Terminals 2 & 3 - Heathrow Airport - Heathrow Terminal 5) or (North Ealing - Park Royal - Alperton - Sudbury Town - Sudbury Hill - South Harrow - Rayners Lane - Eastcote - Ruislip Manor - Ruislip - Ickenham - Hillingdon - Uxbridge), Dark blue, 40 or 34, 15 December 1906
Victoria line, Walthamstow Central , Brixton, 21, 16, Walthamstow Central - Blackhorse Road - Tottenham Hale - Seven Sisters - Finsbury Park - Highbury & Islington - King's Cross St Pancras - Euston - Warren Street - Oxford Circus - Green Park - Victoria - Pimlico - Vauxhall - Stockwell - Brixton, Light blue, 31, 1 September 1968
Waterloo & City line, Bank, Waterloo, 2.37, 2, Bank - Waterloo, Turquoise, 3, 8 August 1898
