Line, Number, 
X1, Cirkewwa, 
X1A, University, 
X1B, Ajruport, 
119, Ajruport, 
X2, San Giljan, 
X3, Bugibba, 
X4, Birzebbugia, 
N11, Bugibba, 
N13, San Giljan, 
N212, Bugibba, 
N62, Siggiewi, 
N82, Birzebbugia, 
N91, Marsaskala, 
N48, Bugibba, 
1, Isla, 
2, Birgu, 
3, Kalkara, 
4, Birgu Centre, 
13, Caghaq, 
13A, San Giljan, 
14, Pembroke, 
15, Sliema, 
16, Swieqi, 
21, Sliema, 
22, Birkirkara, 
24, San Gwann, 
25, San Gwann, 
31, Bugibba, 
32, Swatar, 
35, San Gwann, 
41, Cirkewwa, 
42, Cirkewwa, 
43, Naxxar, 
44, Tuffieha, 
45, Bugibba, 
46, Gharghur, 
47, Mosta, 
48, Bugibba, 
49, Ghadira Bay, 
50, Rabat, 
51, Mtarfa, 
52, Dingli, 
53, Rabat Virtu, 
54, Attard, 
56, Dingli, 
58, Birkirkara, 
58A, Birkirkara, 
61, Zebbug, 
62, Siggiewi, 
63, Qormi Harifa, 
64, Qormi, 
71, Zurrieq, 
72, Qrendi, 
73, Zurrieq, 
74, Zurrieq, 
80, Birzebbugia, 
81, Marsaxlokk, 
82, Birzebbugia, 
82A, Birzebbugia, 
83, Sta Lucija, 
84, Zejtun, 
85, Marsaxlokk, 
88, Gudja, 
90, Zabbar, 
91, Marsaskala, 
92, Marsaskala, 
93, Marsaskala, 
94, Xghajra, 
101, Cirkewwa, 
103, Naxxar, 
106, Attard, 
109, Bahrija, 
109A, Bahrija, 
110, Pembroke Park and Ride, 
117, Mqabba, 
120, Pembroke, 
121, Pembroke, 
122, Mater Dei, 
124, Isla, 
130, Waterfront, 
133, Valletta, 
135, Marsascala, 
181, Dingli, 
182, Mtarfa, 
186, Bugibba, 
201, Rabat, 
202, Sliema, 
203, Bugibba, 
204, Marsaskala, 
206, Zejtun, 
209, Siggiewi, 
210, Birzebbugia, 
212, Bugibba, 
221, Bugibba, 
213, Isla, 
218, Mqabba, 
222, Sliema, 
223, Ghajn Tuffieha, 
225, Ghajn Tuffieha, 
226, Gudja, 
233, Swieqi, 
238, Mgarr, 
250, Ghadira, 
260, Gharghur, 
280, Bugibba, 
TD2, San Giljan, 
TD10, Marsaxlokk, 
TD13, Bugibba, 
X300, Mater Dei, 
150, MCAST, 
300, Mater Dei, 
301, Vapur, 
302, Ramla, 
303, Vapur, 
305, Victoria, 
306, Xlendi, 
307, Xaghra, 
308, Ghammar, 
309, Zebbug, 
310, Marsalforn, 
311, Dwejra, 
312, San Lawrenz, 
313, San Lucija, 
322, Vapur, 
323, Vapur, 
330, Xlendi, 
N301, Victoria, 
