Attard, Malta, Central, West, 6.6, 11377, 11630, 11774, 12268, MT-01, 
Balzan, Malta, Central, West, 0.6, 4689, 4768, 4741, 4774, MT-02, 
Birgu, Malta, South East, South Harbour, 0.5, 2489, 2480, 2455, 2261, MT-03, 
Birkirkara, Malta, Central, North Harbour, 2.7, 24356, 25463, 25790, 25807, MT-04, 
Birzebbugia, Malta, South, South East, 9.2, 12915, 13453, 13422, 11844, MT-05, 
Cospicua (Bormla), Malta, South East, South Harbour, 0.9, 5170, 5184, 5142, 4654, MT-06, 
Dingli, Malta, North, West, 5.7, 3711, 3730, 3748, 3865, MT-07, 
Fgura, Malta, South East, South Harbour, 1.1, 12449, 12877, 12947, 13066, MT-08, 
Floriana, Malta, South East, South East, 0.94, 2032, 2053, 2029, 1985, MT-09, 
Fontana, Gozo, Gozo, Gozo & Comino, 0.5, 922, 952, 958, 1042, MT-10, 
Gudja, Malta, South, South East, 2.3, 3184, 3215, 3227, 3229, MT-11, 
Gżira, Malta, Central, North Harbour, 1.5, 11669, 12816, 13021, 10331, MT-12, 
Għajnsielem, Gozo & Comino, Gozo, Gozo & Comino, 7.2, 2931, 3015, 3013, 3523, MT-13, 
Għarb, Gozo, Gozo, Gozo & Comino, 4.6, 1298, 1311, 1314, 1549, MT-14, 
Għargħur, Malta, North, North, 2, 2857, 2921, 2922, 3741, MT-15, 
Għasri, Gozo, Gozo, Gozo & Comino, 5, 424, 422, 423, 518, MT-16, 
Għaxaq, Malta, South, South East, 3.9, 4860, 4928, 4989, 5538, MT-17, 
Ħamrun, Malta, South, North Harbour, 1.1, 9743, 10075, 10122, 10514, MT-18, 
Iklin, Malta, Central, West, 1.7, 3422, 3507, 3534, 3399, MT-19, 
Senglea (Isla), Malta, South East, South Harbour, 0.2, 2720, 2769, 2732, 2304, MT-20, 
Kalkara, Malta, South East, South Harbour, 1.8, 3059, 3112, 3113, 3105, MT-21, 
Kerċem, Gozo, Gozo, Gozo & Comino, 5.5, 1796, 1809, 1822, 1881, MT-22, 
Kirkop, Malta, South, South East, 1.1, 2397, 2443, 2478, 2527, MT-23, 
Lija, Malta, Central, West, 1.1, 3202, 3293, 3303, 3162, MT-24, 
Luqa, Malta, South, South Harbour, 6.7, 6162, 6379, 6330, 7249, MT-25, 
