CITY, STATE, COUNTRY, LATITUDE, LONGITUDE, OFFSET, DST, Regulation_14, Regulation_13
Aabenraa, South Denmark, Denmark, 55.04, 9.42, 1, False, True, False
Laâyoune, Western Sahara, Morocco, 27.07, -13.47, 0, True, False, False
Aalborg, North Jutland, Denmark, 57.05, 9.92, 1, False, True, False
Aalborg, North Denmark Region, Denmark, 57.05, 10.06, 1, False, True, False
Aalborg, North Jutland, Denmark, 57.06, 10.05, 1, False, True, False
Aalborg, North Jutland, Denmark, 57.06, 9.96, 1, False, True, False
Aarhus, Aarhus, Denmark, 56.16, 10.24, 1, False, True, False
Abadan, Khuzestan, Iran, 30.34, 48.27, 3, False, False, False
Abbot Point, Queensland, Australia, -19.86, 148.09, 10, False, False, False
Aberdeen, Scotland, U.K., 57.14, -2.08, 0, False, True, False
Abidjan, Abidjan, Ivory Coast, 5.27, -4.02, 0, False, False, False
Turku, Southwest Finland, Finland, 60.44, 22.22, 2, False, True, False
Abo, Ondo State, Nigeria, 5.7, 4.47, 0, False, False, False
Himeji, Hyogo, Japan, 34.77, 134.61, 9, False, False, False
Bilbao, Basque Country, Spain, 43.35, -3.03, 1, False, False, False
Abu Al Bukhoosh, Abu Dhabi, U.A.E., 25.46, 53.08, 4, False, False, False
Jubail, Eastern Province, Saudi Arabia, 27.3, 49.69, 3, False, False, False
Abu Dhabi, Abu Dhabi, U.A.E., 24.53, 54.39, 4, False, False, False
Abu Marine Terminal, Sarawak, Malaysia, 6.13, 105.29, 7, False, False, False
Aburakawa, Iwate, Japan, 40.84, 140.74, 9, False, False, False
Aburatsu, Miyazaki, Japan, 31.57, 131.4, 9, False, False, False
Acajutla, Sonsonate, El Salvador, 13.56, -89.84, -6, False, False, False
Acandia, South Aegean, Greece, 36.45, 28.23, 2, False, False, False
São João da Barra, Rio de Janeiro, Brazil, -21.84, -41.0, -3, False, False, False
Adabiyah, Suez, Egypt, 29.88, 32.48, 2, False, False, False
Adak, Alaska, U.S.A., 51.85, -176.65, -10, False, False, False
Adamas, Milos, Greece, 36.72, 24.45, 2, False, False, False
Adang Bay, East Kalimantan, Indonesia, -1.72, 116.63, 8, False, False, False
Adelaide, South Australia, Australia, -34.78, 138.48, 10, True, False, False
Adelaide, South Australia, Australia, -34.83, 138.51, 10, True, False, False
Aden, Aden Governorate, Yemen, 12.77, 44.92, 3, False, False, False
Mississippi, Mississippi, U.S.A., 29.94, -90.31, -6, False, True, True
Rio Grande, Rio Grande do Sul, Brazil, -23.81, -45.38, -3, False, False, False
Aegean Sea, Greece, Greece, 39.17, 23.22, 2, False, False, False
Boca Chica, Santo Domingo, Dominican Republic, 18.4, -69.61, -4, False, False, False
Agadir, Souss-Massa, Morocco, 30.42, -9.64, 0, True, False, False
Agbami Terminal, Lagos State, Nigeria, 3.52, 5.53, 0, False, False, False
Agia Marina, Crete, Greece, 38.89, 22.59, 2, False, False, False
Agia Trias, Attica, Greece, 37.97, 23.41, 2, False, False, False
