Country, Name, ID, Address, Postal Code, Latitude, Longitude, Telephone, Services
Austria,,, "Industriestraße 7A-6134 Vomp",,,,,,
Austria,,, "Anton Hermann Straße 1A-8073 Feldkirchen/Graz",,,,,,
Austria,,, "Lassnitzstraße 10A-8530 Deutschlandsberg",,,,,,
Austria,,, "Promenade 9A-4240 Freistadt",,,,,,
Austria,,, "Margaretengürtel 45A-1050 Wien",,,,,,
Austria,,, "An der Leopoldauer Straße 49A-1210 Wien",,,,,,
Austria,,, "EKZ Passage 22/Bundesstraße 24A-6830 Rankweil",,,,,,
Austria,,, "Handelspark 11A-4707 Schlüßlberg",,,,,,
Austria,,, "Braunauerstraße 1fA-5230 Mattighofen",,,,,,
Austria,,, "Radingdorf 11A-4213 Unterweitersdorf",,,,,,
Austria,,, "Brunnerstraße 4A-3830 Waidhofen an der Thaya",,,,,,
Austria,,, "McDonald's Straße 1A-8684 Spital am Semmering",,,,,,
Austria,,, "Schwarzenbergplatz 17A-1010 Wien",,,,,,
Austria,,, "Bahnhofstraße 1A-8582 Rosental",,,,,,
Austria,,, "Rosenheimer Straße 4A-6332 Kufstein",,,,,,
Austria,,, "Passthurnstraße 13A-6380 St. Johann/Tirol",,,,,,
Austria,,, "Salzburgerstraße 224A-4600 Wels-West",,,,,,
Austria,,, "Prof. Ferry Porsche Strasse 4A-5700 Zell am See",,,,,,
Austria,,, "Hernalser Gürtel 82 A - 87, StadtbahnbögenA-1090 Wien",,,,,,
Austria,,, "Herzog Friedrich Straße 35A-6020 Innsbruck",,,,,,
Austria,,, "Donaustadtstraße 49A-1220 Wien",,,,,,
Austria,,, "Gurktalerstraße 40A-9560 Feldkirchen in Kärnten",,,,,,
Austria,,, "Wiener Straße 13A-8720 Knittelfeld",,,,,,
Austria,,, "Maria Gailerstr. 35A-9500 Villach",,,,,,
Austria,,, "Wiener Bundesstraße 151A-4050 Traun",,,,,,
Austria,,, "Bauweltstraße 3A-2405 Bad Deutsch-Altenburg",,,,,,
Austria,,, "Poststraße 1AA-4511 Allhaming",,,,,,
Austria,,, "Ecke Liebermannstraße / FeldstraßeA-2345 Brunn/Gebirge",,,,,,
Austria,,, "Aubauerstraße 15A-4810 Gmunden",,,,,,
Austria,,, "Mariahilferstraße 22 - 24A-1070 Wien",,,,,,
Austria,,, "Favoritenstrasse 130A-1100 Wien",,,,,,
Austria,,, "Murpark, Ostbahnstraße 3A-8041 Graz-Liebenau",,,,,,
Austria,,, "Grazer Straße 121A-7400 Oberwart",,,,,,
Austria,,, "Innsbrucker Straße 17A-6600 Reutte",,,,,,
Austria,,, "Dr. Adolf Schärf-Straße 12A-3107 St. Pölten",,,,,,
Austria,,, "Eisenfeldstraße 2aA-4600 Wels",,,,,,
Austria,,, "Gesäusestraße 1A-8940 Liezen",,,,,,
Austria,,, "Wiener Straße 4A-3580 Frauenhofen",,,,,,
Austria,,, "Europastraße 10A-5400 Hallein",,,,,,
Austria,,, "Dammstraße / B8A-2232 Deutsch Wagram",,,,,,
Austria,,, "Lauzilgasse 31A-8020 Graz",,,,,,
Austria,,, "Hütteldorfer Straße 81B/4A-1150 Wien",,,,,,
