Name, Owner Country, Location Country, State, Address, Year Opened, Lat, Lng, Type
Barking Sands Missile Range Navy Base in Kekaha, USA, USA, HI, , , , , air-force; army; coast-guard; joint-operations; marine-corps; navy
Barksdale Air Force Base in Bossier City, USA, USA, LA, , , , , air-force
Barry M Goldwater Range Air Force Base in Phoenix, USA, USA, AZ, , , , , air-force
Beale Air Force Base in Marysville, USA, USA, CA, , , , , air-force
Bellows Air Force Station Base in Waimanalo, USA, USA, HI, , , , , air-force
Biggs Army Air Field at Fort Bliss in El Paso, USA, USA, TX, , , , , air-force; army; coast-guard; joint-operations; marine-corps; navy
Blount Island Command Marine Corps in Jacksonville, USA, USA, FL, , , , , air-force; army; coast-guard; joint-operations; marine-corps; navy
Blue Grass Army Depot Base in Richmond, USA, USA, KY, , , , , army
Bolling Air Force Base in Washington, USA, USA, DC, , , , , air-force
Brooks City Air Force Base in San Antonio, USA, USA, TX, , , , , air-force
Buckley Air Force Base in Aurora, USA, USA, CO, , , , , air-force
Camp Atterbury Army Base in Edinburgh, USA, USA, IN, , , , , army
Camp Beauregard Army Base in Pineville, USA, USA, LA, , , , , army
Camp Blanding Army Base in Starke, USA, USA, FL, , , , , army
Camp Bowie Army Base in Brownwood, USA, USA, TX, , , , , army
Camp Bullis Army Base in San Antonio, USA, USA, TX, , , , , army
Camp Dodge Army Base in Johnston, USA, USA, IA, , , , , army
Camp Frank D Merrill Army Base in Dahlonega, USA, USA, GA, , , , , army
Camp Haan Army Base in Riverside, USA, USA, CA, , , , , army
Camp Joseph Robinson Army Base in North Little Rock, USA, USA, AR, , , , , army
Camp Lejeune Marine Corps Base in Onslow County, USA, USA, NC, , , , , marine-corps
Camp Mabry Army Base in Austin, USA, USA, TX, , , , , army
Camp Mackall Army Base in Southern Pines, USA, USA, NC, , , , , army
Camp Murray Army Base in Tacoma, USA, USA, WA, , , , , air-force
Camp Navajo Army Base in Flagstaff, USA, USA, AZ, , , , , army
Camp Parks PRFTA Army Base in Dublin, USA, USA, CA, , , , , army
Camp Pendleton Marine Corps Base in San Diego, USA, USA, CA, , , , , marine-corps
Camp Pendleton’s Camp Talega Part of San Diego, USA, USA, CA, , , , , marine-corps
Camp Price Support Center Army Base in Granite City, USA, USA, IL, , , , , army
Camp Roberts Army Base in Monterey, USA, USA, CA, , , , , army
Camp San Luis Obispo Army Base in San Luis Obispo, USA, USA, CA, , , , , army
Camp Shelby Army Base in Hattiesburg, USA, USA, MS, , , , , army
Camp Stanley Storage Activity Army in San Antonio, USA, USA, TX, , , , , army
Camp Swift Army Base in Bastrop County, USA, USA, TX, , , , , army
Cannon Air Force Base in Curry, USA, USA, NM, , , , , air-force
Carderock Division of the Naval Surface Warfare Center, USA, USA, MD, , , , , navy
Carlisle Barracks Army Base in Carlisle, USA, USA, PA, , , , , army
Cheyenne Mountain Air Force Base Colorado Springs, USA, USA, CO, , , , , air-force
Chocolate Mountain Range Navy in Chocolate Mountain, USA, USA, CA, , , , , navy
Clear Air Force Station Base in Denali Borough, USA, USA, AK, , , , , air-force
Coast Guard Academy in New London, USA, USA, CT, , , , , coast-guard
Coast Guard Headquarters in Washington, USA, USA, DC, , , , , coast-guard
Coast Guard Institute in Oklahoma City, USA, USA, OK, , , , , coast-guard
Coast Guard Yard in Baltimore, USA, USA, MD, , , , , coast-guard
Container Inspection Training USCG Oklahoma City, USA, USA, OK, , , , , coast-guard
Corpus Christi Army Depot, USA, USA, TX, , , , , army
Creech Air Force Base in Indian Springs, USA, USA, NV, , , , , air-force
Davis Monthan Air Force Base in Tucson, USA, USA, AZ, , , , , air-force
Detroit Arsenal Army Base in Warren, USA, USA, MI, , , , , army
District 7 Coast Guard Base in Miami, USA, USA, FL, , , , , coast-guard
Dobbins Air Reserve Base in Marietta, USA, USA, GA, , , , , air-force
Dover Air Force Base in Dover, USA, USA, DE, , , , , air-force
Dugway Proving Ground Army Base in Tooele County, USA, USA, UT, , , , , army
Dyess Air Force Base in Abilene, USA, USA, TX, , , , , air-force
Edwards Air Force Base in Edwards, USA, USA, CA, , , , , air-force
Eglin Air Force Base in Valparaiso, USA, USA, FL, , , , , air-force
Eielson Air Force Base in North Pole, USA, USA, AK, , , , , air-force
Ellsworth Air Force Base in Rapid City, USA, USA, SD, , , , , air-force
Elmendorf Air Force Base in Anchorage, USA, USA, AK, , , , , air-force
Fairchild Air Force Base in Spokane, USA, USA, WA, , , , , air-force
Finance Center Coast Guard Base in Chesapeake, USA, USA, VA, , , , , coast-guard
Fort AP Hill Army Base in Bowling Green, USA, USA, VA, , , , , army
Fort Belvoir Army Base in Fairfax, USA, USA, VA, , , , , army
Fort Benning Army Base in Columbus, USA, USA, GA, , , , , army
Fort Bliss Army Base in El Paso, USA, USA, TX, , , , , army
Fort Bragg Army Base in Fayetteville, USA, USA, NC, , , , , army
Fort Campbell Army Base in Hokinsville, USA, USA, KY, , , , , army
Fort Carson Army Base in El Paso, USA, USA, CO, , , , , army
Fort Chaffee Army Base in Fort Smith, USA, USA, AR, , , , , army
Fort Derussy Army Base in Honolulu, USA, USA, HI, , , , , army
Fort Des Moines Army Base in Des Moines, USA, USA, IA, , , , , army
Fort Detrick Army Base in Frederick, USA, USA, MD, , , , , army
Fort Devens Army Base in Devens, USA, USA, MA, , , , , army
Fort Dix Army Base in Burlington, USA, USA, NJ, , , , , army
Fort Drum Army Base in Jefferson, USA, USA, NY, , , , , army
Fort Eustis Army Base in Newport News, USA, USA, VA, , , , , army
Fort Gillem Army Base in Forest Park, USA, USA, GA, , , , , army
Fort Gordon Army Base in Augusta, USA, USA, GA, , , , , army
Fort Greely Army Base in Fairbanks, USA, USA, AK, , , , , army
Fort Hamilton Army Base in Brooklyn, USA, USA, NY, , , , , army
Fort Hood Army Base in Killeen, USA, USA, TX, , , , , army
Fort Huachuca Army Base in Cochise, USA, USA, AZ, , , , , army
Fort Hunter Liggett Army Base in Monterey, USA, USA, CA, , , , , army
Fort Irwin Army Base in Barstow, USA, USA, CA, , , , , army
Fort Jackson Army Base in Columbia, USA, USA, SC, , , , , army
Fort Knox Army Base in Hardin, USA, USA, KY, , , , , army
Fort Leavenworth Army Base in Leavenworth, USA, USA, KS, , , , , army
Fort Lee Army Base in Prince George, USA, USA, VA, , , , , army
Fort Leonard Wood Army Base in Pulaski, USA, USA, MO, , , , , army
Fort Lewis Army Base in Pierce, USA, USA, WA, , , , , army
Fort McClellan Army Base (Training Center) in Anniston, USA, USA, AL, , , , , army
