NCC, Country, Company, 
00, Belgium, Proximus, 
00, Brazil, Claro-nxt/Nextel, 
00, China, China Mobile, 
00, Ecuador, Movistar, 
00, Hong Kong, SUN Mobile / CSL, 
00, Japan, SoftBank, 
00, Libya, Libyana, 
00, Macao, SmarTone, 
00, Mongolia, Skytel, 
00, Morocco, Orange, 
00, Myanmar, MPT, 
00, Nepal, UTL, 
00, Netherlands, Intovoice, 
00, Reunion, Orange, 
00, Thailand, my, 
00, United Kingdom, BT Group, 
000, Bermuda, One, 
001, Cayman Islands, Logic, 
001, Colombia, Movistar, 
001, Falkland Islands, Sure, 
001, Honduras, Claro, 
002, Colombia, Edatel, 
002, Honduras, Tigo, 
004, United States of America, Verizon Wireless, 
007, Argentina, Movistar, 
01, Afghanistan, AWCC, 
01, Albania, One / AMC, 
01, Algeria, Mobilis, 
01, Armenia, Beeline, 
01, Aruba, SETAR, 
01, Australia, Telstra, 
01, Austria, A1 Telekom, 
01, Azerbaijan, Azercell, 
01, Bahrain, Batelco, 
01, Bangladesh, GrameenPhone, 
01, Belarus, velcom A1, 
01, Belgium, Proximus, 
01, Bermuda, Digicel, 
01, Bolivia, Viva, 
01, Botswana, Mascom, 
01, Brunei, imagine, 
01, Bulgaria, A1, 
01, Burkina Faso, Telmob, 
01, Burundi, Leo, 
01, Cambodia, Cellcard, 
01, Cameroon, MTN, 
01, Cape Verde, CVMovel, 
01, Central African Republic, Moov, 
01, Chad, Airtel, 
01, Chile, Entel, 
01, China, China Unicom, 
01, Comoros, HURI, 
01, Congo, Airtel, 
01, Cook Islands, Vodafone / Bluesky, 
01, Costa Rica, Kolbi / ICE, 
01, Croatia, T-Mobile, 
01, Cuba, Cubacel, 
01, Cyprus, Cytamobile-Vodafone, 
01, Czech Republic, T-Mobile, 
01, Democratic Republic of Congo, Vodacom, 
01, Denmark, TDC, 
01, Djibouti, Evatis, 
01, Dominican Republic, Orange / Altice, 
01, East Timor, Telkomcel, 
01, Ecuador, Claro, 
01, Egypt, Orange, 
01, El Salvador, Claro, 
01, Equatorial Guinea, Orange, 
01, Eritrea, Eritel, 
01, Estonia, Telia, 
01, Ethiopia, Ethio Mobile, 
01, Faroe Islands, Faroese Telecom, 
01, Fiji, Vodafone, 
01, France, Orange, 
01, Gabon, Libertis, 
01, Gambia, Gamcel, 
01, Georgia, Geocell, 
01, Germany, T-mobile, 
01, Ghana, MTN, 
01, Gibraltar, Gibtel, 
01, Greece, Cosmote, 
01, Greenland, Tele Greenland, 
01, Guadeloupe and Martinique and French Guiana, Orange, 
01, Guatemala, Claro, 
01, Guinea, Orange, 
01, Guinea-Bissau, Guinetel, 
01, Guyana, Digicel, 
01, Honduras, Claro, 
01, Hong Kong, Citic, 
01, Hungary, Telenor, 
01, Iceland, Siminn, 
01, India, Vodafone, 
01, Indonesia, Indosat Ooredoo, 
01, Iran, SamanTel, 
01, Ireland, Vodafone, 
01, Israel, Orange, 
01, Italy, TIM, 
01, Japan, SoftBank, 
01, Jordan, Zain, 
01, Kazakhstan, Beeline, 
01, Kenya, Safaricom, 
01, Kiribati, FrigateNet, 
01, Kosovo, Vala, 
01, Kyrgyzstan, Beeline, 
01, Laos, LTC, 
01, Latvia, LMT, 
01, Lebanon, Alfa, 
01, Lesotho, Vodacom, 
01, Liberia, MTN / Lonestar, 
01, Libya, Al-Madar, 
01, Liechtenstein, FL GSM, 
01, Lithuania, Telia, 
01, Luxembourg, Post, 
01, Macao, CTM, 
01, Madagascar, Airtel, 
01, Malawi, TNM, 
01, Maldives, DhiMobile, 
01, Mali, Malitel, 
01, Malta, Epic, 
01, Mauritania, Mattel, 
01, Mauritius, my.t mobile, 
01, Mayotte, Maore Mobile, 
01, Mexico, Nextel, 
01, Micronesia, FSMTCeLL, 
01, Moldova, Orange, 
01, Monaco, Monaco Telecom, 
01, Montenegro, Telenor, 
01, Morocco, IAM, 
01, Mozambique, TMCEL, 
01, Myanmar, MPT, 
01, Namibia, MTC, 
01, Nepal, Nepal Telecom, 
01, New Caledonia, Mobilis, 
01, New Zealand, Vodafone, 
01, Niger, Niger Telecoms, 
01, Niue, Telecom Niue, 
01, North Macedonia, Telekom, 
01, Norway, Telenor, 
01, Pakistan, Jazz, 
01, Palau, PalauCel, 
01, Panama, +Movil, 
01, Papua New Guinea, BeMobile Vodafone, 
01, Paraguay, VOX, 
01, Philippines, Globe, 
01, Poland, Plus, 
01, Portugal, Vodafone, 
01, Qatar, Ooredoo, 
01, Romania, Vodafone, 
01, Russia, MTS, 
01, Saint Pierre and Miquelon, Ameris, 
01, Samoa, Digicel, 
01, San Marino, Prima, 
01, Sao Tome and Principe, CSTmovel, 
01, Saudi Arabia, STC / Al Jawal, 
01, Senegal, Orange, 
01, Serbia, Telenor, 
01, Seychelles, Cable & Wireless, 
01, Sierra Leone, Orange, 
01, Singapore, SingTel, 
01, Slovakia, Orange, 
01, Solomon Islands, Breeze, 
01, Somalia, Telesom, 
01, South Africa, Vodacom, 
01, Spain, Vodafone, 
01, Sri Lanka, Mobitel, 
01, Sudan, Zain, 
01, Swaziland, Eswatini Telecom, 
01, Sweden, Telia, 
01, Switzerland, Swisscom, 
01, Syria, Syriatel, 
01, Taiwan, Far EasTone, 
01, Tajikistan, Tcell, 
01, Thailand, AIS, 
01, Togo, Togo Cellulaire / TogoCel, 
01, Tonga, U-Call, 
01, Tunisia, Orange, 
01, Turkiye, Turkcell, 
01, Turkmenistan, MTS, 
01, Tuvalu, Tuvalu Telecom, 
01, Uganda, Airtel, 
01, Ukraine, Vodafone, 
01, United Kingdom, Vectone Mobile, 
01, Uruguay, Antel Movil, 
01, Vanuatu, Smile, 
01, Vietnam, MobiFone, 
01, Wallis and Futuna, Manuia, 
01, Yemen, SabaFon, 
01, Zambia, Airtel, 
