Municipality, ISO 3166-2 code, County, Population (1 of January 2024), Area [km2], Land Area [km2], 
Oslo, 0301, Oslo, 717710, 454, 426, 
Eigersund, 1101, Rogaland, 15221, 432, 387, 
Stavanger, 1103, Rogaland, 149048, 262, 256, 
Haugesund, 1106, Rogaland, 38292, 73, 68, 
Sandnes, 1108, Rogaland, 83702, 1041, 944, 
Sokndal, 1111, Rogaland, 3347, 295, 267, 
Lund, 1112, Rogaland, 3226, 408, 354, 
Bjerkreim, 1114, Rogaland, 2892, 651, 577, 
Hå, 1119, Rogaland, 19827, 258, 248, 
Klepp, 1120, Rogaland, 20900, 113, 102, 
Time, 1121, Rogaland, 19910, 183, 171, 
Gjesdal, 1122, Rogaland, 12362, 618, 558, 
Sola, 1124, Rogaland, 28685, 69, 69, 
Randaberg, 1127, Rogaland, 11742, 25, 24, 
Strand, 1130, Rogaland, 13703, 262, 235, 
Hjelmeland, 1133, Rogaland, 2643, 1068, 948, 
Suldal, 1134, Rogaland, 3889, 1736, 1582, 
Sauda, 1135, Rogaland, 4572, 547, 508, 
Kvitsøy, 1144, Rogaland, 544, 6, 6, 
Bokn, 1145, Rogaland, 883, 47, 45, 
Tysvær, 1146, Rogaland, 11570, 425, 400, 
Karmøy, 1149, Rogaland, 43306, 230, 220, 
Utsira, 1151, Rogaland, 215, 6, 6, 
Vindafjord, 1160, Rogaland, 8938, 621, 599, 
Kristiansund, 1505, Møre og Romsdal, 24404, 87, 86, 
Molde, 1506, Møre og Romsdal, 32816, 1503, 1435, 
Ålesund, 1508, Møre og Romsdal, 58509, 371, 353, 
Vanylven, 1511, Møre og Romsdal, 3026, 385, 365, 
Sande, 1514, Møre og Romsdal, 2438, 93, 90, 
Herøy, 1515, Møre og Romsdal, 8968, 120, 118, 
Ulstein, 1516, Møre og Romsdal, 8861, 97, 95, 
Hareid, 1517, Møre og Romsdal, 5322, 82, 77, 
Ørsta, 1520, Møre og Romsdal, 10958, 662, 650, 
Stranda, 1525, Møre og Romsdal, 4348, 866, 845, 
Sykkylven, 1528, Møre og Romsdal, 7617, 338, 329, 
Sula, 1531, Møre og Romsdal, 9720, 59, 57, 
Giske, 1532, Møre og Romsdal, 8691, 41, 40, 
Vestnes, 1535, Møre og Romsdal, 7147, 405, 399, 
Rauma, 1539, Møre og Romsdal, 7299, 1449, 1390, 
