Country, Address, Operator, Holders, Power [MW], Type, Model, Start Year, Lat, Long
Spain, "Almaraz, Cáceres (Apdo Correos 74, 10300 Navalmoral de la Mata)", Centrales Nucleares Almaraz-Trillo AIE. (CNAT), Iberdrola Generación Nuclear S.A. (52.7%); ENDESA Generación S.A. (36.0%); Naturgy Energy Group S.A. (11.3%), 1049.4, PWR, , 1983, 39.80806, -5.69694
Spain, "Almaraz, Cáceres (Apdo Correos 74, 10300 Navalmoral de la Mata)", Centrales Nucleares Almaraz-Trillo AIE. (CNAT), Iberdrola Generación Nuclear S.A. (52.7%); ENDESA Generación S.A. (36.0%); Naturgy Energy Group S.A. (11.3%), 1044.5, PWR, , 1984, 39.80806, -5.69694
Spain, "Ascó, Tarragona", Asociación Nuclear Ascó-Vandellós II AIE. (ANAV), Endesa Generación S.A. (100%), 1032.5, PWR, , 1984, 41.2, 0.62
Spain, "Ascó, Tarragona", Asociación Nuclear Ascó-Vandellós II AIE. (ANAV), Endesa Generación S.A. (85%); Iberdrola Generación Nuclear S.A. (15%), 1027.21, PWR, , 1986, 41.2, 0.62
Spain, "Cofrentes, Valencia", Iberdrola Generación Nuclear S.A., Iberdrola Generación Nuclear S.A. (100%), 1092.02, BWR, , 1985, 39.2134, -1.0509
Spain, "Vandellòs i l’Hospitalet de l’Infant, Tarragona", Asociación Nuclear Ascó-Vandellós II AIE. (ANAV), Endesa Generación S.A. (72%); Iberdrola Generación Nuclear S.A. (28%), 1087.14, PWR, , 1988, 41.0167, 0.9333
Spain, "Trillo, Guadalajara (Apdo Correos 2, 19450 Trillo)", Centrales Nucleares Almaraz-Trillo AIE. (CNAT), Iberdrola Generación Nuclear S.A. (49%); Naturgy Energy Group S.A. (34.5%); EDP HC Energía S.A. (15.5%); Endesa Generación S.A. (1%), 1066, PWR, , 1988, 40.6, -2.9
France, "Belleville-sur-Loire, Cher", EDF, , 1310, , , , 47.5103, 2.875
France, "Belleville-sur-Loire, Cher", EDF, , 1310, , , , 47.5103, 2.875
France, "Braud-et-Saint-Louis, Gironde", EDF, , 910, , , , 45.036, -0.657
France, "Braud-et-Saint-Louis, Gironde", EDF, , 910, , , , 45.036, -0.657
France, "Braud-et-Saint-Louis, Gironde", EDF, , 910, , , , 45.036, -0.657
France, "Braud-et-Saint-Louis, Gironde", EDF, , 910, , , , 45.036, -0.657
France, "Cattenom, Moselle", EDF, , 1300, , , , 49.416, 6.2169
France, "Cattenom, Moselle", EDF, , 1300, , , , 49.416, 6.2169
France, "Cattenom, Moselle", EDF, , 1300, , , , 49.416, 6.2169
France, "Cattenom, Moselle", EDF, , 1300, , , , 49.416, 6.2169
France, "Avoine, Indre-et-Loire", EDF, , 950, , , , 47.15, 0.235
France, "Avoine, Indre-et-Loire", EDF, , 950, , , , 47.15, 0.235
France, "Avoine, Indre-et-Loire", EDF, , 950, , , , 47.15, 0.235
France, "Avoine, Indre-et-Loire", EDF, , 950, , , , 47.15, 0.235
France, "Chooz, Ardennes", EDF, , 1500, , , , 49.741, 4.723
France, "Chooz, Ardennes", EDF, , 1500, , , , 49.741, 4.723
France, "Civaux, Vienne", EDF, , 1450, , , , 46.31, 0.191
France, "Civaux, Vienne", EDF, , 1450, , , , 46.31, 0.191
France, "Dampierre-en-Burly, Loiret", EDF, , 890, , , , 47.735, 2.514
France, "Dampierre-en-Burly, Loiret", EDF, , 890, , , , 47.735, 2.514
France, "Dampierre-en-Burly, Loiret", EDF, , 890, , , , 47.735, 2.514
France, "Dampierre-en-Burly, Loiret", EDF, , 890, , , , 47.735, 2.514
France, "Gravelines, Nord", EDF, , 910, , , , 51.053, 2.124
France, "Gravelines, Nord", EDF, , 910, , , , 51.053, 2.124
France, "Gravelines, Nord", EDF, , 910, , , , 51.053, 2.124
France, "Gravelines, Nord", EDF, , 910, , , , 51.053, 2.124
France, "Gravelines, Nord", EDF, , 910, , , , 51.053, 2.124
France, "Gravelines, Nord", EDF, , 910, , , , 51.053, 2.124
France, "Golfech, Tarn-et-Garonne", EDF, , 1310, , , , 44.107, 0.845
France, "Golfech, Tarn-et-Garonne", EDF, , 1310, , , , 44.107, 0.845
France, "Nogent-sur-Seine, Aube", EDF, , 1310, , , , 48.451, 3.582
France, "Nogent-sur-Seine, Aube", EDF, , 1310, , , , 48.451, 3.582
France, "Cany-Barville, Seine-Maritime", EDF, , 1330, , , , 49.816, 0.53
France, "Cany-Barville, Seine-Maritime", EDF, , 1330, , , , 49.816, 0.53
France, "Cany-Barville, Seine-Maritime", EDF, , 1330, , , , 49.816, 0.53
France, "Cany-Barville, Seine-Maritime", EDF, , 1330, , , , 49.816, 0.53
France, "Neuville-lez-Dieppe, Seine-Maritime", EDF, , 1330, , , , 49.889, 1.126
France, "Neuville-lez-Dieppe, Seine-Maritime", EDF, , 1330, , , , 49.889, 1.126
France, "Saint-Alban-du-Rhône, Isère", EDF, , 1335, , , , 45.24, 4.886
France, "Saint-Alban-du-Rhône, Isère", EDF, , 1335, , , , 45.24, 4.886
France, "Saint-Laurent-des-Eaux, Loir-et-Cher", EDF, , 900, , , , 47.563, 1.66
France, "Saint-Laurent-des-Eaux, Loir-et-Cher", EDF, , 900, , , , 47.563, 1.66
France, "Saint-Paul-Trois-Châteaux, Drôme", EDF, , 915, , , , 44.18, 4.754
France, "Saint-Paul-Trois-Châteaux, Drôme", EDF, , 915, , , , 44.18, 4.754
France, "Saint-Paul-Trois-Châteaux, Drôme", EDF, , 915, , , , 44.18, 4.754
France, "Saint-Paul-Trois-Châteaux, Drôme", EDF, , 915, , , , 44.18, 4.754
France, "Saint-Vulbas, Ain", EDF, , 910, , , , 45.87, 5.176
France, "Saint-Vulbas, Ain", EDF, , 910, , , , 45.87, 5.176
Finland, "Loviisa NPP, Uusimaa", Fortum Power and Heat Oy, , ~507, PWR, VVER-440/V-213 (PWR), 1977, 60.459, 26.267
Finland, "Loviisa NPP, Uusimaa", Fortum Power and Heat Oy, , ~507, PWR, VVER-440/V-213 (PWR), 1980, 60.459, 26.267
Finland, "Olkiluoto NPP, Eurajoki", Teollisuuden Voima Oyj (TVO), , ~890, BWR, ASEA-III; BWR-2500, 1978, 61.233, 21.483
Finland, "Olkiluoto NPP, Eurajoki", Teollisuuden Voima Oyj (TVO), , ~890, BWR, ASEA-III; BWR-2500, 1980, 61.233, 21.483
Finland, "Olkiluoto NPP, Eurajoki", Teollisuuden Voima Oyj (TVO), , ~1 600, PWR, EPR, 2023, 61.233, 21.483
Slovakia, "Jaslovské Bohunice NPP", Slovenské Elektrárne (SE), , ~472/505, , , 1984, 48.496, 17.693
