Country, Since Date, Application Date, Negotiations Date, Invitation Date
Australia, 7 June 1971, , , 
Austria, 29 September 1961, , , 
Belgium, 13 September 1961, , , 
Canada, 10 April 1961, , , 
Chile, 7 May 2010, November 2003, 16 May 2007, 15 December 2009
Colombia, 28 April 2020, 24 January 2011, 30 May 2013, 25 May 2018
Costa Rica, 25 May 2021, 9 April 2015, , 15 May 2020
Czech Republic, 21 December 1995, January 1994, 8 June 1994, 24 November 1995
Denmark, 30 May 1961, , , 
Estonia, 9 December 2010, , 16 May 2007, 10 May 2010
Finland, 28 January 1969, , , 
France, 7 August 1961, , , 
Germany, 27 September 1961, , , 
Greece, 27 September 1961, , , 
Hungary, 7 May 1996, December 1993, 8 June 1994, 
Iceland, 5 June 1961, , , 
Ireland, 17 August 1961, , , 
Israel, 7 September 2010, 15 March 2004, 16 May 2007, 10 May 2010
Italy, 29 March 1962, , , 
Japan, 28 April 1964, November 1962, , July 1963
Latvia, 1 July 2016, , 29 May 2013, 11 May 2016
Lithuania, 5 July 2018, , 9 April 2015, 31 May 2018
Luxembourg, 7 December 1961, , , 
Mexico, 18 May 1994, , , 14 April 1994
Netherlands, 13 November 1961, , , 
New Zealand, 29 May 1973, , , 
Norway, 4 July 1961, , , 
Poland, 22 November 1996, 1 February 1994, 8 June 1994, 11 July 1996
Portugal, 4 August 1961, , , 
Slovakia, 14 December 2000, February 1994, 8 June 1994, July 2000
Slovenia, 21 July 2010, March 1996, 16 May 2007, 10 May 2010
South Korea, 12 December 1996, 29 March 1995, , 25 October 1996
Spain, 3 August 1961, , , 
Sweden, 28 September 1961, , , 
Switzerland, 28 September 1961, , , 
Turkey, 2 August 1961, , , 
United Kingdom, 2 May 1961, , , 
United States, 12 April 1961, , , 
