Line, From, To, Stops, Ride time [min], 
101, Port d'Andratx ,  Palma, Port d'Andratx > Ma-1 > Andratx > Camp de Mar > Palma, , 
102, Peguera ,  Palma, Palma > Galatzó > Peguera, 80, 
103, Santa Ponça ,  Palma, Palma > Santa Ponça > Costa de la Calma > Galatzó, , 
104, Magaluf ,  Palma, Magaluf > Palmanova > Son Caliu > Costa d'en Blanes - Portals Nous > Palma, , 
105, Sol de Mallorca ,  Palma, Palma > Costa d'en Blanes - Portals Nous > Son Caliu > Palmanova > Magaluf > Cala Vinyes > Sol de Mallorca, , 
106, El Toro ,  Palma, Nova Santa Ponça > Santa Ponça > El Toro > Son Ferrer > Sa Porrassa > Palmanova > Son Caliu > Costa d'en Blanes - Portals Nous > Palma, 65, 
107, Es Capdellà ,  Palma, Es Capdellà > Calvià > Ma-1015 > Ma-1014 > Son Bugadelles > Galatzó > Santa Ponça > Costa de la Calma > Palmanova > Son Caliu > Costa d'en Blanes - Portals Nous > Palma, , 
108, Son Caliu ,  Palma, Son Caliu > Costa d'en Blanes - Portals Nous > Portals Nous > Bendinat > Cas Català > Sant Agustí > Cala Major > Palma, , 
121, Sant Elm ,  Andratx, Sant Elm > Ma-1030 > S'Arracó > Andratx > Ma-1 > Port d'Andratx, , 
122, Port d'Andratx ,  Santa Ponça, Port d'Andratx > Ma-1 > Andratx > Camp de Mar > Peguera > Galatzó > Santa Ponça > Costa de la Calma, , 
123, Santa Ponça ,  Cas Català, Santa Ponça > Nova Santa Ponça > El Toro > Son Ferrer > Sa Porrassa > Magaluf > Palmanova > Son Caliu > Costa d'en Blanes - Portals Nous > Portals Nous > Bendinat > Cas Català > Illetes, , 
131, Santa Ponça ,  Banyalbufar, Santa Ponça > Galatzó > Peguera > Camp de Mar > Andratx > Estellencs > Ma-10 - Estellencs > Ma-10 - Banyalbufar > Banyalbufar > Esporles, , 
201, Galilea ,  Palma, Galilea > Ma-1032 > Puigpunyent > Son Serralta > Palma, , 
202, Estellencs ,  Palma, Palma > S'Esgleieta > Ses Rogetes de Canet > Ma-1120 > Esporles > Ma-10 Banyalbufar > Banyalbufar > Ma-10 Estellencs > Estellencs, , 
203, Valldemossa / Deià, , Palma > S'Esgleieta > Son Maixella > Valldemossa > Ma-10 Valldemossa > Ma-10 Deià > Deià > S'Empeltada > Llucalcari > Ma-10 Sóller > Sóller > Port de Sóller Valldemossa / Deià, , 
204, Port de Sóller ,  Palma, Port de Sóller > Sóller > Ma-11 > Palmanyola > Son Sardina > Palma, , 
205, Bunyola ,  Palma, Palma > Son Sardina > Palmanyola > Ma-11 > Bunyola > Pla de sa Coma, , 
