Mercury; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Venus; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Earth; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Mars; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Jupiter; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Saturn; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Uranus; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Neptune; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
16 Cygni Bb; Planet; ; 2.38; ; 799.5; 1.66; ; radial vel.; 1996; 68.99; 1.04; 5750; ; 
23 Librae b; Planet; ; 1.61; ; 258.18; 0.81; ; radial vel.; 1999; 85.46; 1.07; 5736; ; 
47 Ursae Majoris b; Planet; ; 2.53; ; 1078; 2.1; ; radial vel.; 1996; 45.02; 1.08; 5892; Taphao; 
51 Pegasi b; Planet; ; 0.46; ; 4.230785; 0.0527; ; radial vel.; 1995; 50.45; 1.12; 5793; Dimidium,; 
55 Cancri b; Planet; ; 0.8306; ; 14.65152; 0.115227; 700; radial vel.; 1996; 41.06; 0.905; 5196; Galileo; 
70 Virginis b; Planet; ; 7.49; ; 116.688; 0.481; ; radial vel.; 1996; 58.42; 1.09; 5495; ; 
109 Piscium b; Planet; ; 6.383; ; 1075.69; 2.14; ; radial vel.; 1999; 108.1; 1.11; 5600; ; 
Gamma Cephei Ab; Planet; ; 1.85; ; 903.3; 2.05; ; radial vel.; 1988; 44.16; 1.4; 4744; Tadmor; 
Gliese 86 b; Planet; ; 4.42; ; 15.76491; 0.11; ; radial vel.; 1999; 35.18; 0.83; 5182; ; 
Gliese 876 b; Planet; ; 2.2756; ; 61.1166; 0.208317; ; radial vel.; 1998; 15.25; 0.32; 3129; ; 
HD 75289 b; Planet; ; 0.49; ; 3.50927; 0.05; 1260; radial vel.; 1999; 95.05; 1.29; 6117; ; 
HD 89744 b; Planet; ; 8.35; ; 256.78; 0.917; ; radial vel.; 1999; 126.2; 1.86; 6291; ; 
HD 130322 b; Planet; ; 1.15; ; 10.70871; 0.0925; 720; radial vel.; 1999; 104.1; 0.92; 5387; Eiger; 
HD 168443 b; Planet; ; 7.659; ; 58.11247; 0.2931; ; radial vel.; 1998; 129.4; 0.995; 5491; ; 
HD 177830 b; Planet; ; 1.69; ; 410.1; 1.14; ; radial vel.; 1999; 205.1; 1.7; 4901; ; 
HD 187123 b; Planet; ; 0.523; ; 3.0965828; 0.0426; ; radial vel.; 1998; 150.1; 1; 5830; ; 
HD 192263 b; Planet; ; 0.56; ; 24.3556; 0.15; 486; radial vel.; 1999; 64.08; 0.66; 4976; Beirut; 
HD 195019 b; Planet; ; 3.98; ; 18.20132; 0.14; ; radial vel.; 1998; 123; 1.21; 5751; ; 
HD 209458 b; Planet; ; 0.73; 1.39; 3.52474859; 0.04707; 1459; radial vel.; 1999; 157.8; 1.23; 6091; ; 
HD 210277 b; Planet; ; 1.29; ; 442.19; 1.13; ; radial vel.; 1998; 69.51; 1.01; 5538; ; 
HD 217107 b; Planet; ; 1.3; ; 7.12682; 0.08; ; radial vel.; 1998; 65.47; 1; 5622; ; 
HD 222582 b; Planet; ; 8.37; ; 572.38; 1.34; ; radial vel.; 1999; 137.7; 1.12; 5790; ; 
Iota Horologii b; Planet; ; 2.27; ; 302.8; 0.92; ; radial vel.; 1999; 56.51; 1.25; 6167; ; 
PSR B1257+12 b; Planet; ; 0.000063; ; 25.262; 0.19; ; timing; 1994; ~2000; 1.4; ; Draugr.; 
PSR B1257+12 c; Planet; ; 0.014; ; 66.5419; 0.36; ; timing; 1992; ~2000; 1.4; ; Poltergeist; 
PSR B1257+12 d; Planet; ; 0.012; ; 98.2114; 0.46; ; timing; 1992; ~2000; 1.4; ; Phobetor; 
PSR B1620-26 b; Planet; ; 2.5; ; ; 23; ; timing; 1993; 12400; 1.35; ; ; 
Rho Coronae Borealis b; Planet; ; 1.045; ; 39.8458; 0.2196; 614; radial vel.; 1997; 57; 0.889; 5627; ; 
Tau Boötis b; Planet; ; 5.95; ; 3.3124568; 0.049; ; radial vel.; 1996; 51.07; 1.34; 6400; ; 
Upsilon Andromedae b; Planet; ; 0.6876; ; 4.617033; 0.059222; ; radial vel.; 1996; 43.74; 1.3; 6183; Saffar; 
Upsilon Andromedae c; Planet; ; 1.981; ; 241.258; 0.827774; ; radial vel.; 1999; 43.74; 1.3; 6183; Samh; 
Upsilon Andromedae d; Planet; ; 4.132; ; 1276.46; 2.51329; ; radial vel.; 1999; 43.74; 1.3; 6183; Majriti; 
1RXS J160929.1-210524 b; Planet; ; 8; 1.664; ; 330; 1700; imaging; 2008; 472.94; 0.85; 4060; ; 
2M1207b; Planet; ; 4; ; ; 46; 1150; imaging; 2004; 210.12; 0.02; ; ; 
2MASS J2126-8140; Planet; ; 13.3±1.7; ; ; 6900; 1800; imaging; 2009; 111.4±0.3; 0.53; 3490; ; 
2MASS J21402931+1625183 b; Planet; ; 20.95; 0.92; 7336.5; ; 2075; imaging; 2009; 81.54; 0.08; 2300; ; 
4 Ursae Majoris b; Planet; ; 7.1; ; 269.3; 0.87; ; radial vel.; 2006; 239.99; 1.23; 4415; ; 
6 Lyncis b; Planet; ; 2.01; ; 934.3; 2.11; ; radial vel.; 2008; 178.54; 1.44; 4938; ; 
