name,id,imageurl,xdescription,ydescription,height,category,weight,typeofpokemon/0,typeofpokemon/1,weaknesses/0,weaknesses/1,weaknesses/2,weaknesses/3,evolutions/0,evolutions/1,evolutions/2,abilities/0,hp,attack,defense,special_attack,special_defense,speed,total,male_percentage,female_percentage,genderless,cycles,egg_groups,evolvedfrom,reason,base_exp,weaknesses/4,evolutions/3,weaknesses/5,weaknesses/6,evolutions/4,evolutions/5,evolutions/6,evolutions/7,evolutions/8
Bulbasaur,#001,https://assets.pokemon.com/assets/cms2/img/pokedex/full/001.png,"Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun's rays, the seed grows progressively larger.","Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun's rays, the seed grows progressively larger.","2' 04""",Seed,15.2 lbs,Grass,Poison,Fire,Flying,Ice,Psychic,#001,#002,#003,Overgrow,20,30,20,30,30,30,160,87.5%,12.5%,0,20 ,"Grass, Monster ",,,64,,,,,,,,,
Ivysaur,#002,https://assets.pokemon.com/assets/cms2/img/pokedex/full/002.png,"There is a bud on this Pokémon's back. To support its weight, Ivysaur's legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it's a sign that the bud will bloom into a large flower soon.","There is a bud on this Pokémon's back. To support its weight, Ivysaur's legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it's a sign that the bud will bloom into a large flower soon.","3' 03""",Seed,28.7 lbs,Grass,Poison,Fire,Flying,Ice,Psychic,#001,#002,#003,Overgrow,30,30,30,40,30,30,190,87.5%,12.5%,0,20 ,"Grass, Monster ",#001,(Level 16),142,,,,,,,,,
Venusaur,#003,https://assets.pokemon.com/assets/cms2/img/pokedex/full/003.png,There is a large flower on Venusaur's back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower's aroma soothes the emotions of people.,There is a large flower on Venusaur's back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower's aroma soothes the emotions of people.,"6' 07""",Seed,220.5 lbs,Grass,Poison,Fire,Flying,Ice,Psychic,#001,#002,#003,Overgrow,30,40,40,50,40,40,240,87.5%,12.5%,0,20 ,"Grass, Monster ",#002,(Level 32),236,,,,,,,,,
Charmander,#004,https://assets.pokemon.com/assets/cms2/img/pokedex/full/004.png,"The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely.","The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely.","2' 00""",Lizard,18.7 lbs,Fire,,Ground,Rock,Water,,#004,#005,#006,Blaze,20,30,20,30,20,40,160,87.5%,12.5%,0,20 ,"Dragon, Monster ",,,62,,,,,,,,,
Charmeleon,#005,https://assets.pokemon.com/assets/cms2/img/pokedex/full/005.png,"Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.","Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.","3' 07""",Flame,41.9 lbs,Fire,,Ground,Rock,Water,,#004,#005,#006,Blaze,30,30,30,40,30,40,200,87.5%,12.5%,0,20 ,"Dragon, Monster ",#004,(Level 16),142,,,,,,,,,
Charizard,#006,https://assets.pokemon.com/assets/cms2/img/pokedex/full/006.png,"Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.","Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.","5' 07""",Flame,199.5 lbs,Fire,Flying,Rock,Electric,Water,,#004,#005,#006,Blaze,30,40,30,50,40,50,240,87.5%,12.5%,0,20 ,"Dragon, Monster ",#005,(Level 36),240,,,,,,,,,
Squirtle,#007,https://assets.pokemon.com/assets/cms2/img/pokedex/full/007.png,"Squirtle's shell is not merely used for protection. The shell's rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds.","Squirtle's shell is not merely used for protection. The shell's rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds.","1' 08""",Tiny Turtle,19.8 lbs,Water,,Electric,Grass,,,#007,#008,#009,Torrent,20,30,30,20,30,20,150,87.5%,12.5%,0,20 ,"Monster, Water 1 ",,,63,,,,,,,,,
Wartortle,#008,https://assets.pokemon.com/assets/cms2/img/pokedex/full/008.png,"Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon's toughness as a battler.","Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon's toughness as a battler.","3' 03""",Turtle,49.6 lbs,Water,,Electric,Grass,,,#007,#008,#009,Torrent,30,30,40,30,30,30,190,87.5%,12.5%,0,20 ,"Monster, Water 1 ",#007,(Level 16),142,,,,,,,,,
Blastoise,#009,https://assets.pokemon.com/assets/cms2/img/pokedex/full/009.png,Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.,Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.,"5' 03""",Shellfish,188.5 lbs,Water,,Electric,Grass,,,#007,#008,#009,Torrent,30,40,40,40,40,40,230,87.5%,12.5%,0,20 ,"Monster, Water 1 ",#008,(Level 36),239,,,,,,,,,
Caterpie,#010,https://assets.pokemon.com/assets/cms2/img/pokedex/full/010.png,"Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokémon releases a terrifically strong odor.","Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokémon releases a terrifically strong odor.","1' 00""",Worm,6.4 lbs,Bug,,Fire,Flying,Rock,,#010,#011,#012,Shield Dust,20,20,20,10,10,30,110,50%,50%,0,15 ,Bug ,,,39,,,,,,,,,
