Province (Voivodeship), Capital, ISO 3166-2, Area [km2], # Sub-districts (Powiats), Population 2021, Population 2023
Lower Silesian (Dolnośląskie), Wrocław, PL-02, 19947, 30, 2900163, 2876627
Kuyavian-Pomeranian (Kujawsko-Pomorskie), Bydgoszcz / Toruń, PL-04, 17972, 23, 2061942, 2028170
Lublin (Lubelskie), Lublin, PL-06, 25122, 24, 2088950, 2035000
Lubusz (Lubuskie), Gorzów Wielkopolski / Zielona Góra, PL-08, 13988, 14, 1004766, 982626
Łódź (Łódzkie), Łódź, PL-10, 18219, 24, 2426193, 2359800
Lesser Poland (Małopolskie), Kraków, PL-12, 15183, 22, 3432333, 3445578
Masovian (Mazowieckie), Warsaw, PL-14, 35559, 42, 5512794, 5587200
Opole (Opolskie), Opole, PL-16, 9412, 12, 948756, 930000
Subcarpathian (Podkarpackie), Rzeszów, PL-18, 17846, 25, 2121229, 2049900
Podlaskie, Białystok, PL-20, 20187, 17, 1172286, 1143000
Pomeranian (Pomorskie), Gdańsk, PL-22, 18310, 20, 2358970, 2402700
Silesian (Śląskie), Katowice, PL-24, 12333, 36, 4492330, 4369900
Świętokrzyskie, Kielce, PL-26, 11711, 14, 1186824, 1150000
Warmian-Masurian (Warmińsko-Mazurskie), Olsztyn, PL-28, 24174, 21, 1416495, 1368000
Greater Poland (Wielkopolskie), Poznań, PL-30, 29826, 35, 3496450, 3525700
West Pomeranian (Zachodniopomorskie), Szczecin, PL-32, 22893, 21, 1682003, 1639000
