Spanish Socialist Workers' Party, PSOE, Spain, 1879-05-02, —, Social democracy/ democratic socialism/ progressivism, Centre-left, Active
People's Party, PP, Spain, 1989-01-20, —, Liberal conservatism/ Christian democracy/ economic liberalism, Centre-right, Active
Vox, VOX, Spain, 2013-12-17, —, Spanish nationalism/ national conservatism/ social conservatism, Right-wing / Far-right, Active
Sumar, Sumar, Spain, 2023-06-02, —, Democratic socialism/ progressivism/ feminism/ green politics, Left-wing, Active
Podemos, Podemos, Spain, 2014-03-11, —, Democratic socialism/ populism/ feminism/ anti-austerity, Left-wing, Active
Republican Left of Catalonia, ERC, Spain, 1931-03-19, —, Catalan independence/ republicanism/ social democracy, Centre-left / Left-wing, Active
Together for Catalonia, Junts, Spain, 2020-07-03, —, Catalan independence/ liberalism/ nationalism, Centre-right / Centre, Active
Basque Nationalist Party, PNV / EAJ, Spain, 1895-07-31, —, Basque nationalism/ Christian democracy/ social liberalism, Centre / Centre-right, Active
EH Bildu, EH Bildu, Spain, 2012-06-10, —, Basque nationalism/ democratic socialism/ left-wing nationalism, Left-wing, Active
Galician Nationalist Bloc, BNG, Spain, 1982-09-26, —, Galician nationalism/ socialism/ social democracy, Left-wing, Active
Republican Left of Catalonia–Catalonia Yes, ERC, Spain, 1931-03-19, —, Catalan republicanism/ independence/ social democracy, Centre-left, Active
Popular Unity Candidacy, CUP, Spain, 1986, —, Catalan independence/ anti-capitalism/ socialism/ feminism, Far-left, Active
Basque Country Gather, EA, Spain, 1986-09-04, —, Basque nationalism/ social democracy/ independence, Centre-left, Active
Navarrese People's Union, UPN, Spain, 1979-01-03, —, Navarrese regionalism/ conservatism/ Spanish unionism, Centre-right, Active
Canary Coalition, CC, Spain, 1993-02-15, —, Canarian nationalism/ regionalism/ conservatism, Centre / Centre-right, Active
New Canaries, NC, Spain, 2005-02-04, —, Canarian nationalism/ social democracy/ regionalism, Centre-left, Active
Compromís, Compromís, Spain, 2010-01-09, —, Valencian nationalism/ progressivism/ green politics/ social democracy, Left-wing / Centre-left, Active
Valencian Nationalist Bloc, BLOC, Spain, 1998-09-28, 2021-06-13, Valencian nationalism/ social democracy/ progressivism, Centre-left, Dissolved / absorbed into Més-Compromís
More Country, Más País, Spain, 2019-09-25, 2023-06-07, Green politics/ progressivism/ social democracy, Centre-left / Left-wing, Dissolved / integrated into Sumar
Citizens, Cs, Spain, 2006-07-09, —, Liberalism/ Spanish nationalism/ social liberalism, Centre / Centre-right, Active/ marginal
Union/ Progress and Democracy, UPyD, Spain, 2007-09-26, —, Social liberalism/ Spanish civic nationalism/ centralism, Centre, Active/ marginal
Animalist Party With the Environment, PACMA, Spain, 2003-01-22, —, Animal rights/ environmentalism/ progressivism, Left / Green, Active
Cantabrian Regionalist Party, PRC, Spain, 1978-11-10, —, Cantabrian regionalism/ social democracy, Centre-left / Centre, Active
Aragonese Party, PAR, Spain, 1978-12-07, —, Aragonese regionalism/ centrism/ social liberalism, Centre, Active
Chunta Aragonesista, CHA, Spain, 1986-06-29, —, Aragonese nationalism/ social democracy/ environmentalism, Left / Centre-left, Active
Teruel Existe, TE, Spain, 2020-02-10, —, Regionalism/ ruralism/ decentralisation, Centre, Active
Asturian Forum, Foro, Spain, 2011-01-18, —, Asturian regionalism/ conservatism/ regional development, Centre-right, Active
Asturian Left, IAS, Spain, 2011, —, Asturian nationalism/ socialism, Left-wing, Active
Més per Mallorca, MÉS, Spain, 2010-12-04, —, Mallorcan nationalism/ ecosocialism/ progressivism, Left-wing, Active
Més per Menorca, Més, Spain, 2014-12-20, —, Menorcan regionalism/ ecosocialism/ progressivism, Left-wing, Active
Geroa Bai, Geroa Bai, Spain, 2011-01-29, —, Basque/Navarrese nationalism/ progressivism/ social democracy, Centre-left, Active
Socialists of Galicia, PSdeG, Spain, 1977-05-26, —, Social democracy, Centre-left, Active
People's Party of Navarre, PPN, Spain, 2008-03-08, —, Conservatism/ Spanish nationalism/ Christian democracy, Centre-right, Active
Valencian People's Party, PPCV, Spain, 1989, —, Conservatism/ Christian democracy/ Spanish regionalism, Centre-right, Active
Democratic Convergence of Catalonia, CDC, Spain, 1974-11-17, 2016-07-08, Catalan nationalism/ liberalism/ Christian democracy, Centre / Centre-right, Dissolved
Democratic Union of Catalonia, UDC, Spain, 1931-11-07, 2017-03-24, Catalan nationalism/ Christian democracy, Centre-right, Dissolved
Convergence and Union, CiU, Spain, 1978-09-02, 2015-06-17, Catalan nationalism/ liberalism/ Christian democracy, Centre-right, Dissolved
Basque Solidarity, EA, Spain, 1986-09-04, —, Basque nationalism/ social democracy, Centre-left, Active
Eusko Alkartasuna, EA, Spain, 1986-09-04, —, Basque nationalism/ social democracy, Centre-left, Active
Herri Batasuna, HB, Spain, 1978-10-27, 2001-06-23, Basque nationalism/ socialism, Left-wing, Dissolved
Batasuna, Batasuna, Spain, 2001-06-23, 2003-03-02, Basque nationalism/ socialism, Left-wing / Separatist, Dissolved / outlawed
Communist Party of Spain, PCE, Spain, 1921-11-14, —, Communism/ Marxism/ democratic socialism, Far-left, Active
United Left, IU, Spain, 1986-04-29, —, Democratic socialism/ communism/ ecosocialism, Left-wing, Active
Spanish Communist Workers' Party, PCOE, Spain, 1973-07-13, —, Marxism-Leninism/ communism, Far-left, Active
Spanish Falange, FE-JONS, Spain, 1976, —, Falangism/ Spanish nationalism/ national syndicalism, Far-right, Active
Spanish Falange of the JONS, FE de las JONS, Spain, 1976, —, Falangism/ national syndicalism/ Spanish nationalism, Far-right, Active
Spanish National Front, Frente Nacional, Spain, 1986, 1993, Spanish nationalism/ neo-fascism, Far-right, Dissolved
Democratic Social Centre, CDS, Spain, 1982-07-29, 2005-11-18, Liberalism/ centrism/ social liberalism, Centre, Dissolved
Union of the Democratic Centre, UCD, Spain, 1977-05-03, 1983-02-18, Liberalism/ Christian democracy/ social democracy, Centre, Dissolved
Spanish Workers' Communist Party, PCOE, Spain, 1973-07-13, —, Communism/ Marxism-Leninism, Far-left, Active
Communist Party of the Peoples of Spain, PCPE, Spain, 1984-01-13, —, Marxism-Leninism/ communism, Far-left, Active
Spanish Socialist Workers' Party (historical), PSOE, Spain, 1879-05-02, —, Socialism/ social democracy, Centre-left, ActiveParty Name, Abbreviation, Country, Founded, Dissolved, Ideology, Political Position, Status
African Party for the Independence of Cabo Verde, PAICV, Cabo Verde, 1981, —, Social democracy/ Democratic socialism, Centre-left to left-wing, Active
Movement for Democracy, MpD, Cabo Verde, 1990, —, Liberalism/ Christian democracy, Centre to centre-right, Active
Democratic and Independent Cape Verdean Union, UCID, Cabo Verde, 1975, —, Conservatism/ Christian democracy, Centre-right to right-wing, Active
Democratic Convergence Party, PCD, Cabo Verde, 1994, —, Democratic pluralism, Centre, Active
Labour and Solidarity Party, PTS, Cabo Verde, 1998, —, Social democracy, Left-wing, Active
Colombian Liberal Party, PLC, Colombia, 1848, —, Liberalism/ Social democracy, Centre to centre-left, Active
Colombian Conservative Party, PCC, Colombia, 1849, —, Conservatism/ Christian democracy, Centre-right to right-wing, Active
National Popular Alliance, ANAPO, Colombia, 1961, 1998, Populism/ Nationalism, Syncretic, Dissolved
Patriotic Union, UP, Colombia, 1985, —, Socialism/ Left-wing nationalism, Left-wing, Active
Democratic Alliance M-19, AD M-19, Colombia, 1990, 2000, Social democracy/ Progressivism, Centre-left, Dissolved
Radical Change, CR, Colombia, 1998, —, Conservative liberalism, Centre-right to right-wing, Active
Alternative Democratic Pole, PDA, Colombia, 2005, —, Democratic socialism/ Progressivism, Left-wing, Active
Green Alliance, AV, Colombia, 2009, —, Green politics/ Progressivism, Centre-left, Active
Democratic Center, CD, Colombia, 2013, —, Uribism/ Right-wing populism, Right-wing to far-right, Active
