Pontif number, Papal Name, Personal name, Place of birth, Country of Birth, BirthDate, Conclave Start, Elected, Installed, End of Reign, Length, Religious order, Notes, 
1, Peter, Simon Peter, Simeon Kephas, Simon The Rock, Bethsaida, Galilea, , 1, , 39, , 64, 25, , , 
2, Linus, Linus, Tuscia, Italy, 10, , 68, , 79, 11, , , 
3, Cletus, Anacletus, Probably Greece, Greece, 25, , 80, , 92, 12, , , 
4, Clement I, Clement, Rome, Italy, 35, , 92, , 99, 7, , , 
5, Evaristus, Aristus, Bethlehem, Judea, Palestina, , , 99, , 108, 9, , , 
6, Alexander I, Alexander, Rome, Italy, , , 108, , 116, 8, , , 
7, Sixtus I, , Rome, Italy, , , 117, , 126, 9, , , 
8, Telesphorus, , Terranova da Sibari, Calabria, Italy, , , 127, , 137, 10, , , 
9, Hyginus, , , Greece, , , 138, , 142, 4, , , 
10, Pius I, , Aquileia, Friuli, Italy, , , 142, , 157, 15, , , 
11, Anicletus I, , Emesa, Syria, , , 150, , 153, 3, , , 
12, Soter, , Fondi, Latium, Italy, , , 162, , 170, 8, , , 
13, Eleutherius, , Nicopoli, Epyrus, Greece, , , 171, , 185, 14, , , 
14, Victor I, , Northern Africa, , , , 186, , 197, 11, , , 
15, Zephyrinus, , Rome, Italy, , , 198, , 217, 19, , , 
16, Callistus, , , Spain, , , 218, , 222, 4, , , 
17, Urban I, , Rome, Italy, , , 222, , 230, 8, , , 
18, Pontian, , Rome, Italy, , , 21 Jul 0230, , Oct 235, 5.1, , , 
19, Anterus, , , Greece, , , 21 Nov 0235, , 3 Jan 0236, 0.1, , , 
20, Fabian, , Rome, Italy, , , 236, , 20 Jan 0250, 14, , , 
21, Cornelius, , , , , , 6 Mar 0251, , Jun 253, 2.2, , , 
22, Lucius I, , Rome, Italy, , , Jun 253, , 5 Mar 0254, 0.7, , , 
23, Stephen I, , Rome, Italy, , , 12/03/0254, , 02/08/0257, 3.3, , , 
24, Sixtus II, , , Greece, , , 31/08/0257, , 06/08/0258, 0.9, , , 
25, Dionysius, , , Greece, , , 22/07/0259, , 26/12/0268, 9.4, , , 
26, Felix I, , Rome, Italy, , , 05/01/0269, , 30/12/0274, 5.9, , , 
27, Eutychian, , , , , , 04/01/0275, , 07/12/0283, 8.9, , , 
28, Gaius, , , , , , 17/12/0283, , 22/04/0296, 12.3, , , 
29, Marcellinus, , , , , , 30/06/0296, , 25/10/0304, 8.3, , , 
30, Marcellus I, , , , 06/01/0255, , 27/05/0308, , 16/01/0309, 0.6, , , 
31, Eusebius, , , , , , 18/04/0310, , 17/08/0310, 0.3, , , 
32, Miltiades, , Africa, , , , 02/07/0311, , 10/01/0314, 2.5, , , 
33, Sylvester I, , Sant'Angelo a Scala, Avellino, , , , 31/01/0314, , 31/12/0335, 21.9, , , 
34, Mark, , Rome, Italy, , , 18/01/0336, , 07/10/0336, 0.7, , , 
35, Julius I, , Rome, Italy, , , 06/02/0337, , 12/04/0352, 15.1, , , 
36, Liberius, , , , , , 17/05/0352, 22/05/0352, 24/09/0366, 14.3, , , 
37, Damasus I, , Idanha-a-Velha, Portugal, 305, , 1 Oct 0366, , 11 Dec 0384, 18.1, , , 
38, Siricius, , , , 334, , 22 Dec 0384, , 26 Nov 0399, 14.9, , , 
39, Anastasius I, , , , , , 27 Nov 0399, , 19 Dec 0401, 2, , , 
40, Innocent I, , , , , , 22 Dec 0401, , 12 Mar 0417, 15.2, , , 
41, Zosimus, , , , , , 18 Mar 0417, , 26 Dec 0418, 1.7, , , 
42, Boniface I, , , , , , 28 Dec 0418, 29 Dec 0418, 4 Sep 0422, 3.6, , , 
43, Celestine I, , Rome, Western Roman Empire, Italy, , , 10 Sep 0422, , 27 Jul 0432, 9.8, , , 
44, Sixtus III, , , , 390, , 31 Jul 0432, , 19 Aug 0440, 8, , , 
45, Leo I, , Rome, Italy, , , 29 Sep 0440, 29 Sep 0440, 10 Nov 0461, 21.1, , , 
46, Hilarus, , Sardinia, Western Roman Empire, Italy, , , 19 Nov 0461, 19 Nov 0461, 29 Feb 0468, 6.2, , , 
47, Simplicius, , Tivoli, Italy, Italy, , , 3 Mar 0468, 3 Mar 0468, 10 Mar 0483, 15, , , 
48, Felix III, , Rome, Italy, , , 13 Mar 0483, 13 Mar 0483, 25 Feb 0492, 8.9, , , 
49, Gelasius I, , Africa, , , , 1 Mar 0492, 1 Mar 0492, 19 Nov 0496, 4.7, , , 
50, Anastasius II, , , , , , 24 Nov 0496, 24 Nov 0496, 19 Nov 0498, 1.9, , , 
51, Symmachus, , Sardinia, Italy, , , 22 Nov 0498, 22 Nov 0498, 19 Jul 0514, 15.6, , , 
