Name, Municipalities, Parishes, Population (2021), Area [km2], 
Açores, 19, 156, 236440, 2322, 
Aveiro, 19, 147, 700964, 2798, 
Beja, 14, 75, 144410, 10229, 
Braga, 14, 347, 846515, 2706, 
Bragança, 12, 236, 122833, 6608, 
Castelo Branco, 11, 120, 177912, 6675, 
Coimbra, 17, 155, 408631, 3947, 
Évora, 14, 69, 152436, 7393, 
Faro, 16, 67, 467475, 4960, 
Guarda, 14, 242, 143019, 5518, 
Leira, 16, 110, 458679, 3505, 
Lisboa, 16, 134, 2275591, 2761, 
Madeira, 11, 54, 250769, 801, 
Portalegre, 15, 69, 104989, 6065, 
Porto, 18, 243, 1786656, 2408, 
Santarém, 21, 141, 425431, 6747, 
Setúbal, 13, 55, 875656, 5064, 
Viana do Castelo, 10, 208, 231488, 2255, 
Vila Real, 14, 197, 185878, 4328, 
Viseu, 24, 277, 351392, 5007, 
