Legislature, Election Date, Start, End, Seats #, Winner, Total votes, Registered Voters
Constituent Assembly, 25 Apr 1976, 2 June 1975, 2 April 1976, 263, PS, 5483461, 6564667
I, 2 Dec 1979, 3 June 1976, 12 November 1980, 250, AD, 6007453, 7249346
II, 5 Oct 1980, 13 November 1980, 30 May 1983, 250, AD, 6026395, 7179023
III, 25 Apr 1983, 31 May 1983, 3 November 1985, 250, PS, 5707695, 7337064
IV, 6 Oct 1985, 4 November 1985, 12 August 1987, 250, PSD, 5798929, 7818981
V, 19 Jul 1987, 13 August 1987, 3 November 1991, 250, PSD, 5676358, 7930668
VI, 6 Oct 1991, 4 November 1991, 26 October 1995, 230, PSD, 5735431, 8462357
VII, 1 Oct 1995, 27 October 1995, 24 October 1999, 230, PS, 5904854, 8906608
VIII, 10 Oct 1999, 25 October 1999, 4 April 2002, 230, PS, 5415150, 8864604
IX, 17 Mar 2002, 5 April 2002, 9 March 2005, 230, PSD, 5472851, 8902713
X, 20 Feb 2005, 10 March 2005, 14 October 2009, 230, PS, 5747834, 8944508
XI, 27 Sep 2009, 15 October 2009, 19 June 2011, 230, PS, 5681258, 9519921
XII, 5 Jun 2011, 20 June 2011, 22 October 2015, 230, PSD, 5585054, 9624354
XIII, 4 Oct 2015, 23 October 2015, 24 October 2019, 230, PA, 5408092, 9684922
XIV, 6 Oct 2019, 25 October 2019, 28 March 2022, 230, PS, 5237484, 10777258
XV, 30 Jan 2022, 29 March 2022, 25 March 2024, 230, PS, 5564539, 10813246
XVI, 10 Mar 2024, 26 March 2024, 2 June 2025, 230, AD, 6476952, 10813643
XVII, 18 May 2025, 3 June 2025, , 230, AD, 6319969, 10848816
