Legislature, Session, Date, Nº, Type, Iniciative, Author, Text, In favor, Against, Abstention, Results
XII, 1, 5 April 2012, 1, Projeto de Lei, 185/XII/1.ª, PCP, "Atualização extraordinária das bolsas de investigação", PCP; BE; PEV, PSD; PS; CDSPP, , Rejeitado
XII, 1, 5 April 2012, 2, Projeto de Lei, 200/XII/1.ª, BE, "Atualização extraordinária do valor das bolsas de investigação científica", PCP; BE; PEV, PSD; PS; CDSPP, , Rejeitado
XII, 1, 5 April 2012, 3, Deliberação, Req. s/n, PS, "Baixa à Comissão de Agricultura e Mar (PL 174/XII) por 60 dias, sem votação", , , , Aprovado por unanimidade
XII, 1, 5 April 2012, 4, Projeto de Lei, 196/XII/1.ª, BE, "Isenção de pagamento de atestado multiuso de incapacidade", PS; PCP; BE; PEV, PSD; CDSPP, , Rejeitado
XII, 1, 5 April 2012, 5, Projeto de Resolução, 271/XII/1.ª, PSD / CDSPP, "Isenção ou taxa reduzida para renovação de atestado multiuso", PSD; PS; CDSPP, , PCP; BE; PEV, Aprovado
XII, 1, 5 April 2012, 6, Projeto de Lei, 212/XII/1.ª, PCP, "Isenção de pagamento de atestados e vacinação internacional", PS; PCP; BE; PEV, PSD; CDSPP, , Rejeitado
XII, 1, 5 April 2012, 7, Proposta de Lei, 51/XII/1.ª, Governo, "Alteração à Lei do Orçamento do Estado de 2012 (estabilidade financeira)", PSD; CDSPP, PCP; BE; PEV, PS, Aprovada
XII, 1, 5 April 2012, 8, Projeto de Resolução, 254/XII/1.ª, PSD, "Promoção do envelhecimento ativo", PSD; PS; CDSPP, , PCP; BE; PEV, Aprovado
XII, 1, 5 April 2012, 9, Projeto de Resolução, 273/XII/1.ª, CDSPP, "Medidas no âmbito do Ano Europeu do Envelhecimento Ativo", PSD; PS; CDSPP, , PCP; BE; PEV, Aprovado
XII, 1, 5 April 2012, 10, Projeto de Resolução, 258/XII/1.ª, CDSPP, "Promoção do consumo de produtos nacionais", PSD; CDSPP; PCP; PEV, , PS; BE, Aprovado
XII, 1, 5 April 2012, 11, Projeto de Lei, 213/XII/1.ª, PEV, "Estabelece o direito de consumir local", PCP; BE; PEV, PSD; PS; CDSPP, , Rejeitado
XII, 1, 5 April 2012, 12, Projeto de Resolução, 276/XII/1.ª, PCP, "Defesa da produção nacional e consumo agroalimentar português", PS; PCP; BE; PEV, PSD; CDSPP, , Rejeitado
XII, 1, 5 April 2012, 13, Deliberação, —, CPECC, "Pareceres da Comissão para a Ética (Ofícios 206–209/2012)", , , , Votados
XII, 2, 13 April 2012, 1, Projeto de Resolução, 282/XII/1.ª, PAR, "Deslocação do Presidente da República a TimorLeste, Indonésia, Austrália e Singapura", , , , Aprovado por unanimidade
XII, 2, 13 April 2012, 2, Projeto de Resolução, 268/XII/1.ª, BE, "Referendo nacional ao Tratado sobre Estabilidade, Coordenação e Governação (UE)", PCP; BE; PEV, PSD; PS; CDSPP, , Rejeitado
XII, 2, 13 April 2012, 3, Projeto de Resolução, 279/XII/1.ª, PCP, "Referendo ao Tratado sobre Estabilidade, Coordenação e Governação (UE)", PCP; BE; PEV, PSD; PS; CDSPP, , Rejeitado
XII, 2, 13 April 2012, 4, Projeto de Resolução, 281/XII/1.ª, PEV, "Submissão do Tratado de Estabilidade a referendo", PCP; BE; PEV, PSD; PS; CDSPP, , Rejeitado
XII, 2, 13 April 2012, 5, Proposta de Resolução, 28/XII/1.ª, Governo, "Tratado que cria o Mecanismo Europeu de Estabilidade (MEE)", PSD; PS; CDSPP, PCP; BE; PEV, 2 Deputados do PS, Aprovada
XII, 2, 13 April 2012, 6, Proposta de Resolução, 30/XII/1.ª, Governo, "Tratado sobre Estabilidade, Coordenação e Governação na UEM", PSD; PS; CDSPP, PCP; BE; PEV, 2 Deputados do PS, Aprovada
XII, 2, 13 April 2012, 7, Projeto de Resolução, 283/XII/1.ª (n.º 1), PS, "Protocolo/Tratado complementar para crescimento e emprego", PS, PSD; CDSPP; PCP; BE; PEV, , Rejeitado
