Country,week day,day,meaning,type,notes
afghanistan,Sunday,Feb 15,Liberation Day,National Holiday,
afghanistan,Thursday,Feb 19,Ramadan,National Holiday,Expected Start of Ramadan
afghanistan,Friday,Mar 20,Nowrooz,Not A Public Holiday,Afghan New Year
afghanistan,Friday,Mar 20,Eid al-Fitr,National Holiday,End of Ramadan
afghanistan,Saturday,Mar 21,Eid al-Fitr Holiday,National Holiday,
afghanistan,Sunday,Mar 22,Eid al-Fitr Holiday,National Holiday,
afghanistan,Tuesday,Apr 28,Mujahideen Victory Day,National Holiday,
afghanistan,Friday,May 01,Labour Day,National Holiday,International Workers' Day
afghanistan,Wednesday,May 27,Day of Arafa,National Holiday,
afghanistan,Thursday,May 28,Eid Al Adha,National Holiday,Feast of the Sacrifice
afghanistan,Friday,May 29,Eid Al Adha Holiday,National Holiday,
afghanistan,Saturday,May 30,Eid Al Adha Holiday,National Holiday,
afghanistan,Friday,Jun 26,Ashura,National Holiday,10th day of Muslim New Year
afghanistan,Saturday,Aug 15,Victory of the Islamic Emirate,National Holiday,Asad 24
afghanistan,Wednesday,Aug 19,Independence Day,National Holiday,National Day
afghanistan,Tuesday,Aug 25,Eid Milad-un-Nabi,National Holiday,
afghanistan,Monday,Aug 31,Public Holiday,National Holiday,
albania,Thursday,Jan 01,New Year's Day,National Holiday,
albania,Friday,Jan 02,Day after New Year's Day,National Holiday,
albania,Saturday,Mar 14,Summer Day,National Holiday,
albania,Monday,Mar 16,Summer Day (in lieu),National Holiday,
albania,Friday,Mar 20,Eid al-Fitr,National Holiday,End of Ramadan
albania,Sunday,Mar 22,Nevruz,National Holiday,Spring Festival
albania,Monday,Mar 23,Nevruz (in lieu),National Holiday,Spring Festival
albania,Sunday,Apr 05,Easter (Catholic),National Holiday,
albania,Monday,Apr 06,Easter Monday,National Holiday,
albania,Sunday,Apr 12,Orthodox Easter Day,National Holiday,
albania,Monday,Apr 13,Orthodox Easter Monday,National Holiday,
albania,Friday,May 01,Labour Day,National Holiday,International Workers' Day
albania,Wednesday,May 27,Eid Al Adha,National Holiday,Feast of the Sacrifice
albania,Saturday,Sep 05,Saint Teresa Canonisation Day,National Holiday,
albania,Monday,Sep 07,Saint Teresa Canonisation Day (in lieu),National Holiday,
albania,Sunday,Nov 22,Alphabet Day,National Holiday,
albania,Monday,Nov 23,Alphabet Day (in lieu),National Holiday,
albania,Saturday,Nov 28,Independence Day,National Holiday,
albania,Sunday,Nov 29,Liberation Day,National Holiday,
albania,Monday,Nov 30,Liberation Day (in lieu),National Holiday,
albania,Monday,Nov 30,Independence Day (in lieu),National Holiday,
albania,Tuesday,Dec 08,Albanian National Youth Day,National Holiday,
albania,Friday,Dec 25,Christmas Day,National Holiday,
algeria,Thursday,Jan 01,New Year's Day,National Holiday,
algeria,Monday,Jan 12,Yennayer,National Holiday,Berber New Year
algeria,Sunday,Feb 22,Day of Fraternity and Cohesion,National Holiday,
algeria,Friday,Mar 20,Eid-ul-Fitr,National Holiday,End of Ramadan
algeria,Friday,May 01,Labour Day,National Holiday,International Workers' Day
algeria,Thursday,May 28,Eid Al Adha,National Holiday,Sacrifice Feast
algeria,Tuesday,Jun 16,Awal Muharram,National Holiday,Islamic New Year
algeria,Friday,Jun 26,Ashura,National Holiday,10th day of Muharram
algeria,Sunday,Jul 05,Independence Day,National Holiday,
algeria,Tuesday,Aug 25,Mawlid,National Holiday,Birthday of Prophet Muhammad
algeria,Sunday,Nov 01,Anniversary of the Revolution,National Holiday,
american-samoa,Thursday,Jan 01,New Year's Day,Public Holiday,Federal Holiday
american-samoa,Monday,Jan 19,Martin Luther King Jr. Day,Public Holiday,3rd Monday in January
american-samoa,Monday,Feb 16,President's Day,Public Holiday,3rd Monday in February
american-samoa,Friday,Apr 03,Good Friday,Public Holiday,
american-samoa,Friday,Apr 17,American Samoa Flag Day,Public Holiday,
american-samoa,Monday,May 25,Memorial Day,Public Holiday,Last Monday in May
american-samoa,Friday,Jun 19,Juneteenth,Public Holiday,Emancipation Day
american-samoa,Friday,Jul 03,US Independence Day (in lieu),Public Holiday,
american-samoa,Saturday,Jul 04,US Independence Day,Public Holiday,
american-samoa,Thursday,Jul 16,Manu’a Cession Day,Public Holiday,
american-samoa,Monday,Sep 07,Labor Day,Public Holiday,1st Monday in September
american-samoa,Sunday,Oct 11,White Sunday,Public Holiday,Second Sunday in October
american-samoa,Monday,Oct 12,Columbus Day,Public Holiday,2nd Monday in October
american-samoa,Wednesday,Nov 11,Veterans Day,Public Holiday,
american-samoa,Thursday,Nov 26,Thanksgiving,Public Holiday,4th Thursday in November
american-samoa,Friday,Dec 25,Christmas Day,Public Holiday,
andorra,Thursday,Jan 01,New Year's Day,National Holiday,
andorra,Tuesday,Jan 06,Epiphany,National Holiday,
andorra,Tuesday,Feb 17,Carnival,National Holiday,Tuesday before Ash Wednesday
andorra,Saturday,Mar 14,Constitution Day,National Holiday,
andorra,Friday,Apr 03,Good Friday,National Holiday,
andorra,Monday,Apr 06,Easter Monday,National Holiday,
andorra,Friday,May 01,Labour Day,National Holiday,International Workers' Day
andorra,Monday,May 25,Whit Monday,National Holiday,7th Monday after Easter
andorra,Saturday,Aug 15,Assumption Day,National Holiday,
andorra,Tuesday,Sep 08,Meritxell Day,National Holiday,National Day
andorra,Sunday,Nov 01,All Saints' Day,National Holiday,
andorra,Tuesday,Dec 08,Immaculate Conception Day,National Holiday,
andorra,Friday,Dec 25,Christmas Day,National Holiday,
andorra,Saturday,Dec 26,St. Stephen's Day,National Holiday,
angola,Thursday,Jan 01,New Year's Day,
angola,Wednesday,Feb 04,Liberation Day,Colonial Repression Martyrs' Day
angola,Tuesday,Feb 17,Carnival Tuesday,Tuesday before Ash Wednesday
angola,Sunday,Mar 08,Women's Day,
angola,Friday,Apr 03,Good Friday,
angola,Saturday,Apr 04,Peace Day,Day of Peace and Reconciliation
angola,Sunday,Apr 05,Easter Sunday,
angola,Friday,May 01,Labour Day,International Workers' Day
angola,Thursday,Sep 17,National Heroes' Day,
angola,Friday,Sep 18,National Heroes' Day (in lieu),
angola,Monday,Nov 02,All Souls' Day,Memorial Day
angola,Wednesday,Nov 11,Independence Day,National Day
angola,Friday,Dec 25,Christmas Day and Family Day,
anguilla,Thursday,Jan 01,New Year's Day,National Holiday,
anguilla,Monday,Mar 02,James Ronald Webster Day (in lieu),National Holiday,
anguilla,Friday,Apr 03,Good Friday,National Holiday,
anguilla,Monday,Apr 06,Easter Monday,National Holiday,
anguilla,Friday,May 01,Labour Day,National Holiday,International Workers' Day
anguilla,Monday,May 25,Whit Monday,National Holiday,7th Monday after Easter
anguilla,Saturday,May 30,Anguilla Day,National Holiday,National Day
anguilla,Monday,Jun 01,Anguilla Day (in lieu),National Holiday,National Day
anguilla,Monday,Jun 08,Celebration of the Birthday of His Majesty the King,National Holiday,
anguilla,Monday,Aug 03,August Monday,National Holiday,First Monday of August
anguilla,Thursday,Aug 06,August Thursday,National Holiday,Thursday after first Monday of August
anguilla,Friday,Aug 07,Constitution Day,National Holiday,Friday after the first Monday in August
anguilla,Saturday,Dec 19,National Heroes and Heroines Day,National Holiday,
anguilla,Friday,Dec 25,Christmas Day,National Holiday,
anguilla,Saturday,Dec 26,Boxing Day,National Holiday,
antigua-and-barbuda,Thursday,Jan 01,New Year's Day,National Holiday,
antigua-and-barbuda,Friday,Apr 03,Good Friday,National Holiday,
antigua-and-barbuda,Monday,Apr 06,Easter Monday,National Holiday,
antigua-and-barbuda,Monday,May 04,Labour Day,National Holiday,First Monday in May
antigua-and-barbuda,Monday,May 25,Whit Monday,National Holiday,7th Monday after Easter
antigua-and-barbuda,Monday,Aug 03,Carnival Monday,National Holiday,First Monday in August
antigua-and-barbuda,Tuesday,Aug 04,Carnival Tuesday,National Holiday,Tuesday after first Monday in August
antigua-and-barbuda,Thursday,Sep 10,National Day of Prayer,National Holiday,Second Thursday of September
antigua-and-barbuda,Monday,Nov 02,Independence Day (in lieu),National Holiday,National Day
antigua-and-barbuda,Wednesday,Dec 09,V.C. Bird Day,National Holiday,
antigua-and-barbuda,Friday,Dec 25,Christmas Day,National Holiday,
