RFC0001, Host Software, , April 1969, DOI 10.17487/RFC0001, S. Crocker, 
RFC0002, Host software, , April 1969, DOI 10.17487/RFC0002, B. Duvall, 
RFC0003, Documentation conventions, RFC0010, April 1969, DOI 10.17487/RFC0003, S. Crocker, 
RFC0004, Network timetable, , March 1969, DOI 10.17487/RFC0004, E. Shapiro, 
RFC0005, Decode Encode Language (DEL), , June 1969, DOI 10.17487/RFC0005, J. Rulifson, 
RFC0006, Conversation with Bob Kahn, , April 1969, DOI 10.17487/RFC0006, S. Crocker, 
RFC0007, Host-IMP interface, , May 1969, DOI 10.17487/RFC0007, G. Deloche, 
RFC0008, ARPA Network Functional Specifications, , May 1969, DOI 10.17487/RFC0008, G. Deloche, 
RFC0009, Host Software, , May 1969, DOI 10.17487/RFC0009, G. Deloche, 
RFC0010, Documentation conventions, RFC0016, July 1969, DOI 10.17487/RFC0010, S. Crocker, 
RFC0011, Implementation of the Host - Host Software Procedures in GORDO, RFC0033, August 1969, DOI 10.17487/RFC0011, G. Deloche, 
RFC0012, IMP-Host interface flow diagrams, , August 1969, DOI 10.17487/RFC0012, M. Wingfield, 
RFC0013, Zero Text Length EOF Message, , August 1969, DOI 10.17487/RFC0013, V. Cerf, 
RFC0015, Network subsystem for time sharing hosts, , September 1969, DOI 10.17487/RFC0015, C. Carr, 
RFC0016, M.I.T, RFC0024, August 1969, DOI 10.17487/RFC0016, S. Crocker, 
RFC0017, Some questions re: Host-IMP Protocol, , August 1969, DOI 10.17487/RFC0017, J. Kreznar, 
RFC0018, IMP-IMP and HOST-HOST Control Links, , September 1969, DOI 10.17487/RFC0018, V. Cerf, 
RFC0019, Two protocol suggestions to reduce congestion at swap bound nodes, , October 1969, DOI 10.17487/RFC0019, J. Kreznar, 
RFC0020, ASCII format for network interchange, , October 1969, DOI 10.17487/RFC0020, V. Cerf, 
RFC0021, Network meeting, , October 1969, DOI 10.17487/RFC0021, V. Cerf, 
RFC0022, Host-host control message formats, , October 1969, DOI 10.17487/RFC0022, V. Cerf, 
RFC0023, Transmission of Multiple Control Messages, , October 1969, DOI 10.17487/RFC0023, G. Gregg, 
RFC0024, Documentation Conventions, , November 1969, DOI 10.17487/RFC0024, S. Crocker, 
RFC0025, No High Link Numbers, , October 1969, DOI 10.17487/RFC0025, S. Crocker, 
RFC0027, Documentation Conventions, , December 1969, DOI 10.17487/RFC0027, S. Crocker, 
RFC0028, Time Standards, , January 1970, DOI 10.17487/RFC0028, W. English, 
RFC0029, Response to RFC 28, , January 1970, DOI 10.17487/RFC0029, R. Kahn, 
RFC0030, Documentation Conventions, , February 1970, DOI 10.17487/RFC0030, S. Crocker, 
RFC0031, Binary Message Forms in Computer, , February 1968, DOI 10.17487/RFC0031, D. Bobrow; W. Sutherl, 
RFC0032, Some Thoughts on SRI's Proposed Real Time Clock, , February 1970, DOI 10.17487/RFC0032, J. Cole, 
RFC0033, New Host-Host Protocol, , February 1970, DOI 10.17487/RFC0033, S. Crocker, 
RFC0034, Some Brief Preliminary Notes on the Augmentation Research Center Clock, , February 1970, DOI 10.17487/RFC0034, W. English, 
RFC0035, Network Meeting, , March 1970, DOI 10.17487/RFC0035, S. Crocker, 
RFC0036, Protocol Notes, , March 1970, DOI 10.17487/RFC0036, S. Crocker, 
RFC0037, Network Meeting Epilogue etc, , March 1970, DOI 10.17487/RFC0037, S. Crocker, 
RFC0038, Comments on Network Protocol from NWG/RFC #36, , March 1970, DOI 10.17487/RFC0038, S. Wolfe, 
RFC0039, Comments on Protocol Re: NWG/RFC #36, , March 1970, DOI 10.17487/RFC0039, E. Harslem; J. Heafner, 
RFC0040, More Comments on the Forthcoming Protocol, , March 1970, DOI 10.17487/RFC0040, E. Harslem; J. Heafner, 
RFC0041, IMP-IMP Teletype Communication, , March 1970, DOI 10.17487/RFC0041, J. Melvin, 
RFC0042, Message Data Types, , March 1970, DOI 10.17487/RFC0042, E. Ancona, 
RFC0043, Proposed Meeting, , April 1970, DOI 10.17487/RFC0043, A. Nemeth, 
RFC0044, Comments on NWG/RFC 33 and 36, , April 1970, DOI 10.17487/RFC0044, A. Shoshani; R. Long; A. L, 
RFC0045, New Protocol is Coming, , April 1970, DOI 10.17487/RFC0045, J. Postel; S. Crocker, 
RFC0046, ARPA Network protocol notes, , April 1970, DOI 10.17487/RFC0046, E. Meyer, 
RFC0047, BBN's Comments on NWG/RFC #33, , April 1970, DOI 10.17487/RFC0047, J. Postel; S. Crocker, 
RFC0048, Possible protocol plateau, , April 1970, DOI 10.17487/RFC0048, J. Postel; S. Crocker, 
RFC0049, Conversations with S. Crocker (UCLA), , April 1970, DOI 10.17487/RFC0049, E. Meyer, 
RFC0050, Comments on the Meyer Proposal, , April 1970, DOI 10.17487/RFC0050, E. Harslen; J. Heafner, 
RFC0051, Proposal for a Network Interchange Language, , May 1970, DOI 10.17487/RFC0051, M. Elie, 
RFC0052, Updated distribution list, , July 1970, DOI 10.17487/RFC0052, J. Postel; S. Crocker, 
RFC0053, Official protocol mechanism, , June 1970, DOI 10.17487/RFC0053, S. Crocker, 
RFC0054, Official Protocol Proffering, , June 1970, DOI 10.17487/RFC0054, S. Crocker; J. Postel; J. Newkirk; M. Kraley, 
RFC0055, Prototypical implementation of the NCP, , June 1970, DOI 10.17487/RFC0055, J. Newkirk; M. Kraley; J. Postel; S. Crocker, 
RFC0056, Third Level Protocol: Logger Protocol, , June 1970, DOI 10.17487/RFC0056, E. Belove; D. Black; R. Flegal; L. Farquar, 
RFC0057, Thoughts and Reflections on NWG/RFC 54, , June 1970, DOI 10.17487/RFC0057, M. Kraley; J. Newkirk, 
RFC0058, Logical Message Synchronization, , June 1970, DOI 10.17487/RFC0058, T. Skinner, 
RFC0059, Flow Control - Fixed Versus Demand Allocation, , June 1970, DOI 10.17487/RFC0059, E. Meyer, 
RFC0060, A Simplified NCP Protocol, , July 1970, DOI 10.17487/RFC0060, R. Kalin, 
RFC0061, Note on Interprocess Communication in a Resource Sharing Computer Network, RFC0062, July 1970, DOI 10.17487/RFC0061, D. Walden, 
RFC0062, Systems for Interprocess Communication in a Resource Sharing Computer Network, , August 1970, DOI 10.17487/RFC0062, D. Walden, 
RFC0063, Belated Network Meeting Report, , July 1970, DOI 10.17487/RFC0063, V. Cerf, 
RFC0064, Getting rid of marking, , July 1970, DOI 10.17487/RFC0064, M. Elie, 
RFC0065, Comments on Host/Host Protocol document #1, , August 1970, DOI 10.17487/RFC0065, D. Walden, 
RFC0066, NIC - third level ideas and other noise, RFC0123, August 1970, DOI 10.17487/RFC0066, S. Crocker, 
RFC0067, Proposed Change to Host/IMP Spec to Eliminate Marking, , January 1970, DOI 10.17487/RFC0067, W. Crowther, 
RFC0068, Comments on Memory Allocation Control Commands: CEASE ALL GVB RET and RFNM, , August 1970, DOI 10.17487/RFC0068, M. Elie, 
RFC0069, Distribution List Change for MIT, , September 1970, DOI 10.17487/RFC0069, A. Bhushan, 
RFC0070, Note on Padding, , October 1970, DOI 10.17487/RFC0070, S. Crocker, 
RFC0071, Reallocation in Case of Input Error, , September 1970, DOI 10.17487/RFC0071, T. Schipper, 
RFC0072, Proposed Moratorium on Changes to Network Protocol, , September 1970, DOI 10.17487/RFC0072, R. Bressler, 
RFC0073, Response to NWG/RFC 67, , September 1970, DOI 10.17487/RFC0073, S. Crocker, 
RFC0074, Specifications for Network Use of the UCSB On-Line System, , October 1970, DOI 10.17487/RFC0074, J. White, 
RFC0075, Network Meeting, , October 1970, DOI 10.17487/RFC0075, S. Crocker, 
RFC0076, Connection by name: User oriented protocol, , October 1970, DOI 10.17487/RFC0076, J. Bouknight; J. Madden; G. Grossman, 
RFC0077, Network meeting report, , November 1970, DOI 10.17487/RFC0077, J. Postel, 
RFC0078, NCP Status Report: UCSB/Rand, , October 1970, DOI 10.17487/RFC0078, E. Harslem; J. Heafner; J. White, 
RFC0079, Logger Protocol error, , November 1970, DOI 10.17487/RFC0079, E. Meyer, 
RFC0080, Protocols and Data Formats, RFC0123, December 1970, DOI 10.17487/RFC0080, E. Harslem; J. Heafner, 
RFC0081, Request for Reference Information, , December 1970, DOI 10.17487/RFC0081, J. Bouknight, 
RFC0082, Network Meeting Notes, , December 1970, DOI 10.17487/RFC0082, E. Meyer, 
RFC0083, Language-machine for data reconfiguration, , December 1970, DOI 10.17487/RFC0083, R. Anderson; E. Harslem; J. Heafner, 
RFC0084, List of NWG/RFC's 1-80, , December 1970, DOI 10.17487/RFC0084, J. North, 
RFC0085, Network Working Group meeting, , December 1970, DOI 10.17487/RFC0085, S. Crocker, 
RFC0086, Proposal for a Network Standard Format for a Data Stream to Control Graphics Display, , January 1971, DOI 10.17487/RFC0086, S. Crocker, 
RFC0087, Topic for Discussion at the Next Network Working Group Meeting, , January 1971, DOI 10.17487/RFC0087, A. Vezza, 
RFC0088, NETRJS: A third level protocol for Remote Job Entry, RFC0189, January 1971, DOI 10.17487/RFC0088, R. Braden; S. Wolfe, 
RFC0089, Some historic moments in networking, , January 1971, DOI 10.17487/RFC0089, R. Metcalfe, 
RFC0090, CCN as a Network Service Center, , January 1971, DOI 10.17487/RFC0090, R. Braden, 
RFC0091, Proposed User-User Protocol, , December 1970, DOI 10.17487/RFC0091, G. Mealy, 
RFC0093, Initial Connection Protocol, , January 1971, DOI 10.17487/RFC0093, A. McKenzie, 
RFC0094, Some thoughts on Network Graphics, , February 1971, DOI 10.17487/RFC0094, E. Harslem; J. Heafner, 
RFC0095, Distribution of NWG/RFC's through the NIC, RFC0155, February 1971, DOI 10.17487/RFC0095, S. Crocker, 
RFC0096, An Interactive Network Experiment to Study Modes of Access the Network Information Center, , February 1971, DOI 10.17487/RFC0096, R. Watson, 
RFC0097, First Cut at a Proposed Telnet Protocol, , February 1971, DOI 10.17487/RFC0097, J. Melvin; R. Watson, 
RFC0098, Logger Protocol Proposal, , February 1971, DOI 10.17487/RFC0098, E. Meyer; T. Skinner, 
RFC0099, Network Meeting, , February 1971, DOI 10.17487/RFC0099, P. Karp, 
RFC0100, Categorization and guide to NWG/RFCs, , February 1971, DOI 10.17487/RFC0100, P. Karp, 
RFC0101, Notes on the Network Working Group meeting Urbana Illinois February 17 1971, , February 1971, DOI 10.17487/RFC0101, R. Watson, 
RFC0102, Output of the Host-Host Protocol glitch cleaning committee, , February 1971, DOI 10.17487/RFC0102, S. Crocker, 
RFC0103, Implementation of Interrupt Keys, , February 1971, DOI 10.17487/RFC0103, R. Kalin, 
RFC0104, Link 191, , February 1971, DOI 10.17487/RFC0104, J. Postel; S. Crocker, 
RFC0105, Network Specifications for Remote Job Entry and Remote Job Output Retrieval at UCSB, , March 1971, DOI 10.17487/RFC0105, J. White, 
RFC0106, User/Server Site Protocol Network Host Questionnaire, , March 1971, DOI 10.17487/RFC0106, T. O'Sullivan, 
RFC0107, Output of the Host-Host Protocol Glitch Cleaning Committee, , March 1971, DOI 10.17487/RFC0107, R. Bressler; S. Crocker; W. Crowther; G. Grossman; R. Tomlinson; J. White, 
RFC0108, Attendance list at the Urbana NWG meeting February 17-19 1971, , March 1971, DOI 10.17487/RFC0108, R. Watson, 
RFC0109, Level III Server Protocol for the Lincoln Laboratory 360/67 Host, , March 1971, DOI 10.17487/RFC0109, J. Winett, 
RFC0110, Conventions for Using an IBM 2741 Terminal as a User Console for Access to Network Server Hosts, , March 1971, DOI 10.17487/RFC0110, J. Winett, 
RFC0111, Pressure from the Chairman, , March 1971, DOI 10.17487/RFC0111, S. Crocker, 
RFC0112, User/Server Site Protocol: Network Host Questionnaire, , April 1971, DOI 10.17487/RFC0112, T. O'Sullivan, 
RFC0113, Network activity report: UCSB Rand, , April 1971, DOI 10.17487/RFC0113, E. Harslem; J. Heafner; J. White, 
RFC0114, File Transfer Protocol, , April 1971, DOI 10.17487/RFC0114, A. Bhushan, 
RFC0115, Some Network Information Center policies on handling documents, , April 1971, DOI 10.17487/RFC0115, R. Watson; J. North, 
RFC0116, Structure of the May NWG Meeting, , April 1971, DOI 10.17487/RFC0116, S. Crocker, 
RFC0117, Some comments on the official protocol, , April 1971, DOI 10.17487/RFC0117, J. Wong, 
RFC0118, Recommendations for facility documentation, , April 1971, DOI 10.17487/RFC0118, R. Watson, 
RFC0119, Network Fortran Subprograms, , April 1971, DOI 10.17487/RFC0119, M. Krilanovich, 
RFC0120, Network PL1 subprograms, , April 1971, DOI 10.17487/RFC0120, M. Krilanovich, 
RFC0121, Network on-line operators, , April 1971, DOI 10.17487/RFC0121, M. Krilanovich, 
RFC0122, Network specifications for UCSB's Simple-Minded File System, , April 1971, DOI 10.17487/RFC0122, J. White, 
RFC0123, Proffered Official ICP, RFC0165, April 1971, DOI 10.17487/RFC0123, S. Crocker, 
RFC0124, Typographical error in RFC 107, , April 1971, DOI 10.17487/RFC0124, J. Melvin, 
RFC0125, Response to RFC 86: Proposal for Network Standard Format for a Graphics Data Stream, , April 1971, DOI 10.17487/RFC0125, J. McConnell, 
RFC0126, Graphics Facilities at Ames Research Center, , April 1971, DOI 10.17487/RFC0126, J. McConnell, 
RFC0127, Comments on RFC 123, RFC0145, April 1971, DOI 10.17487/RFC0127, J. Postel, 
RFC0128, Bytes, , April 1971, DOI 10.17487/RFC0128, J. Postel, 
RFC0129, Request for comments on socket name structure, , April 1971, DOI 10.17487/RFC0129, E. Harslem; J. Heafner; E. Meyer, 
