Koper, , 26054, , Coastal-Kars, 
Izola, , 11819, , Coastal-Kars, 
Sežana, , 6172, , Coastal-Kars, 
Piran, , 3827, , Coastal-Kars, 
Nova Gorica, , 12871, , Gorizia, 
Ajdovščina, , 6922, , Gorizia, 
Idrija, , 5831, , Gorizia, 
Šempeter pri Gorici, , 3720, , Gorizia, 
Tolmin, , 3274, , Gorizia, 
Bovec, , 1671, , Gorizia, 
Kranj, , 38024, , Upper Carniola, 
Jesenice, , 13503, , Upper Carniola, 
Škofja Loka, , 11706, , Upper Carniola, 
Radovljica, , 6133, , Upper Carniola, 
Bled, , 5181, , Upper Carniola, 
Tržič, , 3744, , Upper Carniola, 
Žiri, , 3654, , Upper Carniola, 
Železniki, , 2933, , Upper Carniola, 
Ljubljana, , 285604, , Central Slovenia, 
Kamnik, , 13902, , Central Slovenia, 
Domžale, , 13102, , Central Slovenia, 
Logatec, , 9947, , Central Slovenia, 
Vrhnika, , 8889, , Central Slovenia, 
Grosuplje, , 7607, , Central Slovenia, 
Mengeš, , 7010, , Central Slovenia, 
Medvode, , 5330, , Central Slovenia, 
Višnja Gora, , 1135, , Central Slovenia, 
Postojna, 9605, , , Littoral-Inner Carniola, 
Novo mesto, , 23878, , Southeast Slovenia, 
Kočevje, , 8113, , Southeast Slovenia, 
Črnomelj, , 5451, , Southeast Slovenia, 
Trebnje, , 3858, , Southeast Slovenia, 
Ribnica, , 3671, , Southeast Slovenia, 
Metlika, , 3226, , Southeast Slovenia, 
Brežice, 6843, 6888, , Lower Sava, 
Krško, , 6778, , Lower Sava, 
Sevnica, , 4521, , Lower Sava, 
Radeče, , 1949, , Lower Sava, 
Kostanjevica na Krki, , 702, , Lower Sava, 
Trbovlje, 13822, , , Central Sava, 
Celje, , 37392, , Savinja, 
Velenje, , 25538, , Savinja, 
Slovenske Konjice, , 5155, , Savinja, 
Rogaška Slatina, , 5082, , Savinja, 
Žalec, , 4983, , Savinja, 
Šentjur, , 4927, , Savinja, 
Laško, , 3284, , Savinja, 
Zreče, , 2998, , Savinja, 
Šoštanj, , 2927, , Savinja, 
Slovenj Gradec, , 7267, , Carinthia, 
Ravne na Koroškem, , 7254, , Carinthia, 
Prevalje, , 4627, , Carinthia, 
Mežica, , 3164, , Carinthia, 
Dravograd, , 3095, , Carinthia, 
Maribor, 96211, 97019, 96302, Drava, 
Ptuj, , , 17880, Drava, 
Slovenska Bistrica, , , 8181, Drava, 
Ruše, , , 4179, Drava, 
Lenart v Slovenskih Goricah, , , 3412, Drava, 
Ormož, , , 1914, Drava, 
Murska Sobota, , 11025, , Mura, 
Ljutomer, , 3308, , Mura, 
Gornja Radgona, , 3103, , Mura, 
Lendava, , 2947, , Mura, 
